,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
u3pu7,0.31,0.0,0.0,0.0,0.06,0.0,0.14,0.09,0.0,0.4,9
u5i4k,0.12,0.0,0.09,0.0,0.25,0.0,0.0,0.29,0.14,0.1,7
u5xak,0.0,0.08,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.39,3
u7qb5,0.0,0.0,0.15,0.0,0.27,0.05,0.0,0.13,0.0,0.39,9
ugo8m,0.0,0.0,0.2,0.0,0.13,0.28,0.0,0.0,0.0,0.37,9
uj23e,0.0,0.08,0.0,0.06,0.05,0.07,0.07,0.42,0.25,0.0,7
um8z4,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.04,0.58,0.0,8
undbi,0.32,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.35,0.01,8
uoym5,0.0,0.0,0.0,0.0,0.36,0.39,0.0,0.05,0.08,0.12,5
upeuy,0.0,0.08,0.0,0.0,0.51,0.0,0.0,0.39,0.0,0.0,4
upjrw,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.19,1
uppwq,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,8
uppz8,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,6
uq2ie,0.3,0.05,0.19,0.13,0.0,0.0,0.0,0.28,0.05,0.0,0
uqu1p,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.39,0.01,7
ut1gg,0.0,0.0,0.21,0.0,0.38,0.0,0.0,0.06,0.33,0.0,4
utsdh,0.0,0.07,0.0,0.0,0.0,0.13,0.06,0.43,0.3,0.0,7
uut9z,0.0,0.08,0.0,0.0,0.12,0.13,0.07,0.55,0.04,0.0,7
ux9r5,0.0,0.19,0.0,0.28,0.0,0.17,0.0,0.12,0.23,0.0,3
uzu4c,0.36,0.02,0.18,0.0,0.26,0.09,0.0,0.05,0.0,0.04,0
v2poa,0.12,0.0,0.0,0.0,0.17,0.23,0.0,0.0,0.47,0.0,8
v38xw,0.2,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.65,9
v3m5s,0.0,0.0,0.1,0.0,0.09,0.31,0.12,0.09,0.0,0.29,5
v4059,0.0,0.13,0.0,0.1,0.0,0.0,0.0,0.63,0.13,0.0,7
v7ikx,0.0,0.0,0.0,0.0,0.36,0.22,0.0,0.0,0.4,0.0,8
v7mgw,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.48,0.29,0.01,7
v89sd,0.12,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.62,0.13,8
v8j07,0.12,0.0,0.1,0.0,0.24,0.0,0.03,0.2,0.3,0.0,8
v9dfl,0.21,0.0,0.09,0.0,0.07,0.0,0.12,0.15,0.0,0.37,9
va9yq,0.1,0.06,0.0,0.0,0.21,0.0,0.08,0.4,0.0,0.15,7
vb71b,0.0,0.0,0.0,0.13,0.3,0.0,0.0,0.0,0.56,0.0,8
vc3g9,0.0,0.0,0.0,0.0,0.25,0.0,0.12,0.0,0.13,0.48,9
vcvje,0.0,0.06,0.42,0.0,0.22,0.0,0.0,0.19,0.1,0.0,2
vcwzd,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.83,0.01,0.13,7
veg69,0.16,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.34,0.04,2
vfxhr,0.18,0.0,0.0,0.0,0.68,0.0,0.0,0.12,0.0,0.0,4
vhhn1,0.0,0.08,0.21,0.0,0.4,0.0,0.0,0.07,0.23,0.0,4
vhu74,0.0,0.0,0.0,0.0,0.29,0.57,0.0,0.0,0.0,0.13,5
vhwjj,0.01,0.21,0.01,0.01,0.25,0.01,0.01,0.01,0.46,0.01,8
vjd33,0.0,0.0,0.12,0.0,0.15,0.0,0.0,0.0,0.58,0.13,8
vkrf7,0.0,0.28,0.0,0.0,0.0,0.0,0.51,0.18,0.0,0.0,6
vl77j,0.55,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0
vl9tv,0.31,0.0,0.19,0.0,0.13,0.07,0.13,0.0,0.0,0.17,0
vland,0.07,0.07,0.26,0.06,0.0,0.0,0.0,0.21,0.1,0.23,2
vm27a,0.21,0.0,0.0,0.27,0.0,0.0,0.0,0.06,0.45,0.0,8
vmlu3,0.17,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.14,0.38,9
vnosz,0.0,0.27,0.0,0.0,0.21,0.0,0.0,0.0,0.51,0.0,8
votop,0.01,0.0,0.05,0.0,0.28,0.34,0.03,0.0,0.0,0.28,5
vqfhz,0.0,0.0,0.02,0.0,0.0,0.45,0.0,0.1,0.04,0.38,5
vqh5q,0.19,0.0,0.13,0.0,0.0,0.05,0.04,0.0,0.0,0.59,9
vqhjs,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.51,0.41,0.02,7
vqy2y,0.09,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.16,5
vwk3a,0.0,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.78,0.0,8
