,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
l2i3gi,0.23,0.02,0.02,0.02,0.02,0.02,0.64,0.02,0.02,0.02,6
l2ii7h,0.0,0.0,0.0,0.0,0.05,0.73,0.0,0.0,0.0,0.19,5
l2ir4p,0.0,0.0,0.0,0.0,0.15,0.63,0.0,0.0,0.0,0.2,5
l2ir88,0.0,0.59,0.0,0.05,0.0,0.0,0.08,0.21,0.06,0.0,1
l2iylt,0.39,0.0,0.18,0.18,0.0,0.22,0.0,0.0,0.0,0.0,0
l2j2rp,0.0,0.0,0.0,0.0,0.1,0.32,0.0,0.08,0.0,0.49,9
l2j6qd,0.0,0.0,0.21,0.0,0.24,0.05,0.0,0.0,0.48,0.0,8
l2k6go,0.0,0.17,0.03,0.0,0.0,0.3,0.02,0.08,0.06,0.34,9
l2m3zq,0.0,0.0,0.0,0.13,0.0,0.0,0.41,0.0,0.15,0.31,6
l2mly0,0.26,0.23,0.04,0.04,0.1,0.0,0.06,0.23,0.05,0.0,0
l2ms5z,0.3,0.01,0.01,0.01,0.01,0.01,0.18,0.47,0.01,0.01,7
l2n04g,0.01,0.01,0.01,0.22,0.52,0.01,0.01,0.01,0.22,0.01,4
l2nh3i,0.0,0.08,0.0,0.38,0.0,0.0,0.12,0.4,0.0,0.0,7
l2njnf,0.0,0.19,0.0,0.0,0.0,0.47,0.0,0.33,0.0,0.0,5
l2ohct,0.0,0.12,0.0,0.0,0.0,0.54,0.0,0.0,0.31,0.0,5
l2onh4,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.18,0.48,9
l2pjsm,0.27,0.0,0.04,0.0,0.2,0.22,0.0,0.19,0.0,0.08,0
l2pksv,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,4
l2q8y6,0.01,0.01,0.01,0.01,0.58,0.33,0.01,0.01,0.01,0.01,4
l2qat3,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.06,0.63,0.0,8
l2qggz,0.16,0.76,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1
l2qgrq,0.08,0.0,0.02,0.3,0.0,0.0,0.0,0.0,0.37,0.22,8
l2ql9v,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.69,0.0,0.17,7
l2r2dx,0.0,0.0,0.0,0.13,0.43,0.0,0.0,0.0,0.43,0.0,4
l2s0zr,0.0,0.2,0.69,0.09,0.0,0.0,0.0,0.0,0.0,0.0,2
l2s50p,0.4,0.0,0.19,0.12,0.0,0.13,0.15,0.0,0.0,0.0,0
l2tain,0.01,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.21,0.37,5
l2te0l,0.01,0.24,0.01,0.44,0.01,0.01,0.01,0.28,0.01,0.01,3
l2tkji,0.17,0.18,0.07,0.1,0.0,0.13,0.0,0.34,0.0,0.0,7
l2u2sz,0.0,0.0,0.09,0.0,0.0,0.3,0.27,0.0,0.0,0.34,9
l2ux5u,0.24,0.0,0.0,0.19,0.0,0.1,0.08,0.23,0.14,0.0,0
l2v183,0.17,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.66,0.05,8
l2vvj3,0.01,0.01,0.25,0.01,0.3,0.01,0.41,0.01,0.01,0.01,6
l2wjed,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.11,8
l2x3io,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,8
l2x9q0,0.0,0.08,0.0,0.0,0.0,0.59,0.0,0.16,0.0,0.17,5
l2xofa,0.01,0.01,0.01,0.01,0.27,0.01,0.15,0.01,0.01,0.54,9
l2yj2k,0.0,0.21,0.0,0.37,0.0,0.0,0.0,0.39,0.0,0.0,7
l2yx82,0.18,0.0,0.0,0.17,0.0,0.0,0.0,0.15,0.0,0.5,9
l2z5ch,0.0,0.0,0.0,0.23,0.34,0.0,0.0,0.24,0.0,0.17,4
l2zx9x,0.51,0.0,0.0,0.0,0.0,0.14,0.06,0.06,0.0,0.23,0
l30c1n,0.01,0.16,0.01,0.01,0.01,0.16,0.01,0.12,0.54,0.01,8
l31763,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.18,0.0,5
l31c7p,0.0,0.22,0.07,0.0,0.0,0.69,0.0,0.0,0.0,0.0,5
l31jcu,0.01,0.19,0.46,0.13,0.01,0.19,0.01,0.01,0.01,0.01,2
l32mpg,0.0,0.04,0.17,0.0,0.0,0.19,0.05,0.37,0.11,0.07,7
l32upw,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,5
l33iu9,0.08,0.0,0.02,0.31,0.0,0.0,0.0,0.0,0.36,0.22,8
l33l2c,0.14,0.07,0.14,0.0,0.02,0.08,0.0,0.04,0.27,0.24,8
l33lm5,0.22,0.0,0.25,0.0,0.24,0.0,0.09,0.04,0.0,0.15,2
l34jwv,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.76,9
l356mx,0.37,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,5
l35ce6,0.0,0.1,0.0,0.07,0.27,0.0,0.0,0.56,0.0,0.0,7
l35oz3,0.06,0.03,0.0,0.0,0.22,0.24,0.08,0.0,0.37,0.0,8
l35tlq,0.0,0.04,0.0,0.05,0.05,0.0,0.0,0.0,0.86,0.0,8
l37hxj,0.14,0.0,0.03,0.05,0.03,0.0,0.0,0.1,0.37,0.28,8
l380ya,0.43,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0
l3aj3w,0.0,0.0,0.0,0.0,0.14,0.54,0.0,0.0,0.3,0.0,5
l3audc,0.43,0.0,0.06,0.0,0.18,0.04,0.0,0.11,0.17,0.0,0
l3bnk2,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.3,0.0,5
l3cjfv,0.2,0.04,0.0,0.0,0.15,0.49,0.07,0.0,0.05,0.0,5
l3cvvn,0.0,0.0,0.0,0.03,0.0,0.94,0.0,0.0,0.0,0.0,5
l3dhih,0.01,0.01,0.01,0.52,0.01,0.01,0.01,0.38,0.01,0.01,3
l3dmit,0.09,0.14,0.0,0.0,0.0,0.0,0.49,0.0,0.27,0.0,6
l3e8go,0.0,0.0,0.0,0.0,0.07,0.24,0.0,0.0,0.68,0.0,8
l3e9c8,0.0,0.0,0.0,0.0,0.07,0.24,0.0,0.0,0.68,0.0,8
l3ehvq,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27,0
l3f8vf,0.29,0.0,0.15,0.0,0.43,0.0,0.0,0.12,0.0,0.0,4
l3fwuu,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.52,0.4,0.0,7
l3g67i,0.0,0.17,0.0,0.0,0.13,0.24,0.0,0.44,0.0,0.0,7
l3g9vt,0.0,0.0,0.03,0.15,0.0,0.8,0.0,0.0,0.0,0.0,5
l3gagh,0.15,0.0,0.0,0.08,0.0,0.63,0.0,0.12,0.0,0.0,5
l3gt6f,0.05,0.0,0.7,0.0,0.0,0.07,0.02,0.0,0.0,0.15,2
l3hit7,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
l3i4r7,0.0,0.0,0.34,0.0,0.45,0.0,0.15,0.05,0.0,0.0,4
l3i4uj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.5,0.01,8
l3ipe3,0.12,0.23,0.05,0.11,0.0,0.14,0.03,0.08,0.2,0.05,1
l3jvf0,0.0,0.22,0.0,0.11,0.45,0.07,0.0,0.14,0.0,0.0,4
l3k019,0.13,0.05,0.0,0.0,0.41,0.05,0.05,0.17,0.12,0.0,4
l3klxy,0.01,0.01,0.01,0.29,0.01,0.01,0.3,0.01,0.31,0.01,8
l3ldus,0.03,0.07,0.0,0.14,0.14,0.0,0.0,0.01,0.5,0.11,8
l3lizq,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1
l3lpcc,0.42,0.03,0.03,0.03,0.03,0.03,0.03,0.32,0.03,0.03,0
l3mg3x,0.12,0.0,0.02,0.0,0.23,0.0,0.0,0.16,0.36,0.11,8
l3muzz,0.0,0.0,0.22,0.74,0.0,0.0,0.0,0.0,0.0,0.0,3
l3o8x7,0.47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0
l3obkl,0.01,0.01,0.01,0.79,0.01,0.01,0.01,0.01,0.01,0.13,3
l3rgpd,0.09,0.0,0.0,0.0,0.02,0.27,0.01,0.13,0.05,0.43,9
l3s4gx,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.45,0.4,8
l3smp2,0.0,0.14,0.0,0.21,0.0,0.36,0.0,0.0,0.28,0.0,5
l3sq9y,0.33,0.08,0.08,0.0,0.0,0.0,0.0,0.3,0.19,0.0,0
l3swk4,0.12,0.0,0.0,0.0,0.26,0.0,0.0,0.16,0.2,0.24,4
l3tmez,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.52,0.0,0.22,7
l3v1gq,0.01,0.16,0.01,0.77,0.01,0.01,0.01,0.01,0.01,0.01,3
l3v5o3,0.0,0.0,0.0,0.0,0.51,0.0,0.27,0.0,0.18,0.0,4
l3vz22,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.78,0.0,8
l3wk32,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.49,0.31,8
l3wrv8,0.04,0.0,0.0,0.21,0.0,0.0,0.0,0.46,0.17,0.12,7
l3wt63,0.01,0.01,0.01,0.14,0.45,0.01,0.18,0.01,0.2,0.01,4
l3x248,0.01,0.01,0.01,0.01,0.01,0.67,0.01,0.01,0.29,0.01,5
l3xijt,0.32,0.29,0.0,0.27,0.0,0.0,0.04,0.0,0.0,0.07,0
l3yb3u,0.28,0.0,0.17,0.0,0.0,0.13,0.39,0.0,0.0,0.0,6
l3yial,0.15,0.0,0.0,0.0,0.0,0.67,0.0,0.04,0.11,0.0,5
l3ypei,0.28,0.09,0.09,0.0,0.0,0.37,0.16,0.0,0.0,0.0,5
l3yuer,0.01,0.01,0.33,0.01,0.01,0.48,0.01,0.16,0.01,0.01,5
l3z1uz,0.46,0.01,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0
l3zmdd,0.0,0.01,0.05,0.1,0.0,0.42,0.28,0.0,0.14,0.0,5
l40bah,0.3,0.0,0.0,0.31,0.0,0.0,0.36,0.0,0.0,0.0,6
l40kwn,0.0,0.0,0.0,0.16,0.0,0.52,0.02,0.06,0.11,0.14,5
l41tm6,0.01,0.01,0.01,0.01,0.37,0.59,0.01,0.01,0.01,0.01,5
l41ycm,0.01,0.01,0.44,0.18,0.01,0.2,0.01,0.01,0.14,0.01,2
l4200s,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.36,0.01,0.01,1
l420uo,0.0,0.14,0.05,0.12,0.16,0.28,0.0,0.25,0.0,0.0,5
l42e6d,0.22,0.0,0.08,0.07,0.36,0.0,0.0,0.0,0.27,0.0,4
l42yso,0.0,0.0,0.25,0.0,0.2,0.4,0.0,0.0,0.14,0.0,5
l43d5g,0.61,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.25,0
l467dh,0.0,0.0,0.32,0.0,0.15,0.0,0.07,0.33,0.0,0.13,7
l468mo,0.02,0.02,0.02,0.53,0.02,0.34,0.02,0.02,0.02,0.02,3
l46gol,0.01,0.29,0.13,0.53,0.01,0.01,0.01,0.01,0.01,0.01,3
l46mn3,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.42,3
l46pff,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.44,3
l471hw,0.0,0.29,0.0,0.05,0.0,0.0,0.0,0.61,0.0,0.03,7
l477by,0.0,0.0,0.0,0.22,0.0,0.0,0.42,0.0,0.23,0.13,6
l484u4,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
l486nr,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.18,5
l49no1,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,5
l49zz1,0.0,0.0,0.0,0.19,0.0,0.59,0.0,0.19,0.0,0.0,5
l4a3oa,0.0,0.0,0.0,0.0,0.04,0.33,0.11,0.0,0.08,0.43,9
l4a7qe,0.12,0.0,0.2,0.0,0.01,0.16,0.37,0.07,0.08,0.0,6
l4aq21,0.01,0.01,0.01,0.56,0.25,0.01,0.01,0.01,0.15,0.01,3
l4b7k7,0.0,0.59,0.0,0.22,0.0,0.0,0.17,0.0,0.0,0.0,1
l4c0ai,0.01,0.01,0.17,0.45,0.33,0.01,0.01,0.01,0.01,0.01,3
l4cnss,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.72,0.01,0.01,7
l4dg6e,0.0,0.58,0.0,0.0,0.03,0.0,0.0,0.07,0.31,0.0,1
l4e3z8,0.2,0.0,0.04,0.0,0.22,0.0,0.09,0.05,0.2,0.2,4
l4edmz,0.01,0.01,0.01,0.01,0.08,0.01,0.35,0.01,0.52,0.01,8
l4ei8z,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.72,0.21,0.0,7
l4ejef,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
l4f3os,0.14,0.28,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.01,3
l4fy18,0.0,0.39,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.15,5
l4gaqk,0.0,0.0,0.0,0.24,0.0,0.16,0.35,0.0,0.0,0.23,6
l4gdot,0.01,0.01,0.09,0.01,0.01,0.41,0.01,0.13,0.35,0.01,5
l4i60t,0.0,0.65,0.0,0.07,0.0,0.0,0.0,0.0,0.25,0.0,1
l4ic0c,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,8
l4ide8,0.0,0.0,0.39,0.23,0.0,0.35,0.0,0.0,0.0,0.0,2
l4ipnm,0.0,0.0,0.13,0.0,0.06,0.0,0.04,0.0,0.75,0.0,8
l4j4bg,0.16,0.01,0.01,0.27,0.2,0.01,0.01,0.34,0.01,0.01,7
l4j6op,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.43,3
l4jkbz,0.0,0.09,0.06,0.03,0.42,0.35,0.0,0.0,0.05,0.0,4
l4ke1w,0.17,0.0,0.0,0.38,0.0,0.0,0.12,0.0,0.0,0.32,3
l4kfim,0.29,0.09,0.22,0.05,0.0,0.12,0.09,0.0,0.0,0.14,0
l4kkjc,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
l4knqv,0.0,0.0,0.12,0.0,0.0,0.69,0.0,0.17,0.0,0.0,5
l4l3vq,0.6,0.0,0.08,0.0,0.21,0.0,0.0,0.0,0.1,0.0,0
l4lfct,0.0,0.0,0.0,0.06,0.44,0.37,0.0,0.0,0.0,0.11,4
l4mgu7,0.21,0.0,0.0,0.3,0.0,0.0,0.11,0.0,0.0,0.38,9
l4nwnl,0.23,0.0,0.0,0.0,0.0,0.0,0.16,0.27,0.0,0.32,9
l4o384,0.13,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.76,9
l4oe5c,0.29,0.01,0.01,0.01,0.01,0.01,0.35,0.32,0.01,0.01,6
l4oqqk,0.11,0.25,0.0,0.25,0.0,0.0,0.07,0.0,0.13,0.17,1
l4oyqy,0.0,0.0,0.0,0.16,0.32,0.36,0.13,0.0,0.0,0.0,5
l4q1jw,0.09,0.08,0.28,0.03,0.32,0.0,0.0,0.15,0.05,0.0,4
l4r8g6,0.01,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.39,0.01,3
l4sjpj,0.0,0.3,0.03,0.0,0.45,0.0,0.0,0.0,0.1,0.11,4
l4t7e6,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,3
l4t9l4,0.09,0.1,0.07,0.07,0.0,0.59,0.07,0.0,0.0,0.0,5
l4tt17,0.0,0.65,0.0,0.02,0.0,0.0,0.0,0.0,0.33,0.0,1
l4u2jm,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,9
l4u8wg,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
l4uebc,0.23,0.0,0.1,0.0,0.0,0.64,0.0,0.0,0.0,0.0,5
l4ugej,0.01,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.39,0.01,3
l4ugjg,0.0,0.0,0.0,0.0,0.06,0.71,0.0,0.0,0.0,0.21,5
l4ulgg,0.0,0.0,0.0,0.05,0.0,0.63,0.02,0.0,0.1,0.2,5
l4une6,0.01,0.13,0.01,0.61,0.01,0.01,0.01,0.01,0.01,0.22,3
l4uwz2,0.38,0.0,0.0,0.0,0.07,0.0,0.22,0.0,0.16,0.15,0
l4v4ju,0.23,0.14,0.26,0.0,0.0,0.0,0.0,0.0,0.36,0.0,8
l4v82v,0.0,0.0,0.0,0.08,0.77,0.0,0.0,0.0,0.0,0.12,4
l4vfi6,0.5,0.0,0.18,0.09,0.2,0.0,0.0,0.0,0.0,0.0,0
l4w4y8,0.13,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.34,3
l4whj5,0.0,0.0,0.0,0.12,0.58,0.27,0.0,0.0,0.0,0.0,4
l4xqoa,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.29,2
l4xz1f,0.0,0.07,0.0,0.0,0.0,0.52,0.0,0.0,0.26,0.14,5
l4yalj,0.0,0.0,0.0,0.66,0.0,0.0,0.21,0.0,0.12,0.0,3
l4yde6,0.19,0.11,0.0,0.14,0.28,0.0,0.28,0.0,0.0,0.0,4
l4ynba,0.04,0.0,0.0,0.0,0.0,0.5,0.03,0.09,0.15,0.2,5
l4yuo4,0.2,0.2,0.07,0.0,0.11,0.0,0.0,0.14,0.21,0.07,8
l4z4m5,0.1,0.02,0.0,0.04,0.03,0.24,0.37,0.06,0.13,0.0,6
l4zd1r,0.72,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0
l4ziou,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
l5045o,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.52,0.0,8
l507mb,0.0,0.0,0.17,0.14,0.0,0.0,0.68,0.0,0.0,0.0,6
l50biv,0.01,0.01,0.71,0.22,0.01,0.01,0.01,0.01,0.01,0.01,2
l50gdb,0.0,0.0,0.0,0.17,0.26,0.0,0.08,0.3,0.0,0.17,7
l50gl8,0.0,0.0,0.0,0.0,0.39,0.6,0.0,0.0,0.0,0.0,5
l50rdu,0.01,0.01,0.01,0.18,0.01,0.69,0.08,0.01,0.01,0.01,5
l512ga,0.0,0.0,0.3,0.28,0.4,0.0,0.0,0.0,0.0,0.0,4
l51664,0.01,0.01,0.01,0.49,0.01,0.01,0.45,0.01,0.01,0.01,3
l51702,0.01,0.01,0.01,0.71,0.01,0.01,0.01,0.01,0.01,0.21,3
l51jbt,0.01,0.01,0.01,0.19,0.31,0.01,0.01,0.01,0.15,0.3,4
l52473,0.08,0.05,0.08,0.08,0.0,0.15,0.0,0.43,0.12,0.0,7
l524aq,0.17,0.17,0.0,0.17,0.28,0.0,0.07,0.07,0.06,0.0,4
l52mgf,0.0,0.0,0.75,0.09,0.0,0.0,0.0,0.0,0.14,0.0,2
l52nqg,0.0,0.0,0.0,0.14,0.29,0.56,0.0,0.0,0.0,0.0,5
l52w8s,0.0,0.46,0.0,0.0,0.04,0.0,0.0,0.15,0.32,0.0,1
l53iuj,0.28,0.0,0.29,0.0,0.15,0.0,0.27,0.0,0.0,0.0,2
l53tiw,0.19,0.11,0.0,0.14,0.28,0.0,0.28,0.0,0.0,0.0,4
l53zvo,0.47,0.03,0.04,0.18,0.0,0.0,0.09,0.0,0.0,0.18,0
l544tc,0.0,0.14,0.08,0.0,0.12,0.07,0.09,0.06,0.0,0.43,9
l54coq,0.0,0.24,0.0,0.0,0.0,0.33,0.09,0.0,0.33,0.0,5
l55fbd,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.53,0.38,8
l5609q,0.0,0.0,0.13,0.0,0.25,0.0,0.0,0.29,0.0,0.31,9
l56etl,0.34,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.52,0.0,8
l574lu,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.41,8
l5787i,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,5
l585nz,0.16,0.13,0.0,0.0,0.33,0.0,0.05,0.04,0.29,0.0,4
l5bj7r,0.11,0.0,0.11,0.03,0.03,0.13,0.0,0.07,0.11,0.4,9
l5df0p,0.0,0.0,0.18,0.0,0.3,0.0,0.09,0.0,0.41,0.0,8
l5e4iv,0.16,0.01,0.01,0.01,0.01,0.78,0.01,0.01,0.01,0.01,5
l5f7fk,0.0,0.0,0.13,0.0,0.0,0.0,0.73,0.0,0.0,0.12,6
l5g35x,0.0,0.38,0.04,0.08,0.0,0.0,0.0,0.24,0.25,0.0,1
l5g6tl,0.32,0.0,0.18,0.0,0.05,0.0,0.2,0.09,0.0,0.15,0
l5gimp,0.01,0.01,0.01,0.49,0.22,0.01,0.15,0.01,0.1,0.01,3
l5hgs7,0.0,0.0,0.0,0.07,0.0,0.33,0.0,0.0,0.0,0.58,9
l665ws,0.16,0.0,0.22,0.0,0.07,0.49,0.0,0.0,0.05,0.0,5
l66dgu,0.01,0.01,0.01,0.01,0.24,0.37,0.01,0.01,0.33,0.01,5
l66rjz,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.34,0.11,2
l674y8,0.48,0.04,0.08,0.0,0.03,0.02,0.03,0.0,0.19,0.13,0
l67wsj,0.0,0.12,0.0,0.18,0.0,0.44,0.25,0.0,0.0,0.0,5
l68w7j,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
l692zj,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
l6a5ia,0.0,0.0,0.25,0.28,0.17,0.0,0.29,0.0,0.0,0.0,6
l6anrg,0.23,0.04,0.08,0.0,0.1,0.23,0.24,0.0,0.08,0.0,6
l6ax8m,0.07,0.02,0.02,0.0,0.11,0.25,0.0,0.32,0.0,0.21,7
l6b6be,0.19,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.25,3
l6b9to,0.11,0.0,0.0,0.0,0.0,0.07,0.54,0.0,0.0,0.27,6
l6bsto,0.08,0.0,0.0,0.05,0.19,0.24,0.27,0.0,0.0,0.16,6
l6d0k3,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.4,3
l6e8j8,0.09,0.09,0.0,0.0,0.0,0.0,0.17,0.64,0.0,0.0,7
l6eex9,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
l6eiys,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
l6f60q,0.0,0.18,0.07,0.0,0.06,0.0,0.0,0.33,0.0,0.35,9
l6f6vw,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.48,0.0,5
l6f9jk,0.0,0.0,0.45,0.15,0.05,0.0,0.0,0.0,0.34,0.0,2
l6fbnu,0.0,0.0,0.0,0.61,0.0,0.25,0.0,0.0,0.0,0.13,3
l6fh9g,0.41,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.1,3
l6ftq7,0.0,0.0,0.15,0.14,0.0,0.0,0.69,0.0,0.0,0.0,6
l6hitl,0.0,0.11,0.39,0.0,0.0,0.21,0.0,0.0,0.16,0.12,2
l6hoim,0.21,0.0,0.0,0.09,0.16,0.0,0.15,0.06,0.0,0.32,9
l6hyp8,0.0,0.0,0.33,0.0,0.0,0.0,0.24,0.0,0.15,0.26,2
l6i5mk,0.01,0.47,0.01,0.01,0.01,0.01,0.01,0.45,0.01,0.01,1
l6iept,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.4,0.16,6
l6ihix,0.56,0.15,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0
l6izzz,0.0,0.21,0.0,0.0,0.08,0.0,0.29,0.42,0.0,0.0,7
l6j8nu,0.0,0.0,0.18,0.44,0.26,0.04,0.0,0.06,0.0,0.0,3
l6jnu5,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.15,0.09,0.55,9
l6jxw8,0.0,0.0,0.0,0.56,0.22,0.05,0.0,0.0,0.0,0.14,3
l6jya2,0.03,0.03,0.03,0.47,0.03,0.03,0.03,0.03,0.03,0.33,3
l6k1ft,0.0,0.09,0.0,0.0,0.2,0.0,0.52,0.08,0.0,0.11,6
l6kht9,0.0,0.0,0.0,0.0,0.0,0.14,0.82,0.0,0.0,0.0,6
l6l4vw,0.45,0.0,0.16,0.0,0.07,0.31,0.0,0.0,0.0,0.0,0
l6lc1m,0.0,0.0,0.52,0.0,0.44,0.0,0.0,0.0,0.0,0.0,2
l6li22,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.41,0.07,0.0,4
l6lmm5,0.18,0.0,0.0,0.0,0.23,0.0,0.0,0.34,0.0,0.23,7
l6lndw,0.0,0.0,0.0,0.07,0.0,0.0,0.09,0.27,0.0,0.56,9
l6m2a5,0.14,0.0,0.16,0.0,0.12,0.16,0.1,0.18,0.02,0.11,7
l6njt3,0.48,0.18,0.06,0.0,0.03,0.1,0.04,0.0,0.0,0.11,0
l6p0qv,0.37,0.01,0.13,0.44,0.01,0.01,0.01,0.01,0.01,0.01,3
l6pzsb,0.29,0.0,0.0,0.0,0.06,0.44,0.0,0.2,0.0,0.0,5
l6qaj8,0.0,0.1,0.0,0.04,0.35,0.0,0.0,0.0,0.46,0.05,8
l6qddg,0.0,0.0,0.0,0.32,0.0,0.37,0.0,0.0,0.0,0.3,5
l6qdqa,0.02,0.02,0.02,0.02,0.02,0.02,0.31,0.02,0.02,0.53,9
l6qmgt,0.45,0.04,0.0,0.28,0.15,0.0,0.0,0.0,0.07,0.0,0
l6rbc3,0.61,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.01,0.01,0
l6rc8p,0.0,0.0,0.0,0.16,0.19,0.19,0.19,0.09,0.17,0.0,4
l6sk8s,0.0,0.03,0.0,0.12,0.4,0.36,0.0,0.03,0.05,0.0,4
l6srlk,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.78,0.0,8
l6tcje,0.0,0.0,0.0,0.06,0.0,0.14,0.0,0.0,0.0,0.8,9
l6u16e,0.0,0.25,0.01,0.0,0.07,0.05,0.0,0.0,0.52,0.09,8
l6udtv,0.25,0.0,0.0,0.47,0.15,0.0,0.0,0.0,0.11,0.0,3
l6vjid,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.74,9
l6vrht,0.0,0.0,0.05,0.09,0.0,0.54,0.31,0.0,0.0,0.0,5
l6w3iq,0.01,0.01,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,4
l6wv9w,0.0,0.0,0.0,0.0,0.5,0.0,0.23,0.0,0.0,0.25,4
l6xk1n,0.0,0.0,0.03,0.0,0.0,0.17,0.05,0.18,0.15,0.42,9
l6xpei,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.5,9
l6xy85,0.0,0.07,0.08,0.0,0.13,0.0,0.66,0.0,0.0,0.06,6
l6y669,0.0,0.0,0.06,0.11,0.41,0.0,0.0,0.0,0.41,0.0,4
l6yd1j,0.01,0.01,0.01,0.01,0.48,0.01,0.17,0.01,0.3,0.01,4
