,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
4vvguy,0.0,0.0,0.09,0.0,0.0,0.11,0.0,0.18,0.0,0.0,0.03,0.05,0.0,0.09,0.38,0.0,0.0,0.0,0.07,0.0,14
4vxb0v,0.04,0.0,0.21,0.0,0.0,0.11,0.0,0.0,0.28,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,8
4vxt9c,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.19,0.0,0.33,0.0,0.31,0.0,0.0,0.06,0.0,0.0,0.0,11
4w0hkj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.49,19
4w10bb,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.48,0.08,0.0,0.0,0.23,15
4w23up,0.03,0.0,0.0,0.0,0.05,0.17,0.37,0.02,0.0,0.0,0.1,0.09,0.0,0.05,0.0,0.0,0.09,0.03,0.0,0.0,6
4w2kqi,0.0,0.0,0.1,0.0,0.19,0.0,0.0,0.0,0.37,0.0,0.05,0.0,0.0,0.15,0.06,0.0,0.0,0.0,0.0,0.08,8
4w5ko7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4w5qay,0.0,0.03,0.07,0.0,0.0,0.0,0.0,0.05,0.0,0.03,0.0,0.73,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,11
4w6y07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
4w79ao,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.09,0.61,0.0,0.21,0.0,0.0,0.0,0.05,0.0,0.0,11
4w7awz,0.0,0.0,0.0,0.03,0.0,0.14,0.0,0.23,0.07,0.0,0.04,0.14,0.0,0.0,0.14,0.0,0.02,0.11,0.07,0.0,7
4w7dvx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.13,0.39,0.0,0.08,0.06,0.0,0.0,0.0,0.0,12
4w7hyd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.29,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
4w7jz3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,8
4w8jih,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
4wa7ho,0.14,0.05,0.0,0.0,0.0,0.05,0.35,0.03,0.0,0.01,0.04,0.0,0.1,0.0,0.01,0.0,0.01,0.0,0.12,0.1,6
4waly7,0.0,0.06,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.06,0.19,0.0,0.0,0.0,0.0,0.09,0.0,0.03,0.23,5
4wbhyf,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.37,0.01,0.03,0.28,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,8
4wcc0j,0.0,0.11,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,6
4wdaqd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.57,0.0,0.0,0.0,16
4wdesr,0.19,0.0,0.17,0.08,0.0,0.0,0.06,0.0,0.14,0.0,0.0,0.21,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.04,11
4wdi9g,0.0,0.0,0.0,0.0,0.0,0.23,0.06,0.0,0.0,0.0,0.08,0.2,0.0,0.0,0.09,0.0,0.0,0.0,0.14,0.18,5
4wfpbs,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.21,13
4wix5z,0.0,0.0,0.0,0.04,0.0,0.0,0.09,0.1,0.08,0.03,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.35,0.0,0.0,17
