,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
o6mht4,0.0,0.02,0.0,0.0,0.07,0.0,0.4,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,6
o6n0xk,0.06,0.0,0.0,0.0,0.07,0.23,0.0,0.03,0.0,0.01,0.02,0.09,0.0,0.1,0.17,0.0,0.02,0.0,0.09,0.1,5
o6o93l,0.01,0.01,0.24,0.01,0.01,0.2,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8
o6oxcx,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,14
o6qk73,0.09,0.02,0.07,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.21,0.0,0.17,0.09,0.0,0.2,0.0,0.0,0.0,11
o6qkmu,0.05,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.2,0.0,0.15,0.15,0.0,0.14,0.06,0.0,0.0,0.0,0.02,0.11,8
o6qm7l,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.08,0.43,0.0,0.15,0.04,0.0,0.0,14
o6qv6m,0.0,0.0,0.0,0.0,0.16,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,5
o6qyse,0.15,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.05,0.0,0.0,0.48,0.0,0.2,0.02,0.0,0.0,0.0,0.0,12
o6qzyp,0.0,0.0,0.06,0.0,0.03,0.27,0.0,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,16
o6sv7j,0.0,0.0,0.17,0.18,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,5
o6vdqw,0.0,0.0,0.02,0.0,0.18,0.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.02,0.0,0.0,0.09,5
o6wmuf,0.0,0.18,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,16
o6x19b,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.12,0.35,0.0,0.08,0.0,0.02,0.0,0.3,0.03,0.0,0.0,0.0,0.0,8
o6xlrr,0.0,0.0,0.13,0.0,0.08,0.0,0.0,0.0,0.2,0.03,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,17
o6xrbp,0.11,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.35,0.0,0.0,0.0,0.09,0.0,0.0,13
o6xvwk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.04,0.0,0.53,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.16,11
o6zqp5,0.06,0.08,0.05,0.02,0.0,0.0,0.06,0.19,0.05,0.0,0.05,0.09,0.1,0.0,0.0,0.02,0.14,0.05,0.04,0.0,7
o70253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.05,0.0,0.0,0.48,0.16,0.05,0.0,0.0,0.0,0.0,0.0,12
o70ojt,0.0,0.0,0.09,0.07,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,11
o70sz6,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.2,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o710n6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.26,0.01,17
o72jj5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.18,0.12,0.1,0.0,0.44,0.0,0.0,0.0,16
o72rl8,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8
o735fi,0.0,0.0,0.0,0.0,0.0,0.37,0.3,0.0,0.0,0.0,0.07,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o740dt,0.06,0.15,0.0,0.05,0.0,0.1,0.04,0.0,0.35,0.0,0.0,0.0,0.0,0.07,0.15,0.0,0.0,0.02,0.0,0.0,8
o743o3,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.31,0.0,0.02,0.1,0.0,0.3,0.17,0.0,0.0,0.0,0.0,0.0,8
o747h4,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.33,0.23,0.0,0.14,0.0,0.24,0.0,0.0,0.0,11
o74en9,0.18,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.19,0.39,0.0,0.0,0.0,0.0,15
o75bj4,0.0,0.0,0.12,0.0,0.0,0.43,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,5
o75qce,0.0,0.0,0.08,0.0,0.03,0.19,0.0,0.04,0.0,0.0,0.05,0.0,0.0,0.38,0.0,0.0,0.05,0.0,0.0,0.17,13
o75ui3,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
o75ym5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.29,19
o76u17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.12,13
o76zta,0.05,0.0,0.0,0.02,0.15,0.13,0.0,0.0,0.2,0.0,0.01,0.32,0.0,0.02,0.01,0.0,0.0,0.0,0.08,0.0,11
o7771x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.68,0.0,0.0,0.0,16
o77i24,0.11,0.0,0.06,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.2,0.09,0.0,0.34,0.0,0.06,0.04,0.0,0.0,14
o77yt6,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.0,0.28,0.0,0.0,0.26,0.0,0.08,0.06,0.0,0.0,0.0,0.14,0.11,8
o78al1,0.0,0.0,0.0,0.0,0.2,0.14,0.15,0.0,0.08,0.0,0.12,0.26,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11
o78vsj,0.14,0.0,0.0,0.0,0.0,0.08,0.05,0.31,0.09,0.0,0.0,0.0,0.05,0.0,0.16,0.0,0.08,0.0,0.02,0.0,7
o795hy,0.05,0.0,0.04,0.07,0.0,0.12,0.0,0.29,0.0,0.0,0.0,0.0,0.05,0.0,0.12,0.0,0.0,0.0,0.0,0.25,7
o7apd4,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
o7c9ay,0.08,0.0,0.31,0.05,0.13,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.11,0.0,0.0,0.0,0.0,2
o7epd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
o7fsn0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.27,17
o7ftno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.55,0.0,0.0,0.06,0.07,0.0,0.0,0.0,0.15,0.0,0.0,0.14,8
o7h00p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.06,0.05,0.0,0.0,8
o7hjr7,0.0,0.49,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1
o7hk6k,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.11,0.0,0.0,0.17,0.0,0.0,0.39,0.0,0.0,0.24,16
o7j49x,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.14,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.14,0.0,0.09,16
o7jhw5,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.55,19
o7k09y,0.06,0.0,0.0,0.0,0.0,0.11,0.09,0.0,0.39,0.03,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.0,0.0,0.0,8
o7kgc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,16
o7l5t9,0.03,0.0,0.0,0.06,0.0,0.27,0.02,0.02,0.0,0.0,0.04,0.0,0.0,0.06,0.1,0.0,0.09,0.0,0.2,0.1,5
o7ltcn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.22,0.0,0.31,0.23,0.0,0.13,16
o7m7gs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
o7mzcl,0.07,0.1,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.3,19
o7n3lx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.15,0.0,0.0,0.47,0.0,0.0,0.0,0.13,0.0,14
o7n5h2,0.13,0.0,0.0,0.0,0.06,0.0,0.19,0.11,0.0,0.0,0.0,0.39,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.07,11
o7nx46,0.09,0.04,0.03,0.0,0.0,0.13,0.39,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.0,0.0,0.06,0.0,0.0,0.0,6
o7otwg,0.05,0.0,0.0,0.0,0.0,0.0,0.11,0.26,0.0,0.0,0.0,0.0,0.28,0.0,0.05,0.06,0.0,0.0,0.0,0.16,12
o7qa9n,0.02,0.03,0.0,0.0,0.0,0.08,0.0,0.1,0.13,0.0,0.0,0.06,0.21,0.0,0.31,0.0,0.0,0.0,0.06,0.0,14
o7qeaa,0.05,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.18,0.01,0.0,0.11,0.14,0.24,0.13,0.0,0.03,0.0,0.0,0.0,13
o7qn6c,0.0,0.15,0.0,0.0,0.0,0.28,0.1,0.0,0.0,0.0,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.13,0.0,0.07,5
o7qnf2,0.0,0.0,0.0,0.0,0.1,0.0,0.24,0.0,0.0,0.0,0.26,0.22,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,10
o7qvdx,0.0,0.0,0.0,0.0,0.09,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.22,0.0,0.0,0.0,0.0,12
o7r2u3,0.11,0.0,0.0,0.0,0.0,0.12,0.0,0.04,0.14,0.0,0.0,0.29,0.0,0.07,0.0,0.09,0.13,0.0,0.0,0.0,11
o7rwkp,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.23,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.03,0.0,11
o7s0cm,0.0,0.0,0.04,0.0,0.0,0.23,0.17,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.03,0.0,10
o7tbee,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.23,0.02,0.13,0.0,0.0,0.0,0.07,0.06,11
o7tf88,0.01,0.16,0.0,0.06,0.0,0.06,0.26,0.04,0.07,0.0,0.04,0.24,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,6
o7tqnd,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.23,8
o7ts3c,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.06,0.0,0.44,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.08,11
o7ttpr,0.0,0.03,0.0,0.0,0.0,0.0,0.13,0.03,0.24,0.0,0.0,0.17,0.0,0.0,0.0,0.04,0.15,0.1,0.0,0.1,8
o7vqt1,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,11
o7vwcb,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
o7w2tp,0.15,0.0,0.0,0.0,0.03,0.21,0.0,0.02,0.0,0.0,0.0,0.27,0.06,0.0,0.0,0.02,0.0,0.11,0.0,0.12,11
o7wswl,0.0,0.0,0.0,0.02,0.05,0.0,0.23,0.0,0.0,0.0,0.27,0.0,0.0,0.25,0.0,0.0,0.17,0.0,0.0,0.0,10
o7xdob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.0,0.0,0.0,0.24,0.0,0.24,0.0,0.25,0.0,0.0,17
o7xte2,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.1,0.0,0.01,0.21,0.0,0.09,0.3,0.0,0.13,0.0,0.03,0.0,14
o7z1rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.6,19
o7zdsw,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,19
o81zv7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0.01,8
o822fh,0.0,0.0,0.21,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.27,0.0,0.07,14
o823a8,0.0,0.0,0.21,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.27,0.0,0.07,14
o82in8,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.12,0.01,0.01,0.01,0.01,13
o82z3q,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8
o83go9,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,0.25,0.0,0.07,0.12,0.07,0.02,0.0,0.0,0.0,0.23,0.0,0.0,8
o83p0c,0.0,0.0,0.22,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,19
o84o1l,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.24,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.04,0.0,0.0,0.0,14
o84ser,0.0,0.0,0.0,0.08,0.0,0.0,0.05,0.43,0.0,0.0,0.0,0.1,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,7
o84vyf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.04,0.09,0.22,0.16,0.15,0.0,0.0,0.05,0.0,0.07,0.0,11
o87uxa,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.19,0.0,0.0,0.31,0.0,0.0,0.3,0.0,0.0,0.0,0.12,0.0,11
o88qxr,0.0,0.0,0.0,0.0,0.12,0.35,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,5
o88xn6,0.0,0.22,0.35,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
o89das,0.0,0.0,0.04,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.16,0.42,0.0,0.08,0.0,0.0,0.03,0.05,0.0,12
o8aksc,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.7,19
o8brj3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.31,0.0,0.0,0.02,0.28,0.09,0.0,0.07,0.0,0.05,0.07,0.03,0.07,7
o8cf86,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.23,6
o8d9h1,0.18,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.07,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,8
o8e3by,0.04,0.04,0.04,0.0,0.0,0.12,0.0,0.03,0.03,0.01,0.0,0.18,0.03,0.07,0.17,0.0,0.02,0.0,0.21,0.0,18
o8ecmt,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.55,0.01,0.01,17
o8f3dt,0.08,0.0,0.0,0.02,0.02,0.38,0.0,0.05,0.21,0.05,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,5
o8gnaz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.33,12
o8h1zl,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,4
o8hkpc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,11
o8if3l,0.0,0.0,0.0,0.09,0.0,0.59,0.03,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,5
o8jouh,0.0,0.0,0.0,0.0,0.0,0.28,0.47,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,6
o8kk8i,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.23,0.0,0.16,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o8kuoc,0.0,0.0,0.09,0.14,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o8ljyn,0.0,0.0,0.0,0.04,0.0,0.63,0.0,0.06,0.0,0.0,0.0,0.14,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5
o8lplx,0.0,0.0,0.0,0.0,0.23,0.29,0.0,0.03,0.08,0.0,0.06,0.0,0.0,0.19,0.08,0.0,0.03,0.0,0.0,0.0,5
o8m18b,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,4
o8o0mj,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.04,0.19,0.34,0.12,0.0,0.09,0.0,0.09,0.0,0.0,0.0,11
o8ocu1,0.0,0.0,0.0,0.07,0.0,0.6,0.0,0.0,0.11,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o8okpl,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.24,0.0,0.0,8
o8on2d,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
o8oy62,0.0,0.0,0.13,0.12,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.24,19
o8psip,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.27,0.0,0.0,0.29,0.0,0.0,17
o8qm4m,0.16,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.0,11
o8qokj,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,14
o8rj0g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.47,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,10
o8smsb,0.0,0.0,0.0,0.0,0.08,0.13,0.0,0.03,0.27,0.0,0.04,0.15,0.0,0.0,0.21,0.0,0.0,0.07,0.0,0.02,8
o8su3r,0.03,0.0,0.06,0.0,0.0,0.23,0.0,0.1,0.0,0.0,0.0,0.0,0.23,0.19,0.0,0.0,0.14,0.0,0.0,0.0,5
o8twfr,0.2,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.22,0.04,0.19,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,9
o8vv79,0.0,0.0,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.39,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,10
o8wnyy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.03,0.16,0.0,0.22,0.06,0.02,0.14,11
o8x2hi,0.0,0.0,0.07,0.03,0.12,0.0,0.0,0.0,0.46,0.0,0.0,0.14,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,8
o8xe16,0.0,0.0,0.13,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,10
o8yusm,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.38,0.1,0.0,0.0,0.19,0.0,0.0,13
o906v5,0.0,0.0,0.09,0.14,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.36,0.32,0.0,0.0,0.0,0.0,0.0,13
o906zo,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,6
o90afg,0.02,0.0,0.04,0.0,0.0,0.16,0.0,0.05,0.0,0.0,0.0,0.36,0.0,0.11,0.0,0.0,0.09,0.0,0.18,0.0,11
o918de,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.32,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
o91moz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.25,12
o91uer,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,13
o91uqw,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.0,0.21,0.26,0.0,0.0,0.0,0.14,0.0,0.0,0.0,12
o92qk0,0.09,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.22,0.0,0.0,16
o933n4,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.0,0.3,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,8
o93ei2,0.18,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.14,0.06,0.0,0.04,0.09,0.0,11
o93om2,0.12,0.0,0.0,0.05,0.0,0.22,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
o9411b,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.43,0.0,0.08,0.16,0.0,0.12,0.0,0.0,0.07,11
o951u2,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.04,0.34,0.0,0.0,0.0,0.02,0.0,0.0,0.09,0.0,5
o9897h,0.0,0.0,0.09,0.0,0.15,0.0,0.0,0.0,0.21,0.02,0.0,0.11,0.03,0.0,0.38,0.0,0.0,0.0,0.0,0.0,14
o99by9,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.1,0.0,0.0,0.0,0.0,0.35,12
o99hcq,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
o9a0g6,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,16
o9a6s8,0.0,0.0,0.0,0.0,0.0,0.12,0.21,0.0,0.1,0.0,0.21,0.0,0.0,0.12,0.0,0.0,0.2,0.0,0.04,0.0,6
o9bau9,0.0,0.39,0.0,0.09,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1
o9bqnm,0.02,0.09,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5
o9cev3,0.14,0.0,0.0,0.07,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
o9cnee,0.0,0.0,0.0,0.0,0.08,0.0,0.11,0.0,0.33,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.03,12
o9d10z,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.47,0.0,0.3,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,8
o9dzyr,0.0,0.0,0.0,0.0,0.09,0.3,0.06,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.09,0.1,0.21,0.0,0.0,5
o9e3ev,0.0,0.0,0.0,0.0,0.18,0.14,0.0,0.04,0.0,0.0,0.0,0.27,0.0,0.2,0.0,0.0,0.02,0.0,0.0,0.14,11
o9edgs,0.02,0.04,0.05,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.14,0.0,0.03,0.0,0.0,0.0,0.0,5
o9g6bs,0.0,0.14,0.0,0.0,0.26,0.5,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
