,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
xcsh5,0.0,0.27,0.02,0.0,0.0,0.2,0.15,0.07,0.07,0.08,0.02,0.12,0.0,0.0,0.0,1
xd8o8,0.04,0.08,0.05,0.04,0.0,0.0,0.43,0.0,0.0,0.08,0.0,0.0,0.06,0.15,0.05,6
xdxmk,0.0,0.0,0.18,0.05,0.0,0.17,0.0,0.13,0.04,0.08,0.15,0.0,0.0,0.0,0.19,14
xe8x4,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.46,0.0,0.0,0.0,0.0,0.02,0.0,0.21,7
xeqm1,0.0,0.34,0.0,0.0,0.12,0.0,0.0,0.0,0.07,0.19,0.13,0.05,0.04,0.06,0.0,1
xfcxr,0.0,0.5,0.0,0.0,0.0,0.32,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1
xhqz2,0.05,0.33,0.0,0.0,0.0,0.16,0.0,0.36,0.0,0.0,0.09,0.0,0.0,0.0,0.0,7
xi4bz,0.0,0.0,0.2,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.05,5
xisbr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.15,0.0,0.0,0.0,0.47,14
xky3e,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.62,14
xlre0,0.0,0.06,0.0,0.08,0.0,0.0,0.13,0.05,0.07,0.32,0.11,0.0,0.0,0.0,0.17,9
xrrv1,0.0,0.41,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.23,0.0,0.0,0.06,0.0,0.16,1
xtidd,0.0,0.0,0.0,0.04,0.1,0.6,0.09,0.07,0.06,0.0,0.04,0.0,0.0,0.0,0.0,5
xtmof,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.26,0.0,0.37,0.0,0.0,0.0,0.0,0.16,9
xvz28,0.06,0.1,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.21,6
xw92k,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.18,0.19,0.08,0.0,0.12,0.0,0.23,0.0,13
xwdur,0.0,0.38,0.07,0.0,0.0,0.18,0.0,0.0,0.25,0.11,0.0,0.0,0.0,0.0,0.0,1
xx50w,0.0,0.0,0.0,0.0,0.24,0.0,0.32,0.0,0.18,0.0,0.08,0.0,0.07,0.11,0.0,6
xxsyw,0.0,0.25,0.28,0.02,0.0,0.0,0.0,0.08,0.11,0.0,0.25,0.0,0.0,0.0,0.0,2
xzwvo,0.0,0.0,0.0,0.0,0.17,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.68,14
y1gu7,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,5
y35xp,0.0,0.0,0.0,0.0,0.13,0.0,0.14,0.18,0.0,0.14,0.0,0.03,0.0,0.1,0.25,14
y63vu,0.0,0.27,0.0,0.0,0.47,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4
y7umv,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.36,0.0,0.0,0.0,10
y8dhr,0.14,0.07,0.0,0.0,0.0,0.03,0.29,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.35,14
y8h2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.55,0.0,0.15,12
y9iyq,0.39,0.31,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0
ycq82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.36,0.0,0.0,0.45,0.0,13
yd5ti,0.0,0.0,0.0,0.1,0.0,0.53,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.14,5
ydxu4,0.0,0.0,0.17,0.0,0.09,0.33,0.26,0.06,0.0,0.05,0.03,0.0,0.0,0.0,0.0,5
yf25i,0.04,0.16,0.0,0.0,0.0,0.0,0.3,0.0,0.05,0.0,0.0,0.08,0.0,0.0,0.36,14
yfz5o,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,13
yh4v9,0.14,0.0,0.0,0.0,0.0,0.0,0.13,0.14,0.29,0.07,0.08,0.0,0.04,0.1,0.0,8
yimah,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,14
yjxq5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.27,0.28,0.0,0.31,0.09,0.0,0.0,0.0,10
yjylp,0.06,0.0,0.0,0.09,0.0,0.0,0.09,0.62,0.0,0.0,0.0,0.0,0.0,0.11,0.0,7
ym1kp,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.25,0.0,0.0,0.0,10
yp8o1,0.0,0.0,0.0,0.09,0.0,0.46,0.0,0.0,0.0,0.23,0.12,0.0,0.0,0.03,0.06,5
yq150,0.0,0.14,0.0,0.0,0.65,0.0,0.0,0.0,0.12,0.0,0.07,0.0,0.0,0.0,0.0,4
yr6ql,0.14,0.0,0.0,0.0,0.25,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,5
ythqs,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,14
yu7d9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.64,14
yvh0a,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.43,2
yxiuj,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1
yy4fo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.16,0.0,0.39,0.11,0.0,0.0,0.0,10
yys1u,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.21,0.41,14
z0a3p,0.0,0.72,0.08,0.0,0.0,0.0,0.0,0.11,0.0,0.02,0.0,0.06,0.0,0.0,0.0,1
z0wtd,0.0,0.09,0.13,0.0,0.0,0.05,0.0,0.28,0.14,0.17,0.11,0.0,0.0,0.03,0.0,7
z102b,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.16,0.0,0.0,0.1,0.19,0.04,0.0,5
z160y,0.0,0.29,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,4
z1dgh,0.0,0.35,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,1
z1eat,0.0,0.1,0.28,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.19,0.0,0.0,0.0,0.0,8
z1ogo,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.4,14
zaebx,0.0,0.0,0.13,0.03,0.09,0.14,0.0,0.14,0.12,0.14,0.04,0.1,0.0,0.06,0.0,5
zbnrk,0.0,0.0,0.0,0.0,0.17,0.0,0.13,0.4,0.0,0.0,0.2,0.0,0.09,0.0,0.0,7
zbz9e,0.22,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.09,0.0,0.0,0.04,0.0,0.3,14
zcouy,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.21,0.29,0.04,0.0,0.0,0.0,0.17,0.15,8
zcrje,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.31,0.0,0.0,0.08,0.0,0.0,0.0,4
zdr0a,0.0,0.33,0.0,0.0,0.0,0.0,0.36,0.11,0.0,0.04,0.05,0.0,0.0,0.0,0.11,6
ze3b5,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.25,0.0,0.0,0.41,0.06,0.0,0.0,0.0,10
zf2v3,0.0,0.19,0.0,0.11,0.0,0.26,0.09,0.0,0.0,0.19,0.15,0.0,0.0,0.0,0.0,5
zfq8x,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.66,14
zg7sp,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.36,0.18,0.0,0.0,0.0,0.0,0.33,8
zgz4c,0.0,0.0,0.18,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,5
zj032,0.0,0.32,0.33,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.11,2
zjajh,0.0,0.38,0.0,0.09,0.0,0.0,0.0,0.14,0.0,0.14,0.03,0.08,0.0,0.0,0.11,1
zki98,0.0,0.0,0.0,0.16,0.0,0.04,0.42,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.16,6
zmg33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
zmt5l,0.39,0.0,0.0,0.0,0.0,0.11,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0
znpka,0.4,0.0,0.0,0.0,0.0,0.17,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0
znyb7,0.0,0.09,0.0,0.0,0.0,0.0,0.1,0.11,0.42,0.21,0.0,0.03,0.0,0.03,0.0,8
zo8l3,0.31,0.56,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
zo9ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.13,0.0,0.0,0.42,14
zojc9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.13,0.0,0.0,0.42,14
zok1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.14,0.0,0.49,0.0,0.0,0.0,11
zokht,0.0,0.09,0.41,0.0,0.0,0.06,0.0,0.12,0.31,0.0,0.0,0.0,0.0,0.0,0.0,2
zphwh,0.18,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.21,0.0,8
zqdef,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.38,0.0,0.0,0.45,0.0,0.0,0.0,0.0,10
zqjyv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.86,0.0,0.0,0.0,0.0,0.0,0.0,8
zrxnt,0.0,0.19,0.05,0.04,0.15,0.0,0.0,0.16,0.2,0.0,0.0,0.12,0.07,0.0,0.0,8
zsddw,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.19,0.42,14
zsezh,0.01,0.58,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
zt05u,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.52,0.0,0.0,0.0,0.0,0.31,0.0,0.0,7
ztqhd,0.0,0.0,0.19,0.0,0.0,0.09,0.02,0.1,0.1,0.04,0.33,0.11,0.0,0.02,0.0,10
zz5g4,0.0,0.41,0.05,0.0,0.0,0.06,0.07,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.3,1
zzqi1,0.0,0.28,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.15,0.28,0.0,0.09,0.08,0.0,1
zzstk,0.38,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
102gok,0.0,0.07,0.08,0.07,0.0,0.19,0.0,0.14,0.18,0.04,0.19,0.02,0.02,0.0,0.0,5
102h1y,0.0,0.08,0.07,0.07,0.0,0.19,0.0,0.14,0.19,0.04,0.17,0.01,0.02,0.02,0.0,5
103o4t,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,14
103sd2,0.0,0.0,0.17,0.0,0.08,0.4,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.12,0.0,5
105uv0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.04,0.14,0.16,0.28,10
107sri,0.0,0.54,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.07,0.0,0.18,1
108r91,0.0,0.1,0.25,0.0,0.0,0.28,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.05,0.07,5
109adb,0.0,0.19,0.28,0.0,0.0,0.0,0.0,0.26,0.0,0.06,0.15,0.05,0.0,0.0,0.0,2
109k2e,0.0,0.2,0.1,0.0,0.45,0.0,0.0,0.05,0.0,0.19,0.0,0.0,0.0,0.0,0.0,4
109vgy,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.19,2
10e7qa,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.17,0.17,0.02,0.08,0.41,0.0,0.02,0.0,11
10gfq9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.11,0.23,0.21,0.09,0.14,0.0,0.0,9
10gi3g,0.0,0.0,0.0,0.0,0.0,0.27,0.42,0.0,0.0,0.12,0.0,0.0,0.0,0.04,0.14,6
10h6t2,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.12,0.0,0.19,0.08,0.0,0.27,0.1,0.0,12
10joqu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.74,14
10kys3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.05,0.17,0.35,10
10o7gx,0.0,0.18,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.13,0.0,0.0,0.0,0.47,0.0,13
10p2ml,0.07,0.1,0.0,0.0,0.0,0.2,0.02,0.37,0.04,0.08,0.01,0.05,0.0,0.05,0.0,7
10w5z3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.36,0.0,0.0,0.0,0.0,0.0,0.14,7
10w82q,0.0,0.36,0.0,0.03,0.0,0.22,0.12,0.0,0.06,0.1,0.09,0.0,0.0,0.02,0.0,1
10xyy3,0.0,0.06,0.04,0.0,0.01,0.08,0.0,0.54,0.07,0.03,0.11,0.01,0.03,0.0,0.02,7
10ycbk,0.0,0.0,0.0,0.0,0.0,0.11,0.44,0.0,0.0,0.19,0.05,0.0,0.11,0.0,0.09,6
1101yt,0.0,0.28,0.0,0.0,0.0,0.0,0.08,0.11,0.0,0.0,0.0,0.04,0.0,0.0,0.48,14
110a23,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.29,0.0,0.0,0.0,0.19,0.29,0.05,0.0,7
110rrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.09,0.46,0.0,0.03,0.0,11
111dqv,0.0,0.45,0.0,0.1,0.09,0.0,0.0,0.0,0.0,0.11,0.0,0.05,0.0,0.0,0.19,1
1129na,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.14,0.46,0.0,0.28,0.0,0.0,0.0,0.0,8
112jez,0.01,0.01,0.01,0.01,0.84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
112mxa,0.0,0.09,0.0,0.0,0.02,0.06,0.0,0.0,0.21,0.33,0.28,0.0,0.0,0.0,0.0,9
113ssh,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.15,0.32,0.0,0.0,0.13,0.0,10
114muf,0.0,0.0,0.0,0.12,0.0,0.31,0.0,0.0,0.0,0.04,0.35,0.0,0.0,0.0,0.17,10
115o0v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.57,0.0,0.0,0.0,0.0,0.26,9
117dn1,0.0,0.0,0.0,0.0,0.0,0.47,0.23,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,5
117j89,0.01,0.3,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27,4
11a2pn,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.38,0.0,0.41,0.0,0.0,0.0,0.06,0.0,9
11ct8x,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.17,0.55,0.0,0.0,0.0,0.0,0.07,0.0,8
11dhy5,0.0,0.0,0.1,0.0,0.02,0.26,0.0,0.5,0.0,0.0,0.05,0.0,0.0,0.0,0.07,7
11foxu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
11ij6t,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.6,0.0,0.1,0.1,0.0,0.0,0.05,8
11k0xh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.58,14
11kjtb,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.17,10
11lvu7,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.33,0.0,0.05,0.0,0.17,0.06,0.06,0.0,7
11myda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.14,0.13,0.21,11
11oz46,0.0,0.13,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,5
11qo5l,0.07,0.0,0.0,0.08,0.0,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.28,0.44,14
11t3yf,0.0,0.7,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.08,1
11ucv9,0.0,0.2,0.12,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.03,0.35,14
11uf4y,0.0,0.0,0.19,0.0,0.43,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.16,4
11x102,0.0,0.0,0.25,0.0,0.0,0.04,0.0,0.31,0.18,0.0,0.14,0.07,0.0,0.0,0.0,7
11x1vm,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,14
11zmre,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.24,0.0,0.29,0.0,0.08,0.0,0.12,10
11zt2q,0.02,0.0,0.12,0.04,0.0,0.19,0.19,0.0,0.0,0.09,0.07,0.09,0.0,0.02,0.17,5
121nj0,0.0,0.12,0.0,0.0,0.07,0.0,0.0,0.0,0.32,0.46,0.0,0.0,0.0,0.0,0.0,9
121s38,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1
122nvn,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.24,6
122rn1,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.14,0.0,0.08,0.0,0.32,0.13,0.0,0.0,11
12axkm,0.0,0.42,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.0,0.35,1
12d4wy,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.24,0.1,0.0,0.0,0.04,0.0,0.0,0.0,5
12deks,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.12,0.31,0.02,0.14,0.0,0.0,0.0,0.0,1
12i9ew,0.0,0.42,0.13,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.09,0.05,0.0,0.0,1
12lbii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.13,0.0,0.36,0.08,0.0,0.18,0.0,10
12lbta,0.0,0.06,0.0,0.0,0.34,0.27,0.0,0.1,0.09,0.04,0.01,0.01,0.0,0.0,0.07,4
12mgxq,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.0,0.0,0.0,0.3,1
12mi21,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.21,8
12mveg,0.0,0.2,0.06,0.0,0.0,0.0,0.11,0.0,0.08,0.11,0.12,0.27,0.03,0.0,0.0,11
12ptei,0.0,0.0,0.38,0.0,0.0,0.09,0.0,0.0,0.19,0.0,0.32,0.0,0.0,0.0,0.0,2
12qiqw,0.0,0.0,0.38,0.0,0.0,0.09,0.0,0.0,0.19,0.0,0.32,0.0,0.0,0.0,0.0,2
12rbed,0.0,0.62,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.0,0.0,0.0,0.0,1
12sc3y,0.0,0.0,0.4,0.0,0.0,0.07,0.0,0.0,0.23,0.0,0.28,0.0,0.0,0.0,0.0,2
12wi4c,0.0,0.29,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.34,0.02,0.0,0.13,11
12winh,0.0,0.17,0.0,0.0,0.0,0.0,0.04,0.27,0.07,0.0,0.2,0.0,0.03,0.22,0.0,7
12xp37,0.03,0.48,0.0,0.14,0.0,0.0,0.1,0.0,0.0,0.18,0.0,0.0,0.06,0.0,0.0,1
12xr2x,0.0,0.0,0.0,0.09,0.0,0.51,0.0,0.09,0.0,0.1,0.06,0.03,0.11,0.0,0.0,5
12ye9o,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.27,0.37,0.0,0.03,0.1,0.09,10
12yl3b,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.26,0.0,0.0,0.0,0.08,0.25,7
12yqe2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.16,0.43,0.0,0.0,0.0,0.0,0.32,9
12z3kz,0.0,0.06,0.0,0.0,0.33,0.23,0.0,0.14,0.09,0.08,0.01,0.01,0.0,0.0,0.04,4
12zaaj,0.03,0.16,0.01,0.0,0.1,0.07,0.13,0.16,0.07,0.12,0.06,0.04,0.0,0.03,0.0,1
131lxz,0.0,0.0,0.24,0.0,0.08,0.24,0.0,0.32,0.0,0.0,0.0,0.04,0.0,0.0,0.08,7
134nut,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.57,14
13512d,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.59,0.12,0.0,0.0,0.0,10
137d6e,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.45,0.0,0.19,0.0,11
138sae,0.0,0.0,0.4,0.0,0.0,0.07,0.0,0.0,0.23,0.0,0.28,0.0,0.0,0.0,0.0,2
139l9s,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.32,0.0,0.0,0.12,0.0,0.08,0.0,0.0,5
13aw41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.51,0.14,0.0,0.0,0.12,0.0,9
13ceaw,0.0,0.41,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,1
13ckab,0.17,0.35,0.0,0.0,0.0,0.0,0.0,0.14,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1
13cp1a,0.0,0.0,0.04,0.0,0.0,0.0,0.31,0.17,0.0,0.02,0.11,0.0,0.07,0.0,0.27,6
13d2uv,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.09,0.39,0.0,0.0,0.14,0.3,0.0,9
13dj4c,0.0,0.28,0.0,0.28,0.15,0.12,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,1
13frmi,0.0,0.55,0.0,0.1,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.16,0.0,0.0,0.0,1
13hmh8,0.0,0.59,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13ibyf,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,10
13op54,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.28,0.0,0.0,0.16,0.0,0.0,0.11,7
13oyw7,0.0,0.0,0.04,0.0,0.12,0.17,0.0,0.25,0.27,0.15,0.0,0.0,0.0,0.0,0.0,8
13tk7m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.34,0.0,0.26,0.08,11
13uyy9,0.04,0.17,0.0,0.0,0.09,0.0,0.0,0.0,0.24,0.1,0.11,0.08,0.02,0.0,0.16,8
13y63u,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.12,0.24,0.0,0.18,0.03,0.06,0.0,0.0,5
140d4g,0.0,0.4,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.27,1
140prd,0.0,0.27,0.06,0.0,0.28,0.0,0.0,0.12,0.0,0.09,0.03,0.0,0.0,0.15,0.0,4
143jw7,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.16,0.23,0.2,0.13,0.0,0.0,0.07,0.0,8
144wtx,0.0,0.12,0.0,0.0,0.0,0.2,0.0,0.33,0.0,0.0,0.12,0.0,0.0,0.0,0.21,7
14693i,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.13,0.0,7
147sei,0.0,0.0,0.0,0.0,0.0,0.25,0.13,0.0,0.0,0.02,0.08,0.33,0.17,0.0,0.02,11
148gp5,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
148msp,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,13
148nb1,0.0,0.0,0.0,0.0,0.13,0.29,0.0,0.15,0.14,0.07,0.09,0.07,0.06,0.0,0.0,5
148p66,0.0,0.14,0.0,0.0,0.0,0.59,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,5
14a1dh,0.09,0.19,0.0,0.0,0.0,0.0,0.29,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.27,6
14ixyj,0.0,0.31,0.04,0.01,0.0,0.08,0.02,0.25,0.0,0.12,0.01,0.09,0.05,0.02,0.0,1
14lq0g,0.0,0.0,0.0,0.19,0.09,0.18,0.0,0.0,0.22,0.0,0.3,0.0,0.0,0.0,0.0,10
14m6ku,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2
14maq2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,9
14nvv5,0.0,0.19,0.21,0.0,0.0,0.34,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.05,0.07,5
14puqw,0.0,0.23,0.04,0.0,0.21,0.14,0.0,0.0,0.31,0.0,0.0,0.07,0.0,0.0,0.0,8
14q0ak,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,14
14qah7,0.01,0.01,0.01,0.16,0.01,0.01,0.59,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,6
14qwbx,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.05,0.0,0.0,0.0,0.08,0.0,8
14skqh,0.03,0.17,0.03,0.0,0.04,0.21,0.04,0.33,0.02,0.07,0.0,0.0,0.06,0.0,0.0,7
