,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
6evdhs,0.0,0.0,0.02,0.0,0.0,0.46,0.14,0.09,0.0,0.04,0.0,0.0,0.05,0.07,0.13,5
6evyyl,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.12,0.0,0.0,0.0,8
6ewhv7,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.08,0.0,0.15,0.0,2
6eyh0h,0.0,0.17,0.36,0.0,0.07,0.12,0.0,0.13,0.0,0.0,0.04,0.05,0.05,0.0,0.0,2
6ezxaa,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.36,0.11,0.1,0.2,0.0,0.0,0.0,0.0,7
6f059v,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.26,0.38,0.01,0.01,0.01,0.15,10
6f1g98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.52,14
6f2g3d,0.21,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
6f2k5g,0.0,0.1,0.0,0.0,0.0,0.23,0.0,0.19,0.0,0.02,0.0,0.0,0.0,0.04,0.41,14
6f4lqe,0.0,0.0,0.0,0.22,0.14,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.25,0.0,8
6f4lxn,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.34,0.12,13
6f4wbw,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6f6xkb,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.06,0.7,0.0,0.0,0.0,0.0,0.0,0.0,8
6f7wbf,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,14
