,t0 stomach,t1 weight,t2 pain,t3 control,t4 hair,t5 normal,t6 insulin,t7 doctor,t8 day,t9 diet,dominant_topic
xbqfz,0.0,0.11,0.0,0.0,0.0,0.0,0.23,0.4,0.25,0.0,7
xcsh5,0.0,0.34,0.09,0.0,0.0,0.0,0.0,0.37,0.1,0.1,7
xd8o8,0.0,0.33,0.1,0.12,0.04,0.0,0.18,0.0,0.0,0.23,1
xdxmk,0.0,0.18,0.21,0.21,0.07,0.0,0.0,0.28,0.03,0.0,7
xe8x4,0.0,0.0,0.12,0.0,0.0,0.06,0.08,0.73,0.0,0.0,7
xeqm1,0.0,0.52,0.0,0.17,0.17,0.03,0.04,0.0,0.08,0.0,1
xfcxr,0.0,0.31,0.45,0.0,0.0,0.0,0.22,0.0,0.0,0.0,2
xhqz2,0.0,0.27,0.18,0.08,0.0,0.0,0.0,0.33,0.13,0.0,7
xi4bz,0.0,0.0,0.35,0.0,0.0,0.24,0.15,0.26,0.0,0.0,2
xisbr,0.0,0.0,0.0,0.32,0.0,0.0,0.21,0.32,0.12,0.0,3
xky3e,0.01,0.01,0.09,0.01,0.01,0.01,0.76,0.12,0.01,0.01,6
xlre0,0.03,0.42,0.0,0.16,0.11,0.0,0.0,0.08,0.0,0.19,1
xrrv1,0.0,0.7,0.0,0.0,0.0,0.03,0.15,0.0,0.0,0.11,1
xtidd,0.02,0.0,0.0,0.0,0.14,0.57,0.14,0.0,0.12,0.0,5
xtmof,0.0,0.64,0.0,0.0,0.0,0.07,0.0,0.28,0.0,0.0,1
xvz28,0.02,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1
xw92k,0.0,0.09,0.0,0.18,0.24,0.0,0.0,0.28,0.2,0.0,7
xwdur,0.0,0.55,0.29,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1
xx50w,0.0,0.08,0.0,0.14,0.3,0.09,0.0,0.0,0.2,0.19,4
xxsyw,0.0,0.11,0.55,0.18,0.05,0.0,0.0,0.06,0.05,0.0,2
