,t0 stomach,t1 weight,t2 pain,t3 control,t4 hair,t5 normal,t6 insulin,t7 doctor,t8 day,t9 diet,dominant_topic
lt4rme,0.02,0.08,0.0,0.34,0.04,0.0,0.0,0.09,0.04,0.38,9
lt5bou,0.02,0.0,0.0,0.47,0.25,0.24,0.0,0.0,0.0,0.0,3
lt602s,0.0,0.0,0.06,0.12,0.0,0.5,0.03,0.19,0.09,0.0,5
lt73tk,0.08,0.74,0.0,0.05,0.0,0.0,0.11,0.0,0.0,0.0,1
lt76hp,0.01,0.01,0.01,0.26,0.01,0.01,0.7,0.01,0.01,0.01,6
lt7wdb,0.0,0.12,0.0,0.23,0.51,0.06,0.07,0.0,0.0,0.0,4
lt8877,0.02,0.31,0.02,0.02,0.02,0.02,0.02,0.02,0.55,0.02,8
lt8a46,0.12,0.13,0.0,0.09,0.16,0.34,0.0,0.0,0.0,0.15,5
lt8ijl,0.0,0.0,0.1,0.19,0.0,0.42,0.0,0.28,0.0,0.0,5
lt8y7s,0.02,0.35,0.0,0.48,0.0,0.0,0.11,0.02,0.0,0.0,3
lt9jbr,0.01,0.09,0.03,0.18,0.0,0.4,0.0,0.05,0.23,0.0,5
lta2yq,0.02,0.78,0.0,0.11,0.08,0.0,0.0,0.0,0.0,0.0,1
lta8tb,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.23,0.0,0.3,3
lta9b1,0.0,0.82,0.0,0.06,0.0,0.0,0.0,0.11,0.0,0.0,1
ltbd9j,0.0,0.07,0.12,0.1,0.0,0.0,0.18,0.0,0.52,0.0,8
ltbrjz,0.0,0.22,0.03,0.11,0.0,0.0,0.0,0.0,0.23,0.39,9
ltc6s6,0.0,0.17,0.3,0.08,0.09,0.0,0.08,0.05,0.05,0.18,2
ltcvmz,0.0,0.0,0.0,0.12,0.0,0.0,0.19,0.39,0.0,0.27,7
ltdgtt,0.08,0.0,0.18,0.0,0.14,0.0,0.0,0.0,0.0,0.59,9
lte46o,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.34,0.0,4
lte5ls,0.06,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.49,0.0,8
ltef6t,0.0,0.61,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1
ltep42,0.0,0.0,0.0,0.34,0.53,0.0,0.0,0.0,0.12,0.0,4
ltfygh,0.0,0.0,0.0,0.15,0.11,0.0,0.0,0.0,0.14,0.6,9
ltfzk9,0.0,0.0,0.0,0.79,0.0,0.07,0.12,0.0,0.0,0.0,3
ltg9w3,0.07,0.01,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.29,5
ltgpem,0.0,0.15,0.26,0.0,0.0,0.0,0.17,0.0,0.41,0.0,8
lthbls,0.0,0.0,0.15,0.0,0.0,0.35,0.29,0.2,0.0,0.0,5
lthexn,0.13,0.01,0.01,0.01,0.01,0.01,0.78,0.01,0.01,0.01,6
lthzqc,0.18,0.01,0.01,0.01,0.01,0.72,0.01,0.01,0.01,0.01,5
ltin3x,0.0,0.0,0.29,0.37,0.0,0.0,0.0,0.32,0.0,0.0,3
ltizkq,0.05,0.0,0.15,0.07,0.09,0.37,0.08,0.0,0.0,0.17,5
ltj704,0.04,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.11,0.53,9
ltkkic,0.0,0.0,0.0,0.46,0.5,0.0,0.0,0.0,0.0,0.0,4
ltlg77,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,4
ltlwts,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.89,0.0,8
ltn49i,0.01,0.01,0.01,0.01,0.01,0.01,0.43,0.52,0.01,0.01,7
ltndcz,0.0,0.0,0.0,0.1,0.42,0.24,0.15,0.0,0.0,0.08,4
ltne9t,0.0,0.53,0.0,0.0,0.0,0.04,0.06,0.06,0.06,0.25,1
ltngp8,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.28,0.09,0.0,3
ltpgz3,0.0,0.24,0.0,0.0,0.23,0.0,0.0,0.33,0.16,0.05,7
ltq2ro,0.0,0.0,0.21,0.34,0.0,0.09,0.0,0.34,0.0,0.0,3
ltr2h8,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.24,0.15,0.01,6
ltr3mn,0.08,0.0,0.38,0.39,0.0,0.0,0.13,0.0,0.0,0.0,3
ltrelt,0.07,0.18,0.0,0.07,0.51,0.0,0.0,0.07,0.0,0.09,4
ltrmid,0.0,0.68,0.1,0.21,0.0,0.0,0.0,0.0,0.0,0.0,1
lts1xd,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,1
lts4ue,0.03,0.11,0.19,0.06,0.11,0.01,0.0,0.48,0.0,0.01,7
lts55b,0.05,0.0,0.0,0.17,0.18,0.4,0.12,0.07,0.0,0.0,5
lts7zu,0.02,0.23,0.0,0.22,0.0,0.23,0.09,0.0,0.2,0.0,1
ltsuqh,0.0,0.22,0.1,0.0,0.0,0.35,0.0,0.0,0.14,0.18,5
ltt8hi,0.0,0.17,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.07,6
lttid3,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.73,0.0,8
lttv6c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.81,0.0,8
ltugt7,0.0,0.0,0.2,0.15,0.62,0.0,0.0,0.0,0.0,0.0,4
ltujjf,0.0,0.0,0.61,0.0,0.0,0.06,0.1,0.13,0.09,0.0,2
ltvg0v,0.03,0.28,0.33,0.0,0.14,0.0,0.21,0.0,0.0,0.0,2
ltwg9v,0.0,0.2,0.06,0.0,0.0,0.0,0.0,0.34,0.39,0.0,8
ltx9mw,0.0,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.51,0.34,8
lty6z5,0.0,0.0,0.0,0.43,0.05,0.0,0.17,0.15,0.0,0.18,3
ltz1sz,0.0,0.0,0.0,0.0,0.0,0.3,0.58,0.0,0.0,0.11,6
ltzi1c,0.0,0.0,0.0,0.05,0.0,0.6,0.0,0.24,0.0,0.1,5
lu0109,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.33,0.58,0.0,8
lu09ip,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.22,0.13,0.0,3
lu1vhi,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.3,0.24,0.16,7
lu22ak,0.01,0.01,0.01,0.01,0.01,0.5,0.3,0.16,0.01,0.01,5
lu2k66,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
lu35g4,0.03,0.0,0.0,0.17,0.46,0.05,0.0,0.0,0.13,0.15,4
lu379p,0.01,0.01,0.01,0.01,0.52,0.01,0.39,0.01,0.01,0.01,4
lu3hb8,0.0,0.0,0.0,0.0,0.88,0.11,0.0,0.0,0.0,0.0,4
lu3kzj,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
lu3vv3,0.0,0.13,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,4
lu4eug,0.0,0.0,0.42,0.11,0.0,0.06,0.0,0.41,0.0,0.0,2
lu69tg,0.02,0.21,0.19,0.09,0.0,0.0,0.08,0.0,0.4,0.0,8
lu6vwc,0.01,0.01,0.01,0.19,0.22,0.01,0.53,0.01,0.01,0.01,6
lw5ane,0.0,0.34,0.0,0.33,0.0,0.0,0.0,0.25,0.06,0.0,1
lw5w93,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,3
lw5zno,0.0,0.0,0.15,0.0,0.0,0.31,0.19,0.18,0.15,0.0,5
lw6zz6,0.0,0.0,0.26,0.0,0.2,0.52,0.0,0.0,0.0,0.0,5
lw8ne2,0.0,0.26,0.25,0.0,0.03,0.11,0.13,0.11,0.1,0.0,1
lw9k3j,0.0,0.0,0.0,0.2,0.18,0.0,0.21,0.4,0.0,0.0,7
lw9nb4,0.0,0.14,0.36,0.0,0.0,0.0,0.06,0.0,0.0,0.43,9
lw9t2m,0.01,0.15,0.0,0.24,0.0,0.06,0.0,0.43,0.07,0.04,7
lw9y8a,0.0,0.0,0.0,0.0,0.07,0.2,0.07,0.39,0.26,0.0,7
lwak7u,0.02,0.0,0.0,0.29,0.09,0.42,0.06,0.1,0.0,0.0,5
lwb5tu,0.0,0.29,0.44,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2
lwc19t,0.01,0.01,0.01,0.71,0.01,0.01,0.01,0.21,0.01,0.01,3
lwc4or,0.0,0.0,0.13,0.0,0.0,0.0,0.68,0.0,0.0,0.16,6
lwcayk,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.63,0.01,0.01,7
lwccg1,0.02,0.02,0.02,0.02,0.02,0.02,0.47,0.02,0.39,0.02,6
lwcdmc,0.01,0.01,0.43,0.01,0.01,0.01,0.49,0.01,0.01,0.01,6
lwciwr,0.0,0.55,0.14,0.07,0.0,0.0,0.14,0.1,0.0,0.0,1
lwcmn9,0.0,0.55,0.12,0.08,0.0,0.0,0.14,0.11,0.0,0.0,1
lwd6om,0.0,0.43,0.07,0.0,0.0,0.0,0.0,0.0,0.17,0.3,1
lwd7vc,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.58,0.0,8
lwdc8s,0.11,0.01,0.24,0.01,0.01,0.01,0.41,0.01,0.01,0.2,6
lwe45x,0.0,0.0,0.0,0.0,0.0,0.38,0.59,0.0,0.0,0.0,6
lwebai,0.0,0.03,0.0,0.12,0.0,0.25,0.16,0.4,0.0,0.05,7
lweg3a,0.0,0.25,0.0,0.36,0.09,0.0,0.0,0.15,0.0,0.14,3
lwejoa,0.0,0.0,0.13,0.37,0.0,0.0,0.0,0.41,0.0,0.07,7
lwfd3g,0.0,0.0,0.26,0.43,0.0,0.0,0.0,0.29,0.0,0.0,3
lwgh37,0.0,0.1,0.26,0.2,0.0,0.0,0.0,0.0,0.11,0.33,9
lwgtsu,0.0,0.34,0.0,0.23,0.0,0.0,0.0,0.0,0.1,0.31,1
lwgwhp,0.0,0.07,0.0,0.18,0.0,0.2,0.0,0.42,0.0,0.12,7
lwhoe2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,9
lwhztv,0.01,0.01,0.01,0.01,0.61,0.22,0.01,0.01,0.13,0.01,4
lwi5ty,0.01,0.01,0.01,0.34,0.01,0.09,0.01,0.01,0.54,0.01,8
lwiq28,0.03,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.3,0.14,3
lwiv03,0.0,0.18,0.41,0.0,0.0,0.19,0.2,0.0,0.0,0.0,2
lwiwu1,0.17,0.02,0.02,0.02,0.02,0.02,0.02,0.36,0.33,0.02,7
lwj6k2,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.38,0.09,0.01,3
lwjtff,0.0,0.0,0.0,0.64,0.0,0.24,0.09,0.0,0.0,0.0,3
lwkfv8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.56,0.02,0.28,7
lwlnj7,0.0,0.0,0.43,0.04,0.07,0.12,0.09,0.0,0.25,0.0,2
lwm7j0,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.72,9
lwoif1,0.0,0.15,0.13,0.0,0.04,0.0,0.0,0.0,0.67,0.0,8
lwqpcn,0.0,0.0,0.07,0.0,0.0,0.21,0.0,0.36,0.34,0.0,7
lwss6i,0.03,0.0,0.52,0.0,0.0,0.0,0.0,0.43,0.0,0.0,2
lwsv9t,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
lwtado,0.0,0.39,0.0,0.0,0.23,0.0,0.14,0.23,0.0,0.0,1
lwtkob,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.75,0.0,8
lwttx4,0.0,0.12,0.0,0.11,0.05,0.34,0.07,0.17,0.03,0.12,5
lwu0ue,0.0,0.2,0.0,0.0,0.2,0.09,0.0,0.0,0.1,0.4,9
lwuarc,0.0,0.0,0.13,0.0,0.18,0.0,0.0,0.46,0.21,0.0,7
lwvjk4,0.02,0.0,0.0,0.25,0.08,0.0,0.23,0.39,0.0,0.0,7
lwvltl,0.0,0.0,0.69,0.0,0.0,0.0,0.05,0.23,0.0,0.0,2
lwvsgh,0.0,0.0,0.0,0.56,0.42,0.0,0.0,0.0,0.0,0.0,3
lwwman,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.54,9
lwwr3k,0.0,0.08,0.0,0.05,0.41,0.0,0.0,0.31,0.14,0.0,4
lwwwrg,0.03,0.17,0.0,0.0,0.16,0.0,0.63,0.0,0.0,0.0,6
lwxbto,0.0,0.0,0.0,0.55,0.19,0.0,0.0,0.25,0.0,0.0,3
lwxu8t,0.01,0.01,0.01,0.01,0.28,0.25,0.42,0.01,0.01,0.01,6
lwyc5n,0.0,0.0,0.0,0.26,0.0,0.34,0.13,0.14,0.0,0.12,5
lwydju,0.0,0.12,0.04,0.0,0.13,0.28,0.0,0.0,0.0,0.41,9
lwyg6s,0.01,0.0,0.0,0.08,0.0,0.0,0.1,0.51,0.24,0.05,7
lwzr6h,0.02,0.37,0.0,0.0,0.0,0.28,0.0,0.0,0.16,0.17,1
lx04ui,0.0,0.34,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.55,9
lx0c0s,0.0,0.1,0.0,0.0,0.04,0.0,0.11,0.68,0.06,0.0,7
lx0mmy,0.0,0.25,0.0,0.26,0.0,0.33,0.09,0.0,0.07,0.0,5
lx0vjp,0.0,0.0,0.0,0.0,0.0,0.45,0.08,0.41,0.04,0.0,5
lx123n,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
lx1s1u,0.0,0.0,0.0,0.51,0.0,0.0,0.11,0.36,0.0,0.0,3
lx20ce,0.0,0.38,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.58,9
lx2d7i,0.0,0.0,0.56,0.0,0.0,0.09,0.0,0.32,0.0,0.0,2
lx2dyq,0.01,0.01,0.18,0.78,0.01,0.01,0.01,0.01,0.01,0.01,3
lx2gft,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.06,0.15,0.0,6
lx2mmz,0.1,0.0,0.24,0.3,0.0,0.0,0.0,0.0,0.0,0.34,9
lx2ruu,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.54,0.0,0.0,7
lx31z2,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.5,0.01,8
lx36v5,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.33,0.17,0.0,5
lx39ry,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.4,0.01,2
lx3q6x,0.0,0.37,0.0,0.0,0.24,0.0,0.0,0.0,0.18,0.2,1
lx4dvg,0.01,0.37,0.01,0.01,0.56,0.01,0.01,0.01,0.01,0.01,4
lx4ldp,0.02,0.0,0.0,0.19,0.14,0.43,0.0,0.11,0.0,0.11,5
lx4r6n,0.0,0.0,0.0,0.19,0.0,0.42,0.05,0.32,0.0,0.0,5
lx4tqb,0.0,0.11,0.23,0.0,0.17,0.13,0.29,0.07,0.0,0.0,6
lx4wjo,0.0,0.0,0.25,0.0,0.58,0.0,0.11,0.04,0.0,0.0,4
lx4xdt,0.0,0.29,0.0,0.3,0.13,0.05,0.0,0.0,0.0,0.22,3
lx4xun,0.02,0.0,0.0,0.34,0.42,0.16,0.0,0.06,0.0,0.0,4
lx5az1,0.0,0.0,0.25,0.33,0.0,0.0,0.0,0.0,0.22,0.19,3
lx5e34,0.0,0.0,0.0,0.19,0.67,0.0,0.0,0.0,0.12,0.0,4
lx5h0y,0.0,0.24,0.0,0.53,0.0,0.0,0.0,0.2,0.0,0.0,3
lx5pnm,0.04,0.0,0.0,0.0,0.0,0.0,0.86,0.07,0.0,0.0,6
lx6q0b,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
lx74b2,0.0,0.0,0.06,0.51,0.0,0.0,0.0,0.0,0.06,0.34,3
lx7a3b,0.0,0.21,0.0,0.08,0.0,0.0,0.49,0.0,0.03,0.17,6
lx7c7e,0.01,0.31,0.0,0.09,0.0,0.22,0.14,0.23,0.0,0.0,1
lx8fwv,0.04,0.37,0.0,0.2,0.02,0.2,0.05,0.05,0.07,0.0,1
lx8jdw,0.01,0.26,0.0,0.28,0.01,0.0,0.05,0.27,0.08,0.04,3
lx8p68,0.01,0.14,0.01,0.51,0.01,0.01,0.01,0.01,0.28,0.01,3
lx8spe,0.01,0.01,0.01,0.6,0.01,0.01,0.33,0.01,0.01,0.01,3
lx9cbz,0.0,0.22,0.0,0.14,0.48,0.0,0.09,0.07,0.0,0.0,4
lxa7zy,0.0,0.0,0.0,0.24,0.0,0.49,0.0,0.25,0.0,0.0,5
lxagxl,0.06,0.0,0.13,0.0,0.51,0.19,0.0,0.0,0.11,0.0,4
lxaum8,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,3
lxb0xc,0.0,0.27,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.38,9
lxbk1u,0.0,0.11,0.71,0.0,0.02,0.0,0.03,0.0,0.0,0.12,2
lxbo34,0.0,0.0,0.0,0.23,0.0,0.0,0.57,0.18,0.0,0.0,6
lxdfqx,0.0,0.4,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.36,1
lxetwr,0.0,0.37,0.0,0.0,0.03,0.0,0.14,0.0,0.0,0.45,9
lxg5qy,0.12,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,9
lxghz9,0.0,0.0,0.38,0.0,0.0,0.28,0.21,0.11,0.0,0.0,2
lxgxnk,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.43,0.0,0.0,3
lxib0a,0.0,0.55,0.0,0.0,0.0,0.0,0.11,0.0,0.06,0.26,1
lxirhm,0.0,0.47,0.0,0.0,0.0,0.17,0.0,0.0,0.34,0.0,1
lxjfyj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,8
lxjl7v,0.01,0.01,0.4,0.01,0.12,0.01,0.01,0.01,0.24,0.21,2
lxjnv7,0.04,0.64,0.0,0.0,0.1,0.0,0.0,0.21,0.0,0.0,1
lxjpsl,0.08,0.0,0.0,0.22,0.0,0.0,0.0,0.68,0.0,0.0,7
lxk06n,0.05,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.24,1
lxkpdx,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,1
lxkpmf,0.0,0.38,0.0,0.06,0.0,0.0,0.0,0.0,0.53,0.0,8
lxl1po,0.0,0.0,0.0,0.13,0.04,0.2,0.04,0.46,0.13,0.0,7
lxl7aj,0.0,0.15,0.0,0.0,0.2,0.52,0.07,0.0,0.07,0.0,5
lxlh3e,0.06,0.12,0.24,0.2,0.0,0.0,0.0,0.0,0.0,0.38,9
lxmbmq,0.01,0.01,0.01,0.26,0.69,0.01,0.01,0.01,0.01,0.01,4
lxngat,0.0,0.0,0.0,0.08,0.61,0.0,0.18,0.05,0.0,0.07,4
lxnwpu,0.01,0.01,0.01,0.01,0.01,0.55,0.41,0.01,0.01,0.01,5
lxnwwt,0.0,0.19,0.0,0.23,0.0,0.38,0.0,0.0,0.0,0.19,5
lxnzem,0.0,0.08,0.0,0.29,0.07,0.0,0.0,0.11,0.44,0.0,8
lxpaq4,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
lxpyyl,0.0,0.07,0.17,0.0,0.0,0.0,0.0,0.42,0.33,0.0,7
lxql3u,0.0,0.0,0.0,0.0,0.07,0.0,0.28,0.0,0.0,0.62,9
lxqz45,0.01,0.01,0.01,0.66,0.01,0.01,0.19,0.1,0.01,0.01,3
lxr01w,0.0,0.14,0.0,0.44,0.0,0.0,0.18,0.23,0.0,0.0,3
lxs3zz,0.0,0.0,0.13,0.49,0.05,0.0,0.0,0.0,0.21,0.12,3
lxs8hz,0.0,0.52,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,1
lxsmfy,0.0,0.26,0.04,0.0,0.0,0.0,0.0,0.05,0.64,0.0,8
lxsny2,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.48,9
lxsudu,0.01,0.01,0.49,0.01,0.01,0.27,0.13,0.01,0.01,0.07,2
lxsuwn,0.0,0.0,0.17,0.21,0.0,0.46,0.0,0.0,0.13,0.0,5
lxsz6a,0.0,0.24,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,3
lxt0n6,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.28,0.25,0.0,3
lxt552,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,7
lxta5g,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.46,0.01,0.01,6
lxto8v,0.0,0.31,0.0,0.0,0.0,0.0,0.39,0.0,0.26,0.0,6
lxubv1,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.21,0.0,4
lxwaxk,0.0,0.24,0.0,0.0,0.47,0.0,0.1,0.0,0.0,0.18,4
lxwl5a,0.0,0.0,0.13,0.13,0.0,0.0,0.16,0.58,0.0,0.0,7
lxwn08,0.0,0.0,0.0,0.25,0.23,0.23,0.04,0.0,0.0,0.24,3
lxxefs,0.02,0.4,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.52,9
lxxla2,0.0,0.36,0.0,0.0,0.0,0.06,0.0,0.08,0.34,0.15,1
lxymq2,0.04,0.24,0.0,0.0,0.0,0.0,0.09,0.3,0.0,0.32,9
lxypgs,0.0,0.0,0.09,0.0,0.0,0.87,0.0,0.0,0.0,0.0,5
ly02lr,0.0,0.0,0.0,0.0,0.0,0.08,0.43,0.17,0.0,0.31,6
ly0syj,0.0,0.0,0.14,0.0,0.26,0.0,0.0,0.0,0.08,0.52,9
ly10lx,0.05,0.0,0.0,0.38,0.56,0.0,0.0,0.0,0.0,0.0,4
ly12kx,0.01,0.01,0.01,0.65,0.01,0.01,0.01,0.01,0.25,0.01,3
ly20hb,0.0,0.28,0.0,0.53,0.12,0.0,0.0,0.0,0.05,0.0,3
ly24rd,0.06,0.0,0.23,0.0,0.5,0.0,0.0,0.0,0.19,0.0,4
ly24z6,0.02,0.02,0.02,0.02,0.34,0.02,0.02,0.5,0.02,0.02,7
ly2518,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
ly2e67,0.01,0.07,0.0,0.08,0.0,0.25,0.0,0.57,0.0,0.0,7
ly35af,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.54,0.0,8
ly3u1h,0.0,0.0,0.08,0.0,0.68,0.0,0.0,0.22,0.0,0.0,4
ly4wkl,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.28,0.0,2
ly6p13,0.0,0.0,0.0,0.0,0.69,0.0,0.29,0.0,0.0,0.0,4
ly7osp,0.0,0.0,0.0,0.4,0.0,0.42,0.15,0.0,0.0,0.0,5
ly82d7,0.0,0.43,0.0,0.24,0.0,0.0,0.0,0.0,0.32,0.0,1
ly8klp,0.0,0.0,0.18,0.43,0.0,0.0,0.0,0.0,0.38,0.0,3
ly98zb,0.0,0.0,0.0,0.08,0.62,0.03,0.0,0.07,0.18,0.02,4
lzs9hu,0.08,0.15,0.0,0.0,0.42,0.0,0.33,0.0,0.0,0.0,4
lzt15k,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.34,0.02,7
lztaff,0.01,0.01,0.09,0.18,0.01,0.01,0.01,0.01,0.69,0.01,8
lzu610,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.24,0.4,0.18,8
m040fm,0.04,0.3,0.0,0.25,0.0,0.0,0.23,0.15,0.0,0.03,1
m044fh,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,3
m04jjz,0.04,0.0,0.0,0.0,0.06,0.25,0.0,0.0,0.41,0.23,8
m04qd9,0.01,0.01,0.01,0.26,0.01,0.01,0.21,0.01,0.49,0.01,8
m054oq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.31,0.0,7
m05zgc,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,4
m06xn5,0.01,0.29,0.01,0.01,0.01,0.01,0.66,0.01,0.01,0.01,6
m0hwr3,0.03,0.37,0.0,0.08,0.0,0.06,0.08,0.0,0.03,0.37,1
m0ikw6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,9
m0jkv7,0.0,0.27,0.0,0.0,0.37,0.0,0.23,0.12,0.0,0.0,4
m0jp3h,0.0,0.0,0.29,0.0,0.0,0.0,0.31,0.0,0.0,0.37,9
m0k10t,0.0,0.0,0.42,0.09,0.0,0.0,0.0,0.0,0.22,0.25,2
m0lw2g,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.15,0.23,0.43,9
m0lwhm,0.01,0.01,0.01,0.56,0.01,0.01,0.37,0.01,0.01,0.01,3
m0mght,0.02,0.64,0.0,0.0,0.05,0.0,0.12,0.0,0.0,0.15,1
m0mvdw,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.58,0.22,8
m0mwfm,0.0,0.0,0.0,0.0,0.17,0.38,0.0,0.42,0.0,0.0,7
m0net7,0.03,0.25,0.0,0.0,0.23,0.13,0.21,0.0,0.0,0.14,1
m0nv3n,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.55,0.0,0.0,7
m0ov2s,0.04,0.22,0.0,0.57,0.0,0.15,0.0,0.0,0.0,0.0,3
m0p7nu,0.0,0.0,0.0,0.77,0.0,0.08,0.14,0.0,0.0,0.0,3
m0p8i5,0.0,0.0,0.13,0.0,0.0,0.11,0.0,0.69,0.06,0.0,7
m0pyav,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.28,0.56,0.0,8
m0q6fs,0.01,0.1,0.0,0.0,0.2,0.3,0.06,0.17,0.0,0.16,5
m0q72a,0.0,0.0,0.16,0.19,0.0,0.0,0.37,0.0,0.0,0.26,6
m0qfrd,0.0,0.0,0.35,0.62,0.0,0.0,0.0,0.0,0.0,0.0,3
m0qp5n,0.0,0.25,0.0,0.04,0.0,0.0,0.0,0.4,0.14,0.15,7
m0qu2m,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
m0qvjk,0.0,0.38,0.27,0.0,0.0,0.0,0.13,0.2,0.0,0.0,1
m0r86y,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.46,0.17,0.0,7
m0rgnt,0.0,0.0,0.0,0.27,0.07,0.0,0.0,0.0,0.64,0.0,8
m0rlb9,0.01,0.01,0.01,0.78,0.01,0.18,0.01,0.01,0.01,0.01,3
m0sw4k,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.37,0.0,2
m0t4jh,0.0,0.08,0.0,0.0,0.0,0.62,0.11,0.0,0.0,0.18,5
m0t8do,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.55,0.38,8
m0tpsj,0.0,0.07,0.03,0.18,0.0,0.19,0.04,0.31,0.0,0.17,7
m0tw2l,0.0,0.3,0.0,0.1,0.0,0.0,0.34,0.23,0.0,0.0,6
m0uoll,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.29,2
m0uz86,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.51,0.01,0.01,7
m0vfik,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.47,0.16,0.0,7
m0vutd,0.0,0.04,0.38,0.0,0.0,0.0,0.0,0.5,0.0,0.06,7
m0w3nr,0.0,0.0,0.0,0.0,0.28,0.42,0.0,0.29,0.0,0.0,5
