,t0 pain,t1 metformin,t2 cyst,t3 hair,t4 amp,t5 since,t6 insulin,t7 doctor,t8 day,t9 eat,t10 hair,t11 pregnant,t12 level,t13 started,t14 help,t15 weight,t16 control,t17 skin,t18 feel,t19 health,dominant_topic
tr0sr,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.29,0.06,0.0,0.02,0.0,0.0,0.13,0.32,0.0,0.05,0.01,0.09,0.0,14
ttamw,0.0,0.09,0.03,0.0,0.0,0.24,0.0,0.08,0.0,0.0,0.05,0.04,0.04,0.06,0.14,0.03,0.14,0.06,0.0,0.0,5
ttq47,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.21,0.0,5
twlxc,0.3,0.0,0.23,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.0,0.0,0
tzbe5,0.04,0.0,0.26,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.08,0.02,0.24,0.14,0.0,0.17,0.0,0.0,0.0,0.0,2
tzc53,0.24,0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.37,0.0,0.0,0.13,16
u2386,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.04,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
u2o8g,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.21,0.0,0.0,0.05,0.14,0.18,0.23,0.0,0.0,0.0,0.09,15
u3pu7,0.0,0.0,0.06,0.0,0.03,0.55,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.0,0.05,0.07,0.04,0.0,0.0,0.0,5
u5i4k,0.0,0.11,0.0,0.07,0.0,0.14,0.0,0.14,0.0,0.01,0.07,0.0,0.0,0.0,0.03,0.22,0.14,0.0,0.06,0.0,15
u5xak,0.0,0.19,0.0,0.0,0.11,0.0,0.0,0.33,0.0,0.13,0.0,0.0,0.0,0.08,0.13,0.0,0.0,0.0,0.0,0.0,7
u7qb5,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.27,0.05,0.0,0.0,0.0,0.0,0.21,0.07,0.08,0.12,0.0,0.07,0.0,7
ugo8m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.23,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,7
uj23e,0.0,0.02,0.0,0.0,0.02,0.07,0.28,0.03,0.01,0.01,0.0,0.0,0.02,0.29,0.0,0.1,0.03,0.06,0.06,0.0,13
