,t0 symptom,t1 hair,t2 doctor,t3 help,t4 day,t5 period,t6 level,t7 metformin,t8 year,t9 pregnant,t10 pain,t11 like,t12 weight,t13 control,t14 hair,dominant_topic
tot51,0.14,0.0,0.02,0.0,0.0,0.0,0.43,0.02,0.0,0.0,0.0,0.11,0.27,0.0,0.0,6
tqg38,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.03,0.0,0.09,0.0,0.0,0.2,0.0,0.06,2
tr0sr,0.2,0.03,0.29,0.02,0.06,0.22,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.08,0.0,2
ttamw,0.03,0.0,0.08,0.03,0.0,0.0,0.04,0.1,0.29,0.15,0.03,0.08,0.0,0.16,0.0,8
ttq47,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.58,0.0,0.0,0.0,11
twlxc,0.0,0.0,0.0,0.02,0.1,0.03,0.0,0.0,0.0,0.0,0.53,0.19,0.0,0.09,0.03,10
tzbe5,0.0,0.0,0.0,0.0,0.0,0.05,0.24,0.0,0.29,0.02,0.25,0.0,0.15,0.0,0.0,8
tzc53,0.13,0.0,0.06,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.34,0.0,13
u2386,0.06,0.0,0.12,0.0,0.3,0.0,0.29,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
u2o8g,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.66,0.0,0.0,12
u3pu7,0.0,0.0,0.0,0.05,0.0,0.0,0.07,0.0,0.42,0.35,0.05,0.0,0.0,0.02,0.03,8
u5i4k,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.14,0.41,0.0,0.0,0.13,0.14,0.12,0.0,8
u5xak,0.15,0.0,0.46,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.13,0.0,0.0,2
u7qb5,0.0,0.0,0.33,0.03,0.1,0.0,0.0,0.05,0.23,0.0,0.02,0.05,0.0,0.07,0.11,2
ugo8m,0.14,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,8
uj23e,0.0,0.0,0.06,0.02,0.11,0.06,0.04,0.01,0.1,0.0,0.0,0.16,0.39,0.03,0.03,12
um8z4,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.28,0.0,0.0,0.0,0.44,0.0,0.0,0.0,11
undbi,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,11
uoym5,0.0,0.0,0.09,0.0,0.24,0.3,0.0,0.0,0.21,0.05,0.0,0.0,0.0,0.1,0.0,5
upeuy,0.0,0.0,0.05,0.04,0.47,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.19,0.0,0.0,4
upjrw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.26,0.66,0.0,0.0,12
uppwq,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.17,11
uppz8,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,6
uq2ie,0.27,0.18,0.0,0.0,0.08,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.27,0.0,0.0,0
uqu1p,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.72,0.01,0.01,12
ut1gg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.31,0.0,0.0,0.34,0.0,0.1,0.09,11
utsdh,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.21,0.0,0.0,0.14,0.41,0.0,0.0,12
uut9z,0.0,0.0,0.11,0.0,0.26,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.32,0.0,0.0,12
ux9r5,0.12,0.03,0.0,0.0,0.19,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.43,0.04,0.03,12
uzu4c,0.07,0.0,0.0,0.06,0.0,0.0,0.0,0.2,0.42,0.0,0.03,0.06,0.04,0.0,0.13,8
v2poa,0.0,0.0,0.06,0.0,0.0,0.3,0.0,0.18,0.0,0.0,0.0,0.31,0.05,0.09,0.0,11
v38xw,0.22,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.13,0.0,2
v3m5s,0.0,0.0,0.29,0.05,0.0,0.18,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.05,0.06,8
v4059,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.75,0.02,0.0,12
