,t0 symptom,t1 hair,t2 doctor,t3 help,t4 day,t5 period,t6 level,t7 metformin,t8 year,t9 pregnant,t10 pain,t11 like,t12 weight,t13 control,t14 hair,dominant_topic
o3it6l,0.0,0.0,0.0,0.08,0.18,0.33,0.06,0.0,0.0,0.0,0.09,0.0,0.24,0.0,0.0,5
o3j7ep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.46,0.09,0.0,12
o3jk62,0.32,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.17,3
o3k1bn,0.22,0.01,0.01,0.32,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6
o3ke1g,0.28,0.0,0.16,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,11
o3mrrt,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,12
o3ms42,0.15,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,0.01,11
o3nust,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
o3o1c8,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.06,10
o3oa6l,0.03,0.0,0.02,0.03,0.0,0.11,0.04,0.0,0.09,0.01,0.0,0.43,0.25,0.01,0.0,11
o3od77,0.0,0.0,0.0,0.0,0.22,0.0,0.04,0.0,0.14,0.0,0.0,0.11,0.48,0.0,0.0,12
o3q84a,0.0,0.2,0.0,0.05,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,6
o3r8vm,0.0,0.16,0.17,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,8
o3rnyo,0.0,0.0,0.0,0.0,0.0,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,14
o3sgu0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.41,0.15,13
o3svny,0.01,0.01,0.38,0.47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
o3txjt,0.0,0.0,0.0,0.0,0.23,0.41,0.0,0.26,0.0,0.06,0.0,0.0,0.0,0.0,0.0,5
o3ty91,0.0,0.0,0.12,0.0,0.0,0.16,0.05,0.0,0.0,0.08,0.0,0.15,0.4,0.03,0.0,12
o3uh49,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.62,0.01,0.01,0.01,11
o3w058,0.0,0.05,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.13,0.34,0.0,0.0,5
o3w8jb,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.27,11
o3wafm,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.22,0
o3wfgf,0.16,0.04,0.0,0.0,0.02,0.0,0.02,0.07,0.0,0.0,0.0,0.52,0.0,0.0,0.15,11
o3xh34,0.09,0.14,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.36,0.03,0.0,0.21,0.03,0.0,9
o3y88t,0.0,0.0,0.11,0.0,0.16,0.22,0.02,0.0,0.0,0.29,0.02,0.17,0.0,0.0,0.0,9
o3yka9,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.41,0.0,0.15,0.0,0.0,0.0,0.0,6
o3yxod,0.0,0.2,0.0,0.0,0.0,0.0,0.11,0.01,0.53,0.0,0.0,0.11,0.0,0.02,0.0,8
o3z0ww,0.06,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.72,0.01,0.07,0.0,0.0,0.0,0.0,8
o3z52p,0.1,0.0,0.15,0.0,0.0,0.33,0.0,0.0,0.0,0.09,0.0,0.28,0.0,0.04,0.0,5
o3z75v,0.01,0.01,0.01,0.23,0.11,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.16,0.01,0.01,8
o3zpnd,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4
o40f9g,0.01,0.2,0.01,0.01,0.63,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.01,4
o40h7f,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,5
o40k1s,0.0,0.28,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.46,0.16,0.0,0.0,11
o428f5,0.12,0.0,0.26,0.2,0.0,0.0,0.14,0.07,0.0,0.0,0.06,0.13,0.0,0.0,0.0,2
o42fd5,0.0,0.08,0.0,0.0,0.14,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o444kn,0.29,0.03,0.0,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.35,14
o44pb4,0.0,0.0,0.18,0.06,0.04,0.05,0.0,0.0,0.21,0.1,0.0,0.27,0.06,0.03,0.0,11
o4587u,0.0,0.09,0.0,0.0,0.24,0.0,0.0,0.12,0.26,0.0,0.0,0.0,0.27,0.0,0.0,12
o45kxs,0.15,0.14,0.3,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.0,0.28,0.0,0.0,0.0,2
o46la5,0.0,0.0,0.0,0.06,0.0,0.21,0.45,0.0,0.0,0.0,0.1,0.16,0.0,0.0,0.0,6
o47cne,0.07,0.0,0.0,0.12,0.21,0.0,0.0,0.09,0.0,0.0,0.0,0.05,0.45,0.0,0.0,12
o48t5h,0.06,0.05,0.06,0.06,0.0,0.12,0.49,0.0,0.04,0.0,0.01,0.0,0.0,0.11,0.0,6
o49hlk,0.1,0.16,0.0,0.0,0.0,0.35,0.1,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,5
o49n6j,0.11,0.0,0.0,0.37,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3
o4ak7x,0.27,0.0,0.15,0.09,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.22,0.0,0
o4amem,0.23,0.0,0.0,0.13,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,13
o4azgj,0.05,0.15,0.0,0.05,0.09,0.0,0.05,0.12,0.41,0.0,0.0,0.0,0.0,0.07,0.0,8
o4e9xd,0.23,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o4g7qa,0.21,0.0,0.0,0.08,0.18,0.05,0.0,0.13,0.1,0.0,0.0,0.0,0.26,0.0,0.0,12
o4huv2,0.0,0.0,0.0,0.11,0.0,0.45,0.0,0.0,0.0,0.0,0.21,0.14,0.0,0.08,0.0,5
o4iejx,0.06,0.04,0.0,0.0,0.23,0.09,0.12,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,11
o4k12u,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.09,0.42,0.0,0.0,0.23,0.15,0.06,0.0,8
o4kfd7,0.0,0.09,0.0,0.0,0.0,0.06,0.15,0.0,0.19,0.0,0.0,0.0,0.12,0.28,0.11,13
o4n6x6,0.11,0.0,0.21,0.13,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.0,4
o4ngrb,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.12,5
o4niz7,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.01,3
o4p7ie,0.0,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.0,0.0,0.57,0.0,0.0,12
o4rehh,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.14,0.0,5
o4s32o,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.23,0.0,0.0,0.37,14
o4s7db,0.1,0.0,0.06,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.11,0.09,0.29,0.07,0.0,12
o4s88f,0.0,0.0,0.1,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.12,0.0,5
o4se9h,0.0,0.0,0.09,0.0,0.11,0.0,0.0,0.0,0.3,0.0,0.03,0.0,0.46,0.0,0.0,12
o4soy8,0.11,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,12
o4v0pp,0.15,0.03,0.0,0.05,0.0,0.0,0.04,0.06,0.24,0.0,0.0,0.19,0.1,0.1,0.04,8
o4w5mk,0.0,0.03,0.03,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.2,0.37,0.0,0.23,12
o4y13p,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,11
o4y2wa,0.63,0.01,0.01,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
o4y3nu,0.0,0.23,0.0,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,12
o4y4x5,0.14,0.23,0.0,0.26,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,13
o4y6hg,0.0,0.0,0.0,0.0,0.0,0.63,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o4ym8k,0.0,0.0,0.16,0.0,0.0,0.21,0.32,0.04,0.0,0.0,0.03,0.0,0.24,0.0,0.0,6
o4yp84,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,12
o4z405,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.59,0.01,13
o50ntv,0.0,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.32,0.0,0.0,0.0,0.55,0.0,0.0,12
o50xev,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.07,0.3,0.0,0.0,0.06,11
o50zzu,0.0,0.0,0.64,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
o51kpz,0.0,0.0,0.0,0.0,0.09,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,5
o51lzz,0.0,0.1,0.0,0.0,0.0,0.39,0.14,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,5
o52t4n,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.68,0.01,0.01,0.01,0.21,10
o52ysg,0.0,0.29,0.0,0.0,0.0,0.0,0.1,0.0,0.24,0.0,0.0,0.05,0.0,0.0,0.3,14
o531e6,0.0,0.0,0.0,0.0,0.08,0.52,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.1,0.06,5
o543r0,0.0,0.28,0.12,0.0,0.0,0.16,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,13
o545yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.87,14
o5552g,0.0,0.0,0.03,0.0,0.0,0.73,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,5
o56lcz,0.13,0.0,0.0,0.19,0.17,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.27,0.08,0.0,12
o56w2d,0.11,0.0,0.16,0.0,0.0,0.2,0.0,0.0,0.0,0.26,0.0,0.16,0.0,0.1,0.0,9
o576x0,0.0,0.0,0.0,0.09,0.19,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.54,0.0,0.0,12
o57bjp,0.11,0.0,0.29,0.06,0.0,0.19,0.1,0.0,0.12,0.05,0.0,0.0,0.0,0.08,0.0,2
o57s03,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.33,0.0,0.0,0.0,0.3,0.0,0.19,8
o57ukq,0.13,0.0,0.0,0.07,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.47,14
o585os,0.34,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
o58974,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.35,11
o59ter,0.09,0.0,0.0,0.13,0.21,0.0,0.0,0.0,0.18,0.0,0.0,0.37,0.0,0.0,0.0,11
o5aaup,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.41,0.0,0.0,0.0,0.16,0.09,0.16,8
o5aixr,0.0,0.17,0.0,0.07,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
o5an8x,0.75,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0
o5cfod,0.0,0.0,0.07,0.0,0.17,0.18,0.0,0.0,0.0,0.1,0.18,0.28,0.0,0.0,0.02,11
o5ctnu,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.1,0.0,0.0,0.46,14
o5d0k6,0.0,0.11,0.1,0.0,0.07,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.13,0.12,0.02,8
o5d3k3,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.22,0.0,0.0,11
o5dhrk,0.06,0.0,0.1,0.1,0.18,0.0,0.29,0.11,0.0,0.0,0.0,0.1,0.07,0.0,0.0,6
o5eryn,0.28,0.0,0.2,0.0,0.0,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0
o5eys6,0.01,0.49,0.01,0.21,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
o5gtlx,0.0,0.06,0.0,0.08,0.0,0.0,0.51,0.0,0.21,0.0,0.09,0.0,0.0,0.0,0.05,6
o5j8ig,0.0,0.32,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1
o5jqpz,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.43,0.0,0.0,12
o5k87d,0.0,0.0,0.26,0.0,0.0,0.0,0.13,0.0,0.0,0.26,0.0,0.33,0.0,0.0,0.0,11
o5kkal,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.07,0.0,0.0,0.06,10
o5l2kz,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,5
o5m1qj,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.38,0.5,0.06,0.0,12
o5m5nz,0.0,0.16,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.26,12
o5n554,0.0,0.0,0.0,0.1,0.0,0.64,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,5
o5nhrp,0.0,0.0,0.15,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o5ofgc,0.06,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.68,0.02,0.0,12
o5opky,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.35,0.1,0.1,8
o5ov9s,0.11,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.21,11
o5p2it,0.0,0.0,0.0,0.11,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5
o5pbis,0.22,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.17,2
o5qhm7,0.0,0.0,0.0,0.0,0.23,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,5
o5qodv,0.18,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,11
o5r3x9,0.17,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.64,0.0,0.0,0.08,11
o5rjdv,0.0,0.14,0.06,0.0,0.21,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,12
o5t104,0.01,0.38,0.01,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
o5t76p,0.0,0.0,0.27,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.15,0.0,0.0,0.0,10
o5thsn,0.0,0.06,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.18,0.57,0.0,0.0,12
o5ut08,0.01,0.88,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
o5v192,0.0,0.27,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.22,0.19,0.0,0.0,6
o5vi3i,0.12,0.0,0.06,0.08,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.52,0.0,0.01,0.0,11
o5w38d,0.0,0.0,0.14,0.0,0.0,0.44,0.11,0.12,0.0,0.0,0.0,0.18,0.0,0.0,0.0,5
o5w6oe,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,6
o5w8s9,0.29,0.0,0.04,0.0,0.0,0.27,0.0,0.0,0.0,0.19,0.0,0.2,0.0,0.0,0.0,0
o5wnyf,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.53,0.0,0.14,12
o5wuwe,0.0,0.27,0.0,0.12,0.0,0.0,0.35,0.0,0.0,0.0,0.08,0.17,0.0,0.0,0.0,6
o5x07x,0.03,0.0,0.16,0.15,0.0,0.21,0.0,0.09,0.0,0.0,0.0,0.0,0.35,0.0,0.0,12
o5x2n5,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.19,0.0,0.03,0.2,0.07,0.36,0.0,13
o5x4m8,0.0,0.0,0.23,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.15,0.48,0.0,0.0,0.0,11
o5yw37,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.54,0.33,0.0,0.0,0.0,10
o5zyk1,0.0,0.0,0.0,0.0,0.22,0.0,0.16,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,9
o60ihj,0.0,0.0,0.15,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.24,0.0,0.0,0.0,5
o60jif,0.0,0.31,0.0,0.21,0.0,0.28,0.0,0.07,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1
o60wzh,0.13,0.29,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o60zv7,0.12,0.0,0.0,0.05,0.24,0.12,0.07,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8
o61bc8,0.0,0.06,0.0,0.0,0.0,0.11,0.0,0.0,0.2,0.0,0.0,0.0,0.56,0.07,0.0,12
o621xc,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.73,0.17,13
o62sbm,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0
o63iv3,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.25,0.0,0.0,0.0,0.39,0.0,0.0,0.14,11
o64dcb,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0.01,0.01,11
o64ppt,0.0,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.23,0.35,0.0,0.28,0.0,0.0,0.0,9
o64xo4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.09,0.0,0.0,0.0,10
o650dc,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.19,0.21,0.0,0.0,0.0,0.0,5
o654eg,0.38,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0
o65sj1,0.0,0.43,0.0,0.0,0.0,0.24,0.07,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.11,1
o66f9p,0.0,0.0,0.0,0.18,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o66jwt,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.59,0.0,0.09,0.09,11
o66lx6,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,7
o68s3r,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.1,0.0,0.0,0.0,0.16,0.57,0.0,0.0,12
o69459,0.0,0.26,0.0,0.09,0.0,0.0,0.33,0.11,0.19,0.0,0.0,0.0,0.0,0.0,0.0,6
o69qto,0.19,0.0,0.0,0.06,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,6
o6ac4d,0.11,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.49,0.0,0.0,0.0,11
o6ashc,0.17,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.08,0.0,0.0,2
o6b738,0.0,0.0,0.0,0.0,0.62,0.2,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,4
o6b8v3,0.0,0.0,0.0,0.0,0.41,0.22,0.0,0.0,0.0,0.07,0.0,0.0,0.28,0.0,0.0,4
o6bz1q,0.0,0.0,0.0,0.0,0.08,0.0,0.15,0.0,0.33,0.0,0.0,0.27,0.0,0.13,0.0,8
o6cwus,0.0,0.22,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,13
o6drdr,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.39,0.2,0.0,12
o6fe31,0.0,0.0,0.15,0.04,0.0,0.29,0.0,0.02,0.14,0.0,0.0,0.18,0.0,0.15,0.02,5
o6fklx,0.0,0.03,0.0,0.03,0.0,0.21,0.0,0.09,0.0,0.0,0.0,0.0,0.3,0.33,0.0,13
o6gc20,0.05,0.0,0.11,0.17,0.0,0.0,0.1,0.0,0.28,0.0,0.0,0.0,0.12,0.17,0.0,8
o6gfo9,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.35,0.18,0.13,0.0,0.0,0.0,0.07,0.0,7
o6gm2n,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,12
o6gycp,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.1,0.0,0.22,0.24,0.02,0.02,0.19,11
o6gygw,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.1,0.0,0.22,0.24,0.02,0.02,0.19,11
o6gyva,0.01,0.62,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
o6gzr7,0.03,0.0,0.06,0.0,0.08,0.16,0.26,0.0,0.12,0.0,0.07,0.0,0.0,0.13,0.08,6
o6h0s1,0.56,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.01,0.01,0
o6h297,0.0,0.0,0.0,0.0,0.22,0.12,0.0,0.0,0.0,0.0,0.07,0.48,0.0,0.09,0.0,11
o6h3w7,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.43,0.03,0.06,0.0,0.32,0.0,0.0,8
o6h42p,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.43,0.03,0.06,0.0,0.32,0.0,0.0,8
o6hf12,0.09,0.14,0.11,0.27,0.11,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
o6hzyk,0.0,0.0,0.0,0.14,0.0,0.36,0.0,0.0,0.14,0.0,0.18,0.0,0.0,0.15,0.0,5
o6j0u0,0.0,0.0,0.12,0.0,0.58,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
o6j0vo,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.58,0.18,0.06,0.03,11
o6jm33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.88,0.0,0.0,12
o6kp11,0.0,0.0,0.12,0.03,0.14,0.37,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.21,5
o6kt2n,0.03,0.0,0.02,0.02,0.0,0.04,0.0,0.01,0.23,0.0,0.0,0.64,0.0,0.0,0.0,11
o6l710,0.0,0.0,0.14,0.0,0.0,0.08,0.0,0.0,0.0,0.06,0.2,0.23,0.29,0.0,0.0,12
o6ljci,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.0,0.0,0.25,0.42,0.0,0.0,12
o6lp4k,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.53,0.0,0.0,0.0,0.0,10
o6mht4,0.0,0.0,0.17,0.0,0.0,0.13,0.47,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.09,6
o6n0xk,0.08,0.03,0.0,0.0,0.0,0.27,0.0,0.0,0.09,0.12,0.02,0.21,0.0,0.17,0.0,5
o6o93l,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,11
o6oxcx,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.43,0.01,0.01,12
o6qk73,0.12,0.12,0.0,0.04,0.0,0.0,0.0,0.02,0.4,0.0,0.0,0.18,0.0,0.11,0.0,8
o6qkmu,0.09,0.0,0.11,0.0,0.02,0.19,0.0,0.0,0.0,0.0,0.16,0.25,0.0,0.16,0.0,11
o6qm7l,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.35,0.25,0.06,0.0,11
o6qv6m,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
o6qyse,0.11,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.0,0.03,12
o6qzyp,0.0,0.0,0.0,0.06,0.0,0.25,0.0,0.0,0.48,0.0,0.0,0.0,0.05,0.0,0.15,8
o6sv7j,0.0,0.0,0.0,0.22,0.0,0.56,0.0,0.04,0.0,0.15,0.0,0.0,0.0,0.0,0.0,5
o6vdqw,0.0,0.02,0.06,0.0,0.0,0.7,0.02,0.01,0.0,0.0,0.0,0.08,0.06,0.03,0.0,5
o6wmuf,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.42,14
o6x19b,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.18,0.0,0.1,0.5,0.14,0.0,0.0,11
