,t0 pregnant,t1 amp,t2 help,t3 weight,t4 symptom,t5 ultrasound,t6 tissue,t7 surgery,t8 nt,t9 surgery,t10 experience,t11 back,t12 nt,t13 pill,t14 control,dominant_topic
4xqtjt,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.07,0.37,12
4xtt3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.0,0.73,0.0,0.0,12
4xyqv1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.88,0.01,0.01,0.01,0.01,10
4yald0,0.05,0.01,0.0,0.0,0.1,0.0,0.0,0.22,0.2,0.0,0.0,0.0,0.08,0.07,0.27,14
4zjy9z,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.19,0.07,0.49,14
5061ws,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.11,0.0,0.0,0.0,0.26,0.0,0.13,0.32,14
507zim,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.03,0.63,0.0,0.0,12
508opr,0.09,0.0,0.0,0.0,0.44,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
524te1,0.0,0.0,0.06,0.0,0.37,0.21,0.0,0.04,0.0,0.0,0.09,0.02,0.0,0.0,0.2,4
5301qz,0.13,0.11,0.0,0.0,0.19,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.29,0.0,0.0,12
53atcb,0.0,0.04,0.0,0.0,0.0,0.0,0.15,0.64,0.0,0.0,0.14,0.0,0.0,0.0,0.0,7
53hwr0,0.0,0.0,0.06,0.0,0.0,0.66,0.0,0.0,0.0,0.14,0.0,0.0,0.09,0.04,0.0,5
53l5k2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.08,0.06,0.0,10
53ribd,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.21,0.0,0.51,0.11,0.0,0.0,0.0,0.0,9
53u57m,0.04,0.01,0.0,0.0,0.0,0.0,0.03,0.2,0.24,0.0,0.0,0.22,0.07,0.05,0.14,8
541ojj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.3,0.3,0.01,0.01,0.01,0.01,7
543p9j,0.04,0.01,0.01,0.01,0.08,0.2,0.01,0.07,0.24,0.0,0.0,0.0,0.16,0.12,0.05,8
54alzp,0.0,0.0,0.0,0.0,0.17,0.38,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.08,0.28,5
54bsap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.22,0.0,0.2,0.0,0.0,0.0,8
54s7cs,0.13,0.0,0.0,0.02,0.0,0.28,0.01,0.26,0.11,0.0,0.0,0.0,0.08,0.0,0.11,5
54ukgt,0.0,0.0,0.0,0.04,0.0,0.28,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7
54wzn2,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.58,14
5543i3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.63,0.07,0.0,12
55ge5c,0.0,0.0,0.0,0.18,0.25,0.0,0.01,0.0,0.0,0.0,0.2,0.0,0.24,0.12,0.0,4
57dxbq,0.0,0.0,0.0,0.0,0.21,0.51,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.1,0.0,5
580q1c,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.47,14
