,t0 medication,t1 chronic,t2 help,t3 else,t4 weight,t5 right,t6 covid,t7 week,t8 sex,t9 side,t10 woman,t11 nt,t12 told,t13 control,t14 cramp,t15 surgery,t16 really,t17 nt,t18 cyst,t19 amp,dominant_topic
3z0dq7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.17,0.0,0.17,0.04,0.12,0.0,0.15,0.12,0.01,0.0,8
3zi272,0.0,0.0,0.14,0.07,0.0,0.18,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,14
3zru8r,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.21,0.0,0.0,0.4,0.0,0.33,0.0,0.0,0.0,0.02,0.0,0.0,0.0,10
3zvehl,0.0,0.0,0.0,0.05,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.18,0.0,0.0,0.04,0.0,5
3zxw84,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.42,0.06,0.0,0.0,0.0,0.22,0.0,0.0,12
401dq9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.2,0.54,0.0,0.0,0.22,0.0,0.0,14
40eqiv,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.35,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
4101kc,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.47,0.06,0.15,0.0,0.12,0.0,0.0,0.04,0.0,0.0,0.0,0.0,8
412uua,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.2,0.25,0.07,0.0,0.0,0.3,0.0,0.0,0.0,0.03,15
415yaq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.3,0.23,0.12,0.0,0.0,0.0,0.25,0.05,0.0,11
41g5pi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.13,16
41q9np,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.54,0.0,0.0,17
41w9xk,0.02,0.0,0.0,0.0,0.08,0.09,0.0,0.0,0.03,0.0,0.1,0.0,0.23,0.0,0.0,0.0,0.0,0.41,0.04,0.0,17
41yyq5,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.11,0.0,15
420ob8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.05,0.0,15
42miop,0.0,0.0,0.0,0.13,0.39,0.1,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.0,0.0,0.17,0.02,0.0,4
42uqtw,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.45,0.05,0.12,0.0,0.0,0.0,0.0,0.01,12
45oe0x,0.0,0.01,0.0,0.0,0.03,0.19,0.0,0.04,0.0,0.0,0.0,0.0,0.05,0.03,0.18,0.08,0.0,0.35,0.02,0.0,17
46dogt,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.06,0.31,0.0,0.0,0.05,0.16,0.11,0.0,0.0,12
46ks4t,0.0,0.0,0.02,0.0,0.0,0.21,0.0,0.33,0.0,0.05,0.0,0.0,0.13,0.0,0.12,0.07,0.0,0.07,0.0,0.01,7
46lyie,0.0,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.24,0.51,0.0,0.0,17
46tbv8,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.05,0.0,0.04,0.13,0.0,0.0,0.32,0.0,0.0,0.36,0.01,0.0,17
46vsfq,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.14,0.15,0.0,0.0,14
49jleq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.07,10
49kc1k,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.0,0.68,0.0,0.0,0.0,0.03,0.0,14
49pmhh,0.08,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.18,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.18,0.0,0.0,15
4ajgda,0.08,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.09,0.45,0.04,0.0,0.05,0.0,15
4b7k4u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,11
4bj8ty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.53,0.0,0.32,0.0,0.0,0.0,0.0,13
4c38vd,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.38,0.04,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.0,7
4ced9v,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,0.17,0.29,0.06,0.0,17
4ctv7z,0.0,0.0,0.03,0.0,0.18,0.0,0.0,0.28,0.0,0.0,0.0,0.1,0.0,0.0,0.32,0.0,0.0,0.09,0.0,0.0,14
4cypke,0.08,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.18,0.0,0.2,0.03,0.34,0.0,0.0,0.0,16
