,t0 amp,t1 period,t2 nt,t3 sex,t4 symptom,t5 feel,t6 nt,t7 endometriosis,t8 control,t9 surgery,t10 day,t11 cyst,t12 pelvic,t13 advice,t14 else,dominant_topic
nqoqzc,0.0,0.0,0.43,0.0,0.0,0.21,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,2
nqpunv,0.0,0.0,0.21,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.2,0.03,0.05,0.11,0.0,6
nqqogg,0.09,0.0,0.38,0.0,0.06,0.19,0.0,0.0,0.0,0.08,0.19,0.0,0.01,0.0,0.0,2
nquuox,0.0,0.42,0.0,0.0,0.19,0.27,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
nqxeh0,0.16,0.0,0.22,0.0,0.0,0.19,0.25,0.07,0.0,0.0,0.0,0.0,0.1,0.0,0.0,6
nqypy2,0.07,0.36,0.0,0.03,0.0,0.0,0.0,0.0,0.14,0.23,0.0,0.0,0.16,0.0,0.0,1
nqzoah,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.26,0.0,0.0,0.0,0.15,0.0,0.0,0.0,5
nr1rkb,0.0,0.32,0.0,0.0,0.0,0.0,0.44,0.0,0.17,0.0,0.0,0.0,0.0,0.06,0.0,6
nr1rn1,0.01,0.01,0.37,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
nr2oeq,0.0,0.0,0.0,0.0,0.13,0.26,0.0,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.27,14
nr2r7v,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.39,0.13,0.06,0.04,0.03,0.1,9
nr3538,0.02,0.0,0.0,0.0,0.0,0.31,0.22,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,10
nr3a20,0.15,0.11,0.12,0.0,0.0,0.29,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.25,0.0,5
nr3tkw,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.51,0.0,0.33,0.0,0.0,0.0,9
nr46jf,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.13,0.38,0.0,0.0,0.21,0.0,0.0,0.0,8
nr61kt,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.42,0.01,13
nr6owl,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.09,0.1,0.14,0.0,0.0,8
nraj3i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.29,10
nregh6,0.03,0.12,0.0,0.0,0.03,0.0,0.22,0.12,0.0,0.22,0.0,0.15,0.1,0.0,0.0,6
nrg9it,0.0,0.0,0.19,0.3,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nrhvay,0.0,0.0,0.19,0.0,0.0,0.35,0.28,0.0,0.09,0.0,0.0,0.07,0.0,0.0,0.0,5
nrk7pq,0.0,0.29,0.0,0.0,0.0,0.23,0.0,0.15,0.0,0.22,0.0,0.0,0.0,0.11,0.0,1
nrm50f,0.0,0.44,0.0,0.03,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.16,0.21,0.0,0.0,1
nrm5bd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.5,0.1,0.1,12
nrn3l3,0.39,0.0,0.0,0.0,0.06,0.0,0.09,0.0,0.0,0.18,0.0,0.28,0.0,0.0,0.0,0
nrppdo,0.04,0.02,0.21,0.05,0.09,0.05,0.05,0.31,0.0,0.05,0.01,0.0,0.08,0.02,0.04,7
nrq0b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.28,8
nrq4mr,0.0,0.34,0.0,0.03,0.0,0.0,0.2,0.0,0.33,0.1,0.0,0.0,0.0,0.0,0.0,1
nrqs7l,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.42,0.0,0.16,0.1,0.0,10
nrry03,0.0,0.0,0.0,0.0,0.07,0.0,0.19,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,9
nrshl7,0.0,0.0,0.0,0.0,0.24,0.39,0.0,0.14,0.0,0.0,0.22,0.0,0.0,0.0,0.0,5
nrwffw,0.0,0.33,0.0,0.3,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1
nrwi5k,0.0,0.0,0.27,0.0,0.0,0.51,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
nrxgr9,0.08,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.08,0.0,0.22,0.0,9
ns6p7g,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.25,9
nsggrz,0.0,0.25,0.34,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.07,0.0,2
nshxn8,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.01,4
nsjdri,0.09,0.4,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,1
nsmadx,0.0,0.0,0.0,0.36,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.1,0.2,3
nsmekc,0.0,0.07,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2
nsmlp4,0.0,0.0,0.3,0.0,0.0,0.14,0.37,0.0,0.0,0.0,0.13,0.0,0.05,0.0,0.0,6
nsn7lt,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.22,0.69,0.0,0.0,0.0,0.0,0.0,0.0,8
nsoghk,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.3,0.25,0.0,0.15,0.0,0.0,9
nsqx8v,0.05,0.0,0.0,0.13,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.09,0.14,0.0,0.0,6
nsu0zm,0.0,0.57,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
nsuq4m,0.0,0.0,0.04,0.0,0.07,0.0,0.08,0.0,0.0,0.15,0.19,0.24,0.08,0.09,0.05,11
nsv83a,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.09,0.0,0.5,0.0,0.0,0.04,11
nsvw4e,0.15,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.18,0.0,0.0,0.0,0.23,8
nt03lt,0.0,0.22,0.34,0.06,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,9
nt1jzz,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.0,8
nt4h7d,0.02,0.25,0.0,0.02,0.02,0.0,0.21,0.0,0.24,0.03,0.07,0.0,0.07,0.08,0.0,1
nt6lgs,0.01,0.01,0.48,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,2
nt74zj,0.01,0.13,0.25,0.01,0.01,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
nt755z,0.0,0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.27,0.0,0.0,0.0,11
ntlr2k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.35,11
ntomar,0.0,0.0,0.0,0.0,0.39,0.2,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.06,0.0,4
ntonu5,0.02,0.19,0.0,0.05,0.25,0.0,0.0,0.0,0.13,0.1,0.0,0.1,0.07,0.0,0.08,4
ntoq86,0.02,0.25,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.5,0.0,0.05,0.0,0.0,0.0,9
ntqxe7,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.09,0.59,0.0,0.0,0.0,0.0,0.0,0.06,8
ntrgcs,0.0,0.0,0.0,0.0,0.0,0.3,0.39,0.19,0.0,0.12,0.0,0.0,0.0,0.0,0.0,6
ntrw4f,0.26,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.04,0.0,2
ntuswt,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,6
ntw9mo,0.0,0.05,0.23,0.0,0.64,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4
ntx1zn,0.0,0.36,0.0,0.0,0.23,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.25,0.02,0.0,1
ntxj1k,0.0,0.36,0.0,0.22,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ntxj97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.27,0.0,0.0,8
ntxwf1,0.04,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.33,0.26,0.0,0.0,0.0,0.0,4
ntzmoa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.73,0.01,0.01,0.01,0.01,10
nu2vv6,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.0,0.22,0.0,0.55,0.04,0.0,0.0,11
nu3t58,0.0,0.19,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6
nu4aaa,0.0,0.0,0.2,0.0,0.0,0.0,0.08,0.0,0.0,0.5,0.0,0.0,0.0,0.21,0.0,9
nu5l0w,0.0,0.0,0.14,0.0,0.23,0.06,0.14,0.07,0.0,0.19,0.0,0.08,0.01,0.02,0.05,4
nu7civ,0.0,0.4,0.44,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
nu97rt,0.0,0.54,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1
nu9fsw,0.0,0.0,0.27,0.0,0.05,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.05,0.29,0.0,9
nu9zg6,0.0,0.84,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
nua4wt,0.0,0.6,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1
nubp4r,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,4
nujb2t,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
nuk4tn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.32,0.0,0.0,0.37,0.0,13
nupez9,0.0,0.0,0.18,0.0,0.06,0.19,0.44,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,6
nuqdmm,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.15,0.0,0.62,0.0,0.0,0.0,0.0,0.0,9
nurftw,0.0,0.0,0.0,0.16,0.13,0.29,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.17,0.0,5
nuzew5,0.23,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,9
nv42wo,0.14,0.0,0.0,0.0,0.3,0.33,0.0,0.0,0.0,0.0,0.18,0.0,0.04,0.0,0.0,5
nva9hn,0.23,0.0,0.06,0.07,0.0,0.06,0.0,0.41,0.04,0.05,0.0,0.0,0.07,0.0,0.01,7
nvertq,0.27,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
nvewhj,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.35,14
nvgjil,0.12,0.0,0.0,0.0,0.19,0.35,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.18,5
nvgvfp,0.0,0.44,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.22,0.0,0.07,0.07,0.0,1
nvk78i,0.0,0.61,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1
nvl5cb,0.0,0.28,0.0,0.0,0.11,0.0,0.19,0.02,0.0,0.08,0.14,0.0,0.02,0.0,0.17,1
nvlgs2,0.0,0.64,0.0,0.0,0.0,0.0,0.24,0.09,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1
nvlr37,0.0,0.2,0.0,0.0,0.19,0.0,0.16,0.11,0.0,0.0,0.16,0.08,0.11,0.0,0.0,1
nvlydd,0.0,0.16,0.0,0.0,0.0,0.15,0.3,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,8
nvru9w,0.0,0.0,0.1,0.0,0.03,0.29,0.0,0.16,0.0,0.09,0.34,0.0,0.0,0.0,0.0,10
nvtxl9,0.0,0.0,0.0,0.05,0.32,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.4,14
nvupca,0.01,0.01,0.4,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.12,0.01,0.01,0.01,7
nvvk9g,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.11,0.0,0.18,0.0,9
nvwkkv,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.34,0.41,0.01,13
nvxe9p,0.08,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.07,0.3,8
nvxvgu,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.31,0.37,0.0,0.0,0.0,0.0,0.1,9
nvy6u9,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.36,0.0,0.47,0.08,0.0,0.0,11
