,t0 amp,t1 period,t2 nt,t3 period,t4 ultrasound,t5 surgery,t6 control,t7 help,t8 doctor,t9 surgery,dominant_topic
5pinz2,0.0,0.19,0.3,0.0,0.15,0.0,0.0,0.0,0.0,0.33,9
5pri3q,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.74,0.01,0.01,7
5pzrfy,0.02,0.29,0.0,0.03,0.12,0.22,0.32,0.0,0.0,0.0,6
5q47f1,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,3
5q5qvf,0.0,0.0,0.0,0.18,0.0,0.0,0.26,0.52,0.0,0.0,7
5qfnnj,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,3
5qfond,0.02,0.34,0.0,0.11,0.1,0.22,0.19,0.0,0.0,0.0,1
5r2ry5,0.16,0.01,0.01,0.01,0.01,0.01,0.57,0.01,0.01,0.2,6
5r51kw,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.7,9
5rgnv4,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,6
5rmlaa,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.37,9
5rv91w,0.0,0.24,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.6,9
5rxp58,0.0,0.07,0.0,0.67,0.24,0.0,0.0,0.0,0.0,0.0,3
5s9ydn,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.93,0.01,0.01,7
5sa82k,0.0,0.52,0.0,0.0,0.0,0.0,0.35,0.12,0.0,0.0,1
5shkwu,0.0,0.0,0.7,0.19,0.0,0.0,0.05,0.0,0.0,0.05,2
5sk5xd,0.01,0.01,0.01,0.65,0.29,0.01,0.01,0.01,0.01,0.01,3
5skvsq,0.0,0.21,0.36,0.07,0.1,0.0,0.07,0.14,0.0,0.04,2
5slp87,0.0,0.0,0.15,0.0,0.0,0.23,0.0,0.0,0.35,0.26,8
5slssh,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.82,9
5t1rly,0.0,0.0,0.26,0.34,0.25,0.14,0.0,0.0,0.0,0.0,3
5ublbw,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.06,0.0,0.06,2
5ui1yd,0.12,0.0,0.33,0.0,0.0,0.2,0.0,0.33,0.0,0.0,2
5urbwk,0.02,0.16,0.46,0.21,0.0,0.15,0.0,0.0,0.0,0.0,2
5uw8b5,0.0,0.77,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1
5vgcii,0.0,0.0,0.11,0.0,0.0,0.0,0.31,0.57,0.0,0.0,7
5vjkhk,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
5vpo9w,0.0,0.11,0.0,0.0,0.0,0.25,0.46,0.17,0.0,0.0,6
5vqkj6,0.07,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,9
5vwhfc,0.01,0.01,0.48,0.2,0.01,0.26,0.01,0.01,0.01,0.01,2
5vzz7z,0.0,0.21,0.34,0.03,0.0,0.0,0.0,0.31,0.0,0.11,2
5w6k4b,0.03,0.07,0.26,0.39,0.03,0.0,0.0,0.05,0.16,0.0,3
5w847x,0.0,0.37,0.19,0.0,0.25,0.0,0.0,0.0,0.17,0.0,1
5wb08k,0.01,0.01,0.01,0.01,0.01,0.01,0.93,0.01,0.01,0.01,6
5wgkrm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.37,8
5wjcmn,0.0,0.0,0.15,0.36,0.2,0.0,0.0,0.0,0.22,0.05,3
5wl5ov,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5x6n3c,0.01,0.01,0.09,0.53,0.01,0.01,0.01,0.34,0.01,0.01,3
5xmlz7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,7
5xqkv6,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.32,0.01,0.01,3
5xqs9d,0.0,0.0,0.0,0.3,0.56,0.0,0.0,0.12,0.0,0.0,4
5xrjpm,0.0,0.0,0.15,0.29,0.0,0.0,0.0,0.29,0.2,0.05,3
5xw0tv,0.0,0.0,0.11,0.15,0.07,0.0,0.13,0.0,0.53,0.0,8
5xzrjt,0.0,0.0,0.6,0.0,0.0,0.3,0.0,0.09,0.0,0.0,2
5y2xhr,0.0,0.56,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5y4zug,0.0,0.0,0.0,0.23,0.0,0.0,0.51,0.0,0.25,0.0,6
5yc704,0.0,0.45,0.33,0.0,0.0,0.13,0.0,0.0,0.0,0.08,1
5yc8g2,0.09,0.0,0.0,0.17,0.0,0.0,0.72,0.0,0.0,0.0,6
5yn5qt,0.0,0.0,0.0,0.31,0.0,0.25,0.0,0.0,0.42,0.0,8
5yoxes,0.0,0.23,0.0,0.2,0.0,0.0,0.32,0.0,0.25,0.0,6
5z6sng,0.0,0.0,0.06,0.04,0.22,0.08,0.11,0.0,0.0,0.48,9
