,t0 amp,t1 feel,t2 know,t3 feel,t4 ultrasound,t5 work,t6 nt,t7 doctor,t8 year,t9 surgery,t10 weight,t11 hysterectomy,t12 help,t13 gynaecologist,t14 period,t15 control,t16 lap,t17 endometriosis,t18 period,t19 share,dominant_topic
hi522b,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,9
hi8rub,0.04,0.0,0.15,0.0,0.05,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.36,0.0,0.0,17
hiadau,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.22,0.0,0.33,0.0,0.09,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,9
hic5s4,0.0,0.13,0.0,0.32,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.15,0.0,0.19,0.11,0.0,0.0,3
hid8mu,0.0,0.0,0.14,0.0,0.0,0.0,0.17,0.0,0.0,0.24,0.0,0.0,0.0,0.01,0.0,0.22,0.0,0.0,0.2,0.0,9
hidgwt,0.01,0.0,0.0,0.0,0.1,0.0,0.08,0.13,0.07,0.0,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.06,18
hie2b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.32,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,14
hj7ezj,0.0,0.0,0.29,0.0,0.19,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.18,2
hjdwni,0.02,0.0,0.31,0.0,0.0,0.0,0.16,0.09,0.11,0.19,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.0,2
hjf270,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,11
hjf6od,0.0,0.08,0.0,0.22,0.18,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.03,0.0,0.0,0.0,8
hjfvow,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
hjfwmv,0.0,0.45,0.34,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
hjhawu,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.38,0.12,18
hjimgb,0.0,0.0,0.0,0.22,0.0,0.02,0.04,0.13,0.15,0.0,0.0,0.0,0.05,0.0,0.12,0.0,0.0,0.0,0.26,0.0,18
hjkvcz,0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
hjp2r3,0.0,0.18,0.0,0.31,0.07,0.0,0.0,0.25,0.0,0.11,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
hjp49s,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2
hjrg59,0.0,0.55,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
hju0mj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.13,0.04,0.0,0.28,0.03,8
hjul74,0.0,0.07,0.56,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2
hjyrs8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.24,0.0,0.0,0.19,0.0,0.0,0.0,0.18,0.0,9
hk0jiy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.34,0.0,0.17,0.0,0.28,0.0,14
hk0swk,0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.3,0.0,15
hk18ns,0.0,0.15,0.28,0.0,0.0,0.02,0.0,0.07,0.06,0.0,0.06,0.03,0.0,0.08,0.04,0.22,0.0,0.0,0.0,0.0,2
hk3b5h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.14,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,8
hk8tdn,0.0,0.05,0.0,0.09,0.17,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.05,0.0,0.19,0.0,0.0,0.0,0.32,0.0,18
hk9pm4,0.0,0.13,0.11,0.0,0.0,0.02,0.0,0.15,0.22,0.05,0.07,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.21,0.01,8
hkay5i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.11,0.03,0.0,0.0,0.0,0.16,0.11,0.0,0.0,0.16,0.0,8
hkdyaf,0.0,0.0,0.17,0.0,0.04,0.0,0.0,0.0,0.28,0.0,0.0,0.27,0.0,0.0,0.0,0.06,0.05,0.13,0.0,0.0,8
hkg8yz,0.0,0.0,0.17,0.0,0.22,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,16
hkl2kk,0.0,0.33,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,1
hkmx7x,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.23,0.11,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.12,0.0,0.0,2
hkpdkc,0.04,0.0,0.09,0.39,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,3
hkqlwl,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.28,0.0,0.0,0.0,0.0,0.12,0.0,0.0,8
hl4mxh,0.0,0.0,0.13,0.04,0.0,0.04,0.07,0.14,0.16,0.09,0.05,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.13,0.0,8
hlae6e,0.09,0.18,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,19
hletya,0.07,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1
hlic6p,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.2,0.28,0.08,0.03,0.0,0.02,0.0,0.05,0.19,0.03,0.0,0.0,0.0,8
hls5a7,0.0,0.0,0.29,0.0,0.0,0.01,0.13,0.35,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.06,0.0,0.04,0.0,0.0,7
hlycqt,0.0,0.0,0.0,0.3,0.07,0.0,0.12,0.0,0.0,0.18,0.0,0.0,0.0,0.01,0.0,0.11,0.13,0.08,0.0,0.0,3
hlzyl7,0.0,0.0,0.17,0.15,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,7
hm4hiq,0.0,0.16,0.0,0.0,0.03,0.0,0.18,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.0,0.0,0.12,0.03,8
hm73jw,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
