,t0 really,t1 symptom,t2 hour,t3 cyst,t4 life,t5 weight,t6 flare,t7 help,t8 back,t9 surgery,t10 endometriosis,t11 cramp,t12 lap,t13 bleeding,t14 pill,t15 didn,t16 want,t17 appointment,t18 ultrasound,t19 control,dominant_topic
117fxf,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.01,16
119a2h,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10
11ev0c,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.29,0.0,0.08,0.0,0.0,0.0,0.18,0.0,10
11kngk,0.5,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0
11lsez,0.0,0.0,0.05,0.17,0.13,0.11,0.0,0.16,0.0,0.0,0.0,0.22,0.0,0.0,0.08,0.0,0.0,0.0,0.07,0.0,11
11mnlm,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.06,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0
11ms7o,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.88,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10
11ukbn,0.0,0.0,0.0,0.11,0.18,0.0,0.0,0.07,0.0,0.2,0.13,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
11uspq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.21,0.14,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
11uvbi,0.0,0.17,0.0,0.0,0.0,0.0,0.05,0.11,0.41,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
11wu3o,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.36,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,9
11wyd1,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.07,0.0,0.0,0.04,0.18,0.11,0.13,0.0,0.0,0.0,0.13,0.11,0.05,11
123kgw,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.05,0.32,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.27,8
124m65,0.0,0.0,0.0,0.0,0.37,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,6
125k60,0.0,0.24,0.0,0.0,0.34,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.26,0.0,4
12dglj,0.42,0.03,0.07,0.0,0.0,0.0,0.0,0.05,0.21,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0
12qdx1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.44,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,11
12qjih,0.21,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.06,0.13,0.27,0.0,0.06,0.0,0.17,0.0,0.0,0.0,12
12s029,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,3
12s5ht,0.21,0.0,0.08,0.06,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.33,0.0,0.05,17
12uynl,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.14,0.0,0.0,0.0,0
12ynjw,0.24,0.0,0.07,0.0,0.42,0.05,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
12z44y,0.0,0.0,0.0,0.0,0.41,0.0,0.12,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
132igo,0.11,0.0,0.0,0.09,0.17,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.14,0.3,0.0,0.03,17
133j6v,0.0,0.0,0.0,0.0,0.06,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,6
134l13,0.16,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.16,0.34,0.0,0.03,17
