,t0 really,t1 stomach,t2 amp,t3 lap,t4 said,t5 pregnant,t6 pad,t7 control,t8 work,t9 surgery,t10 experience,t11 cramp,t12 bleeding,t13 cyst,t14 effect,dominant_topic
132igo,0.0,0.0,0.0,0.09,0.0,0.15,0.0,0.06,0.54,0.15,0.0,0.0,0.0,0.0,0.0,8
133j6v,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.18,0.0,0.32,0.0,0.0,0.0,0.44,14
134l13,0.19,0.0,0.0,0.07,0.0,0.14,0.0,0.05,0.33,0.22,0.0,0.0,0.0,0.0,0.0,8
13711b,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.04,0.47,0.13,0.0,0.0,0.0,0.0,0.0,8
1374cm,0.21,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
1389ll,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,14
139iwn,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,10
13bahg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.22,0.0,0.0,9
13cevi,0.0,0.0,0.02,0.0,0.26,0.0,0.0,0.0,0.63,0.04,0.0,0.0,0.0,0.0,0.04,8
13cnh8,0.11,0.0,0.0,0.14,0.35,0.05,0.0,0.08,0.0,0.04,0.0,0.04,0.1,0.0,0.09,4
13erg3,0.28,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,11
13fhow,0.18,0.0,0.0,0.15,0.0,0.07,0.02,0.0,0.0,0.03,0.0,0.47,0.06,0.0,0.02,11
13glte,0.01,0.01,0.01,0.2,0.01,0.01,0.08,0.01,0.65,0.01,0.01,0.01,0.01,0.01,0.01,8
13q6fo,0.0,0.03,0.1,0.12,0.0,0.0,0.0,0.23,0.0,0.0,0.27,0.04,0.0,0.0,0.19,10
13qs9p,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.34,10
13ssdt,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.13,0.0,0.0,0.31,0.0,0.46,0.0,13
13tse3,0.0,0.0,0.0,0.0,0.19,0.29,0.0,0.0,0.0,0.17,0.28,0.06,0.0,0.0,0.0,5
13tt6h,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.1,0.07,0.0,0.0,0.15,9
13uq9v,0.0,0.0,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.47,0.0,0.0,0.19,11
13vhlv,0.0,0.0,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.47,0.0,0.0,0.19,11
13yg5q,0.0,0.0,0.18,0.0,0.07,0.0,0.0,0.0,0.65,0.0,0.0,0.08,0.0,0.0,0.0,8
13zdxj,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.29,0.0,0.0,0.21,0.0,0.1,0.33,14
1412fo,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0
143csp,0.18,0.0,0.0,0.17,0.11,0.0,0.0,0.1,0.19,0.0,0.0,0.0,0.0,0.25,0.0,13
1443yb,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0
149ce7,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.32,0.01,0.01,0.01,0.01,9
149jdf,0.36,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.11,0.0,3
149yba,0.0,0.0,0.05,0.14,0.58,0.04,0.04,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.08,4
14dwxt,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.0,0.43,14
14o5qo,0.0,0.0,0.0,0.0,0.15,0.03,0.0,0.0,0.08,0.0,0.29,0.0,0.0,0.0,0.44,14
14spft,0.3,0.02,0.0,0.53,0.0,0.06,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,3
14ubu4,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.27,0.0,0.17,0.18,0.25,0.06,0.05,8
14xmzg,0.0,0.0,0.1,0.1,0.35,0.12,0.02,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.04,4
15165j,0.58,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0
15bk09,0.0,0.0,0.17,0.22,0.2,0.2,0.0,0.0,0.17,0.0,0.0,0.0,0.03,0.0,0.0,3
15cgzi,0.0,0.0,0.17,0.0,0.0,0.32,0.0,0.12,0.0,0.0,0.0,0.38,0.0,0.0,0.0,11
15dhv5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.17,8
15fld8,0.27,0.0,0.41,0.09,0.0,0.05,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
15hd84,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.76,14
15ic56,0.0,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.51,0.0,0.0,0.19,0.0,0.06,0.07,8
15kony,0.01,0.31,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5
1ua2d2,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
1ue8pz,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,5
1uiq8a,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.24,0.09,0.26,0.04,0.0,0.26,11
1uo0yj,0.27,0.0,0.0,0.0,0.0,0.12,0.0,0.1,0.13,0.0,0.07,0.17,0.15,0.0,0.0,0
1v0dae,0.21,0.0,0.12,0.06,0.28,0.0,0.0,0.03,0.0,0.01,0.0,0.21,0.0,0.07,0.0,4
1v16de,0.04,0.02,0.06,0.0,0.41,0.0,0.0,0.01,0.1,0.15,0.0,0.12,0.06,0.0,0.04,4
1vb0bm,0.11,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.27,0.19,0.0,0.0,0.23,0.0,9
1vcccw,0.36,0.0,0.15,0.06,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0
1vgvym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.65,0.23,0.0,0.07,11
1vh5ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.2,0.0,0.1,11
1viw7t,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.15,0.0,0.0,0.0,0.7,0.0,0.0,0.0,11
1vlls6,0.27,0.02,0.03,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.36,0.0,13
1vo4lb,0.0,0.0,0.5,0.29,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1vrgnj,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.66,0.0,0.11,0.0,0.0,0.0,0.0,8
1vswqn,0.17,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2
1vw5bc,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.34,0.0,0
1w1kaf,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.32,0.19,0.0,0.24,0.0,0.08,0.0,0.0,7
1wevtx,0.0,0.0,0.28,0.07,0.03,0.03,0.0,0.06,0.0,0.22,0.0,0.0,0.0,0.18,0.11,2
1whgcy,0.0,0.0,0.0,0.25,0.38,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.12,4
1wip99,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.08,2
1x612a,0.0,0.02,0.0,0.0,0.0,0.1,0.0,0.15,0.29,0.0,0.0,0.0,0.43,0.0,0.0,12
1x8di9,0.0,0.0,0.0,0.0,0.13,0.0,0.01,0.0,0.1,0.0,0.29,0.36,0.0,0.0,0.11,11
1xdojg,0.14,0.0,0.0,0.0,0.0,0.05,0.0,0.54,0.19,0.0,0.0,0.0,0.0,0.08,0.0,7
1xgxh0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.36,0.0,11
1xjte7,0.0,0.0,0.0,0.0,0.43,0.0,0.05,0.0,0.22,0.0,0.06,0.0,0.0,0.0,0.22,4
1xuwbi,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.09,0.28,7
1xzb9s,0.0,0.01,0.0,0.0,0.18,0.02,0.0,0.0,0.13,0.0,0.0,0.36,0.07,0.21,0.0,11
1y8tox,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.28,0.51,0.0,0.14,0.0,11
1yo8kd,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.06,0.1,0.29,0.15,0.27,0.0,11
1ys6e6,0.27,0.0,0.17,0.0,0.11,0.0,0.0,0.0,0.0,0.06,0.0,0.09,0.21,0.08,0.0,0
1yv2s8,0.17,0.01,0.0,0.0,0.06,0.1,0.0,0.16,0.09,0.08,0.07,0.11,0.05,0.0,0.1,0
1yview,0.0,0.0,0.0,0.14,0.0,0.26,0.0,0.17,0.0,0.0,0.0,0.0,0.29,0.12,0.0,12
1yxm3f,0.12,0.03,0.0,0.0,0.24,0.0,0.02,0.03,0.37,0.0,0.0,0.12,0.07,0.0,0.0,8
1z1mzm,0.31,0.0,0.52,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1zbjnt,0.34,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.09,0.18,0.0,0.0,0.0,0.0,0.04,0
1zkzmb,0.05,0.0,0.0,0.05,0.13,0.0,0.0,0.07,0.0,0.26,0.0,0.0,0.0,0.0,0.43,14
1zlmi1,0.29,0.0,0.0,0.04,0.0,0.16,0.0,0.14,0.0,0.0,0.0,0.08,0.23,0.06,0.0,0
1zqh8v,0.01,0.01,0.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.18,0.01,0.01,2
201s7b,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
209lru,0.0,0.0,0.0,0.0,0.43,0.0,0.2,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,4
20av02,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,5
20k7vf,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.09,0.0,0.0,0.18,0.0,2
20qkxl,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.38,0.4,0.06,0.1,12
20t8dj,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.19,0.49,0.0,0.0,0.19,0.0,0.0,0.0,8
21aptb,0.29,0.0,0.0,0.0,0.13,0.0,0.0,0.2,0.13,0.0,0.0,0.0,0.0,0.0,0.23,0
21kv39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27,0.14,0.3,0.01,0.01,0.22,11
21mbrb,0.0,0.0,0.23,0.18,0.28,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,4
21o4jf,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.16,0.19,0.0,0.0,0.0,0.21,0.12,0.0,4
21r8xw,0.46,0.0,0.12,0.08,0.0,0.07,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.16,0
22wqad,0.13,0.0,0.03,0.05,0.11,0.05,0.0,0.0,0.11,0.32,0.08,0.0,0.0,0.12,0.0,9
236zj5,0.01,0.01,0.14,0.01,0.01,0.78,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5
239vu8,0.0,0.0,0.0,0.0,0.88,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
23vl5g,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.23,0.0,0.0,0.0,0.04,8
2410w5,0.01,0.01,0.22,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
245ypx,0.0,0.0,0.0,0.48,0.0,0.18,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,3
24o1c0,0.09,0.0,0.0,0.0,0.17,0.03,0.01,0.0,0.2,0.0,0.08,0.22,0.17,0.03,0.0,11
252xb1,0.11,0.0,0.2,0.0,0.0,0.05,0.0,0.22,0.0,0.14,0.0,0.15,0.0,0.0,0.1,7
255gax,0.12,0.04,0.08,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.31,0.25,0.0,0.0,0.07,10
256x63,0.2,0.0,0.0,0.18,0.0,0.05,0.0,0.25,0.32,0.0,0.0,0.0,0.0,0.0,0.0,8
257j38,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.12,0.31,0.3,0.0,0.0,0.0,10
25ekei,0.35,0.0,0.0,0.05,0.49,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4
25exxr,0.07,0.0,0.0,0.0,0.27,0.01,0.0,0.0,0.12,0.05,0.0,0.04,0.12,0.32,0.0,13
25klax,0.76,0.0,0.16,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25lcj1,0.32,0.0,0.04,0.25,0.0,0.03,0.12,0.0,0.0,0.05,0.0,0.19,0.0,0.0,0.0,0
25nf8v,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.7,0.01,0.01,0.01,0.01,0.01,0.01,8
25revh,0.0,0.0,0.0,0.25,0.0,0.29,0.0,0.35,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7
