,t0 really,t1 stomach,t2 amp,t3 lap,t4 said,t5 pregnant,t6 pad,t7 control,t8 work,t9 surgery,t10 experience,t11 cramp,t12 bleeding,t13 cyst,t14 effect,dominant_topic
kwznpv,0.3,0.17,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.22,0.0,0.0,0.22,0.0,0
kwzpde,0.14,0.01,0.0,0.05,0.12,0.0,0.02,0.0,0.23,0.22,0.0,0.08,0.06,0.0,0.06,8
kx0sth,0.13,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,8
kx3hvc,0.0,0.04,0.09,0.14,0.0,0.0,0.19,0.14,0.0,0.0,0.0,0.38,0.0,0.0,0.0,11
kx48xo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.18,0.0,0.0,0.06,8
kx4pa6,0.0,0.05,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.33,0.0,0.39,0.0,13
kx4t8c,0.59,0.0,0.15,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
kx52u6,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.18,0.35,0.0,0.31,0.0,0.0,0.0,0.0,8
kx58wd,0.18,0.0,0.07,0.0,0.06,0.05,0.02,0.07,0.0,0.0,0.12,0.2,0.16,0.0,0.06,11
kx5tw6,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.1,0
kx6abv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.74,0.0,0.0,0.0,11
kx6ngt,0.0,0.0,0.0,0.0,0.6,0.0,0.06,0.0,0.21,0.0,0.0,0.1,0.0,0.0,0.0,4
kx757x,0.0,0.0,0.0,0.3,0.11,0.0,0.0,0.0,0.0,0.32,0.24,0.0,0.0,0.0,0.0,9
kx80lb,0.19,0.0,0.0,0.08,0.33,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.11,0.0,0.0,4
kx8u59,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.0,0.27,0.18,0.0,0.19,0.0,0.0,0.22,8
kxbtjg,0.46,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0
kxc0jo,0.36,0.03,0.09,0.16,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0
kxcwqf,0.0,0.0,0.0,0.05,0.66,0.0,0.04,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,4
kxeylk,0.07,0.0,0.1,0.25,0.24,0.02,0.02,0.0,0.0,0.16,0.0,0.04,0.04,0.06,0.0,3
kxfdlp,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.58,0.08,0.16,0.0,0.0,0.0,0.0,8
kxflom,0.1,0.0,0.0,0.2,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.08,0.08,5
kxfnwl,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.09,0.41,0.04,13
kxg9dn,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.18,0.43,0.0,0.0,0.0,0.0,10
kxgyun,0.35,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.0,0.0,3
kxh23r,0.29,0.0,0.0,0.0,0.12,0.0,0.05,0.12,0.3,0.0,0.0,0.0,0.06,0.0,0.05,8
kxhbdl,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.0,0.24,0.15,0.0,0.0,0.11,0.34,0.0,13
kxhrz1,0.21,0.03,0.0,0.0,0.08,0.14,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.42,0.0,13
kxj738,0.33,0.0,0.0,0.2,0.12,0.0,0.0,0.0,0.17,0.1,0.07,0.0,0.0,0.0,0.0,0
kxje0n,0.0,0.0,0.0,0.13,0.0,0.0,0.02,0.35,0.25,0.0,0.0,0.24,0.0,0.0,0.0,7
kxkq4i,0.0,0.0,0.1,0.0,0.23,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,0.0,9
kxkust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.39,0.41,0.0,0.0,12
kxl52p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.18,0.23,0.0,0.0,0.21,0.12,5
kxlbv4,0.0,0.0,0.14,0.24,0.26,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.23,4
kxlkgr,0.32,0.0,0.04,0.03,0.0,0.13,0.0,0.23,0.0,0.2,0.0,0.01,0.0,0.0,0.03,0
kxm311,0.13,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.14,0.0,11
kxm74m,0.0,0.0,0.03,0.07,0.26,0.0,0.03,0.04,0.04,0.0,0.0,0.11,0.0,0.41,0.0,13
kxm99n,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.48,0.0,0.17,0.0,0.13,0.0,9
kxmvz0,0.15,0.0,0.0,0.29,0.07,0.0,0.0,0.0,0.18,0.15,0.0,0.03,0.0,0.12,0.0,3
kxn5r3,0.0,0.01,0.0,0.0,0.25,0.0,0.0,0.18,0.0,0.0,0.0,0.39,0.08,0.08,0.0,11
kxohlm,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.32,0.0,8
kxozh7,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.2,0.0,0.0,0.25,0.06,9
kxplnx,0.41,0.14,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0
kxpnf2,0.01,0.01,0.01,0.24,0.01,0.01,0.09,0.01,0.01,0.01,0.01,0.59,0.01,0.01,0.01,11
kxqnuh,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0
kxqqfw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.49,0.0,0.22,0.0,11
kxrbko,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23,0.0,0.26,0.0,0.0,0.0,0.0,10
kxtvri,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.0,0.8,0.0,13
kxu5ic,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.2,0.0,0.49,0.0,0.0,0.0,0.21,0.0,9
kxun5x,0.21,0.0,0.0,0.1,0.19,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,8
kxv73f,0.0,0.0,0.01,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.31,0.14,0.0,12
kxwkul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.18,7
kxwmd0,0.01,0.01,0.01,0.36,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
kxwoab,0.41,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
kxxggg,0.0,0.0,0.0,0.0,0.17,0.09,0.01,0.19,0.0,0.05,0.14,0.0,0.19,0.0,0.14,7
kxycjr,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.31,0.63,0.0,0.0,0.0,0.0,0.0,0.0,8
ky0el5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.48,0.23,0.0,0.0,0.22,0.0,9
ky2pwn,0.0,0.0,0.24,0.37,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,3
ky2r4d,0.0,0.0,0.29,0.08,0.32,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.02,4
ky2uv0,0.0,0.0,0.25,0.09,0.0,0.13,0.0,0.0,0.0,0.0,0.4,0.0,0.11,0.0,0.0,10
ky36bz,0.33,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.39,0.0,13
ky4vzo,0.0,0.0,0.06,0.14,0.0,0.0,0.0,0.0,0.0,0.04,0.72,0.0,0.0,0.0,0.0,10
ky5mwc,0.08,0.04,0.1,0.07,0.41,0.0,0.01,0.0,0.0,0.21,0.0,0.0,0.05,0.0,0.03,4
ky83fe,0.04,0.0,0.05,0.0,0.14,0.1,0.02,0.07,0.38,0.03,0.0,0.0,0.07,0.0,0.09,8
ky89xb,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0.02,0.02,0.02,2
kya6uq,0.0,0.0,0.0,0.24,0.0,0.0,0.13,0.0,0.31,0.0,0.0,0.31,0.0,0.0,0.0,8
kyb45y,0.32,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.4,0.0,0.0,0.0,11
kycclm,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.22,0.01,0.01,0.38,0.01,0.01,0.01,0.26,10
kydd7v,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.42,0.0,0.0,0.0,11
kyeaba,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.19,0.57,0.0,0.0,0.0,11
kyewvk,0.0,0.0,0.07,0.08,0.0,0.3,0.0,0.0,0.0,0.0,0.13,0.07,0.22,0.11,0.0,5
kyf9rs,0.08,0.0,0.27,0.0,0.0,0.0,0.0,0.26,0.0,0.06,0.09,0.11,0.12,0.0,0.0,2
kyghun,0.34,0.0,0.0,0.0,0.0,0.0,0.1,0.17,0.0,0.0,0.0,0.37,0.0,0.0,0.0,11
kyhmty,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.4,0.0,9
kyi48i,0.17,0.0,0.13,0.08,0.0,0.03,0.0,0.15,0.12,0.0,0.0,0.26,0.0,0.05,0.0,11
kylkqh,0.14,0.05,0.06,0.0,0.0,0.0,0.2,0.0,0.39,0.0,0.05,0.0,0.0,0.0,0.1,8
kylvv8,0.3,0.0,0.15,0.0,0.26,0.0,0.0,0.0,0.0,0.06,0.23,0.0,0.0,0.0,0.0,0
kyn01s,0.0,0.04,0.14,0.08,0.0,0.0,0.02,0.12,0.0,0.0,0.29,0.0,0.11,0.0,0.19,10
kynpk8,0.34,0.0,0.14,0.0,0.0,0.03,0.01,0.0,0.14,0.12,0.04,0.03,0.14,0.0,0.0,0
kyov1z,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.33,0.0,8
kypoj5,0.21,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,11
kyprda,0.0,0.03,0.04,0.0,0.0,0.1,0.0,0.15,0.0,0.2,0.0,0.23,0.0,0.25,0.0,13
kyqd36,0.0,0.0,0.06,0.18,0.47,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,4
kyqs1u,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.33,0.07,0.17,0.0,0.0,0.09,0.0,0.0,7
kyr7qy,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.19,0.0,7
kys7f2,0.0,0.0,0.0,0.07,0.46,0.0,0.0,0.0,0.4,0.0,0.0,0.06,0.0,0.0,0.0,4
kyshh5,0.43,0.0,0.04,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
kywepe,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0
kyyvv5,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.36,0.0,13
kyzrq9,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.63,14
kz0ovm,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.41,0.0,0.0,0.0,8
kz0uzd,0.0,0.0,0.0,0.12,0.36,0.0,0.01,0.06,0.09,0.11,0.0,0.21,0.03,0.0,0.0,4
kz0vby,0.25,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8
kz29xx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.12,0.44,0.0,0.0,0.0,11
kz2ihy,0.32,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.0,0.0,0.0,0.13,2
kz2mm5,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.08,0.48,0.0,13
kz3pzs,0.22,0.08,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.44,0.14,0.0,0.0,11
kz4ja0,0.0,0.0,0.09,0.0,0.12,0.0,0.0,0.0,0.56,0.0,0.09,0.09,0.0,0.04,0.0,8
kz7fqd,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.39,0.18,0.15,0.16,0.0,0.0,9
kz9329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.3,0.0,0.0,0.0,0.0,8
kzago6,0.0,0.01,0.03,0.0,0.32,0.0,0.0,0.04,0.06,0.16,0.0,0.28,0.0,0.1,0.0,4
kzamwx,0.0,0.0,0.24,0.42,0.0,0.0,0.0,0.0,0.15,0.11,0.07,0.0,0.0,0.0,0.0,3
kzayjm,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.2,0.0,0.0,0.19,0.0,0.0,0.06,0.0,3
kzaz7h,0.0,0.0,0.0,0.0,0.3,0.03,0.0,0.0,0.0,0.28,0.0,0.2,0.0,0.07,0.11,4
kzbv8c,0.01,0.01,0.01,0.74,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.01,3
kzcdn7,0.57,0.0,0.22,0.05,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0
kzdhgp,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.38,14
kzdk02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,11
kzdoxh,0.19,0.0,0.16,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.08,0.0,0.12,7
kzhfj8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.33,0.28,0.17,0.0,11
kzj05o,0.55,0.04,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.2,0.16,0.0,0.0,0
kzkb3b,0.17,0.0,0.0,0.0,0.27,0.05,0.16,0.0,0.06,0.0,0.14,0.0,0.0,0.13,0.0,4
kzkbwx,0.15,0.0,0.0,0.0,0.14,0.0,0.09,0.0,0.46,0.0,0.16,0.0,0.0,0.0,0.0,8
kzlmva,0.14,0.0,0.0,0.08,0.0,0.11,0.0,0.0,0.0,0.46,0.07,0.0,0.0,0.12,0.0,9
kzm5ov,0.36,0.0,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.17,0.29,0.0,0.0,0.0,0
kzo7ci,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.25,0.34,0.0,0.0,0.0,0.28,0.0,9
kzpctr,0.0,0.0,0.0,0.07,0.17,0.0,0.0,0.0,0.0,0.2,0.36,0.0,0.0,0.19,0.0,10
kzsegc,0.04,0.02,0.0,0.0,0.35,0.02,0.01,0.24,0.0,0.0,0.05,0.1,0.17,0.0,0.0,4
kztvk5,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.31,0.0,0.0,0.47,0.0,0.0,0.0,11
kzui2o,0.54,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.11,0.11,0.0,0.0,0.0,0.13,0.0,0
kzwam2,0.24,0.0,0.0,0.13,0.0,0.02,0.02,0.22,0.12,0.02,0.0,0.05,0.0,0.0,0.18,0
kzyrl0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.57,0.0,0.0,0.0,0.27,10
l0077x,0.15,0.03,0.0,0.0,0.14,0.24,0.0,0.0,0.28,0.14,0.0,0.0,0.0,0.0,0.0,8
l00r54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.67,0.0,13
l00yum,0.0,0.03,0.0,0.0,0.27,0.0,0.0,0.11,0.08,0.0,0.04,0.36,0.05,0.0,0.06,11
l0178e,0.0,0.0,0.0,0.23,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.47,14
l01kw1,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.45,0.0,13
l01mzg,0.39,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,10
l01r3t,0.66,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
l024kx,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.0,0.0,0.35,0.18,0.08,0.0,11
l03uo9,0.0,0.0,0.18,0.17,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,13
l04363,0.31,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.11,0.0,0
l043v1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.25,0.0,0.37,0.0,0.19,0.0,0.0,10
l0516l,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.24,0.0,11
l05q0l,0.26,0.01,0.51,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
l060wr,0.47,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0
l06q87,0.0,0.0,0.17,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,11
l079a4,0.0,0.07,0.04,0.0,0.37,0.0,0.0,0.0,0.17,0.0,0.0,0.16,0.14,0.05,0.0,4
l07auw,0.0,0.0,0.35,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.0,2
l07bbp,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0.01,0.46,0.01,10
l07pow,0.0,0.04,0.07,0.0,0.22,0.01,0.0,0.0,0.24,0.27,0.0,0.02,0.05,0.07,0.0,9
l07qyn,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,8
l083vs,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.38,0.22,0.0,0.0,0.0,10
l094a9,0.0,0.06,0.0,0.26,0.09,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,10
l09ibx,0.0,0.0,0.05,0.0,0.19,0.04,0.0,0.0,0.17,0.16,0.0,0.02,0.36,0.0,0.0,12
l0abq7,0.0,0.0,0.08,0.0,0.41,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,9
l0b5s3,0.0,0.04,0.02,0.11,0.0,0.0,0.0,0.29,0.18,0.0,0.17,0.1,0.0,0.0,0.1,7
l0bg03,0.0,0.0,0.0,0.36,0.12,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.24,0.0,0.0,3
l0bnwk,0.0,0.0,0.22,0.16,0.22,0.0,0.05,0.0,0.0,0.0,0.0,0.07,0.25,0.03,0.0,12
l0cmqf,0.35,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.06,0.21,0.0,0.0,0.0,0.09,0.0,0
l0dc6t,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.51,0.0,0.2,0.0,0.08,0.0,9
l0df8x,0.02,0.36,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
l0do5y,0.36,0.0,0.0,0.0,0.3,0.13,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0
l0du43,0.0,0.0,0.03,0.13,0.0,0.0,0.0,0.3,0.0,0.16,0.27,0.0,0.0,0.0,0.1,7
l0e9g0,0.0,0.0,0.22,0.04,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.21,0.19,0.0,0.0,2
l0jcpc,0.0,0.22,0.0,0.0,0.57,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4
l0llrt,0.37,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.15,0.0,0.0,0.28,0.09,0.0,0
l0mesc,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.11,0.0,9
l0pla6,0.11,0.06,0.0,0.06,0.23,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.17,10
l0qpk5,0.0,0.03,0.0,0.08,0.07,0.07,0.04,0.0,0.0,0.08,0.13,0.25,0.0,0.25,0.0,11
l0ulm2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,14
l0utb0,0.0,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.27,0.0,0.23,0.0,0.0,0.35,0.0,13
l0uzq3,0.15,0.0,0.06,0.07,0.0,0.03,0.0,0.0,0.0,0.33,0.14,0.0,0.06,0.16,0.0,9
l0v3no,0.33,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.17,0.08,0.0,0.0,0.36,14
l0vha3,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.25,0.31,0.0,0.0,0.0,0.28,0.06,9
l0vzok,0.0,0.0,0.19,0.0,0.0,0.1,0.0,0.0,0.0,0.07,0.09,0.27,0.27,0.0,0.0,11
l0wapx,0.0,0.0,0.04,0.03,0.36,0.0,0.01,0.02,0.42,0.0,0.07,0.05,0.0,0.0,0.0,8
l0wdrk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.58,0.0,0.28,0.0,11
l0wtuu,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.16,0.09,0.0,0.29,0.15,13
l0x9tx,0.0,0.09,0.0,0.0,0.48,0.0,0.0,0.0,0.16,0.09,0.0,0.0,0.0,0.16,0.0,4
l0y4b7,0.33,0.0,0.0,0.0,0.11,0.0,0.01,0.04,0.13,0.0,0.0,0.3,0.0,0.07,0.0,0
l0ylkq,0.27,0.03,0.11,0.25,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,4
l0zded,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,13
l1210s,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.55,0.0,0.0,12
l12qsk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.22,0.0,8
l12x9x,0.0,0.0,0.0,0.32,0.0,0.09,0.0,0.0,0.0,0.18,0.26,0.0,0.0,0.0,0.12,3
l14u2z,0.07,0.07,0.0,0.04,0.26,0.0,0.03,0.0,0.12,0.21,0.07,0.12,0.0,0.0,0.0,4
l168s7,0.0,0.0,0.0,0.49,0.0,0.0,0.09,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
l16zh8,0.0,0.05,0.32,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,8
l17mfv,0.0,0.0,0.01,0.2,0.0,0.0,0.02,0.11,0.02,0.09,0.0,0.19,0.18,0.19,0.0,3
l17udk,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.51,0.0,0.0,0.0,11
l18egv,0.29,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,11
l1apfg,0.0,0.0,0.0,0.21,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.0,0.23,14
l1as5h,0.0,0.0,0.0,0.0,0.18,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.11,5
l1awcg,0.0,0.0,0.12,0.0,0.13,0.0,0.03,0.0,0.27,0.3,0.0,0.12,0.0,0.0,0.02,9
l1b6tq,0.0,0.0,0.0,0.0,0.27,0.04,0.0,0.07,0.0,0.22,0.11,0.0,0.29,0.0,0.0,12
l1cf0i,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.34,0.0,0.0,0.0,10
l1d5mn,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.24,0.0,0.0,0.0,10
l1dddc,0.15,0.0,0.0,0.09,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.3,0.0,4
l1drsa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,11
l1e0v1,0.0,0.04,0.0,0.1,0.0,0.0,0.03,0.21,0.17,0.1,0.0,0.05,0.0,0.31,0.0,13
l1ekcv,0.0,0.0,0.0,0.57,0.0,0.05,0.07,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,3
l1f3my,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.2,0.37,0.14,0.07,0.0,0.09,0.0,0.0,8
l1f6xa,0.0,0.0,0.19,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.17,0.0,0.0,0.0,10
l1fpe6,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.13,0.0,0.7,0.0,13
l1g1l0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.55,0.0,0.0,0.03,0.0,0.17,0.0,0.05,7
l1h0y5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.15,0.28,0.09,0.45,0.0,0.0,0.0,11
l1hcxz,0.01,0.01,0.84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
l1hhqb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.25,0.27,0.0,0.0,0.0,9
l1hwk9,0.1,0.0,0.0,0.0,0.23,0.0,0.0,0.13,0.0,0.0,0.0,0.53,0.0,0.0,0.0,11
l1ip7c,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.22,0.0,0.0,0.57,0.04,13
l1j258,0.0,0.04,0.24,0.0,0.19,0.06,0.0,0.12,0.0,0.0,0.06,0.0,0.21,0.06,0.0,2
l1jkkp,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.25,0.25,0.24,0.1,0.0,0.0,9
l1k9lo,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.29,0.24,0.0,0.07,3
