,t0 control,t1 bowel,t2 amp,t3 surgery,t4 got,t5 symptom,t6 back,t7 symptom,t8 want,t9 surgery,dominant_topic
j6tw9g,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
j6udbi,0.0,0.0,0.15,0.08,0.74,0.0,0.0,0.0,0.0,0.0,4
j6uhex,0.34,0.11,0.0,0.0,0.31,0.0,0.12,0.0,0.0,0.12,0
j6uvpc,0.0,0.17,0.0,0.0,0.0,0.0,0.16,0.44,0.0,0.22,7
j6uwr7,0.53,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.38,0
j6w11o,0.0,0.0,0.0,0.66,0.0,0.31,0.0,0.0,0.0,0.0,3
j6yabn,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
j6ysdf,0.01,0.01,0.01,0.01,0.01,0.13,0.31,0.01,0.5,0.01,8
j6zcj9,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.26,0.0,0.0,3
j6zs4t,0.0,0.0,0.0,0.43,0.0,0.08,0.0,0.11,0.37,0.0,3
j7174z,0.01,0.01,0.01,0.84,0.01,0.01,0.01,0.11,0.01,0.01,3
j71j9n,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.66,9
j71meo,0.16,0.0,0.0,0.0,0.11,0.0,0.0,0.34,0.34,0.05,7
j725ri,0.0,0.05,0.14,0.09,0.0,0.07,0.54,0.0,0.0,0.1,6
j73z6t,0.01,0.01,0.01,0.01,0.07,0.36,0.01,0.01,0.53,0.01,8
j75h39,0.01,0.28,0.01,0.01,0.01,0.5,0.01,0.01,0.17,0.01,5
j75mk9,0.41,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
j75sjy,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.37,0.41,9
j75w4t,0.0,0.0,0.0,0.0,0.42,0.17,0.0,0.16,0.24,0.0,4
j77ekr,0.1,0.0,0.06,0.16,0.0,0.0,0.22,0.46,0.0,0.0,7
j77kfl,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.64,9
j79c5q,0.0,0.07,0.11,0.0,0.24,0.0,0.0,0.57,0.0,0.0,7
j7apx7,0.01,0.01,0.01,0.01,0.01,0.55,0.01,0.01,0.4,0.01,5
j7b143,0.29,0.0,0.0,0.07,0.29,0.0,0.0,0.34,0.0,0.0,7
j7g48g,0.02,0.02,0.4,0.23,0.02,0.02,0.02,0.02,0.25,0.02,2
j7hgyw,0.01,0.01,0.01,0.19,0.59,0.01,0.01,0.18,0.01,0.01,4
j7itlg,0.06,0.0,0.28,0.3,0.0,0.0,0.0,0.0,0.15,0.2,3
j7jyrz,0.0,0.41,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,3
j7oo4g,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.01,8
j7p78t,0.12,0.0,0.0,0.0,0.07,0.0,0.62,0.0,0.0,0.18,6
j7pmcz,0.24,0.0,0.0,0.0,0.17,0.03,0.06,0.48,0.0,0.0,7
j7qngw,0.16,0.18,0.08,0.0,0.0,0.24,0.22,0.0,0.0,0.12,5
j7qpe9,0.06,0.09,0.0,0.0,0.36,0.0,0.0,0.27,0.22,0.0,4
j7r5zq,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.19,0.38,0.2,8
j7sdg0,0.0,0.0,0.0,0.0,0.0,0.17,0.21,0.0,0.51,0.09,8
j7sngu,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,7
j7svm7,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.43,0.0,0.31,7
j7v6cn,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.35,0.46,0.0,8
j7yb5i,0.67,0.0,0.06,0.05,0.22,0.0,0.0,0.0,0.0,0.0,0
j80srk,0.01,0.58,0.08,0.01,0.01,0.01,0.29,0.01,0.01,0.01,1
j82j04,0.01,0.01,0.01,0.83,0.01,0.01,0.01,0.01,0.11,0.01,3
j83055,0.01,0.01,0.01,0.29,0.44,0.01,0.21,0.01,0.01,0.01,4
j837fi,0.01,0.01,0.09,0.01,0.01,0.01,0.87,0.01,0.01,0.01,6
j83m95,0.01,0.01,0.01,0.32,0.01,0.01,0.39,0.23,0.01,0.01,6
j83z7d,0.06,0.0,0.09,0.3,0.0,0.0,0.0,0.29,0.25,0.0,3
j84gzw,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
j87i3d,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
j87rse,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.55,0.13,8
j88q2a,0.27,0.0,0.0,0.14,0.0,0.22,0.0,0.35,0.0,0.0,7
j899uo,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.52,0.21,8
j89pav,0.0,0.03,0.14,0.18,0.0,0.13,0.0,0.0,0.0,0.52,9
j89rcn,0.41,0.25,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0
j8aoym,0.02,0.02,0.02,0.34,0.23,0.02,0.02,0.02,0.02,0.32,3
j8dikz,0.41,0.0,0.0,0.45,0.0,0.0,0.12,0.0,0.0,0.0,3
