,t0 control,t1 bowel,t2 amp,t3 surgery,t4 got,t5 symptom,t6 back,t7 symptom,t8 want,t9 surgery,dominant_topic
nxh7p1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.78,0.06,8
nxhhyu,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.65,0.29,0.01,7
nxivye,0.0,0.0,0.03,0.22,0.0,0.1,0.15,0.49,0.0,0.0,7
nxkq31,0.0,0.01,0.09,0.11,0.3,0.04,0.0,0.18,0.11,0.17,4
nxn2co,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.31,4
nxnyr2,0.01,0.01,0.11,0.01,0.01,0.01,0.84,0.01,0.01,0.01,6
nxoni6,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.39,4
nxpath,0.33,0.0,0.18,0.1,0.0,0.0,0.0,0.38,0.0,0.0,7
nxpegs,0.0,0.07,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.76,9
nxpzt3,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.82,0.0,8
nxraok,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.6,0.33,8
nxtj7z,0.01,0.01,0.28,0.49,0.01,0.19,0.01,0.01,0.01,0.01,3
nxuduo,0.0,0.0,0.0,0.1,0.31,0.42,0.0,0.16,0.0,0.0,5
nxvb0r,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0
nxyrck,0.1,0.1,0.0,0.0,0.43,0.0,0.0,0.21,0.15,0.0,4
ny0d9p,0.05,0.11,0.0,0.06,0.19,0.15,0.0,0.18,0.26,0.0,8
ny1h41,0.0,0.0,0.0,0.18,0.31,0.05,0.0,0.44,0.0,0.0,7
ny59ez,0.0,0.0,0.0,0.0,0.23,0.21,0.0,0.08,0.4,0.08,8
ny5x9v,0.33,0.01,0.01,0.01,0.01,0.01,0.34,0.29,0.01,0.01,6
ny64ux,0.01,0.01,0.01,0.29,0.67,0.01,0.01,0.01,0.01,0.01,4
ny66de,0.01,0.12,0.01,0.15,0.23,0.01,0.46,0.01,0.01,0.01,6
ny8em8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.51,0.0,0.07,7
ny97ai,0.0,0.0,0.13,0.71,0.08,0.0,0.0,0.0,0.06,0.0,3
ny9fzo,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
nya2gh,0.0,0.55,0.08,0.0,0.0,0.0,0.22,0.0,0.0,0.13,1
nyer9d,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.61,0.01,0.01,7
nyg81e,0.41,0.0,0.0,0.23,0.0,0.14,0.0,0.0,0.2,0.0,0
nygn9f,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.53,0.0,0.31,7
nyipdj,0.0,0.0,0.0,0.18,0.0,0.0,0.7,0.0,0.0,0.09,6
nyk034,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.22,0.01,0.37,4
nylr51,0.67,0.0,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.19,0
nymgjp,0.14,0.0,0.0,0.0,0.0,0.08,0.0,0.15,0.0,0.62,9
nynagd,0.01,0.01,0.01,0.01,0.23,0.16,0.51,0.01,0.01,0.01,6
nyo3ui,0.0,0.0,0.0,0.2,0.0,0.0,0.48,0.0,0.0,0.3,6
nyp2as,0.17,0.15,0.0,0.0,0.39,0.0,0.0,0.0,0.27,0.0,4
nyqz98,0.33,0.0,0.0,0.0,0.42,0.0,0.23,0.0,0.0,0.0,4
nyt2l7,0.0,0.0,0.0,0.43,0.0,0.05,0.0,0.0,0.49,0.0,8
nyu38d,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.64,0.0,0.0,7
nyuhit,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.93,0.0,8
nyxo38,0.06,0.07,0.0,0.33,0.0,0.0,0.53,0.0,0.0,0.0,6
nyxpkf,0.09,0.0,0.0,0.04,0.11,0.04,0.02,0.3,0.4,0.0,8
nyz1ca,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0
nz0n9l,0.0,0.0,0.0,0.0,0.17,0.36,0.0,0.0,0.45,0.0,8
nz0wgp,0.0,0.08,0.0,0.19,0.0,0.0,0.34,0.0,0.0,0.37,9
nz1vtu,0.01,0.01,0.01,0.01,0.81,0.01,0.14,0.01,0.01,0.01,4
nz2ae5,0.56,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.01,0
nz2wv4,0.0,0.26,0.0,0.0,0.0,0.0,0.07,0.0,0.66,0.0,8
nz2wzc,0.0,0.0,0.17,0.0,0.34,0.06,0.0,0.0,0.42,0.0,8
nz3f11,0.02,0.02,0.15,0.02,0.72,0.02,0.02,0.02,0.02,0.02,4
nz4ciz,0.0,0.16,0.11,0.11,0.0,0.0,0.24,0.0,0.0,0.37,9
nz6z3v,0.35,0.0,0.12,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3
nz73ks,0.0,0.0,0.0,0.39,0.16,0.1,0.04,0.3,0.0,0.0,3
nz7d84,0.0,0.0,0.0,0.08,0.42,0.35,0.0,0.13,0.0,0.0,4
nza1s3,0.02,0.02,0.63,0.23,0.02,0.02,0.02,0.02,0.02,0.02,2
nzbp46,0.01,0.01,0.21,0.01,0.01,0.49,0.01,0.23,0.01,0.01,5
nzc6cy,0.0,0.1,0.12,0.0,0.0,0.0,0.5,0.0,0.26,0.0,6
nzc6z2,0.1,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.31,6
nzdm39,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,6
nze4lh,0.01,0.01,0.11,0.53,0.31,0.01,0.01,0.01,0.01,0.01,3
nzg97q,0.15,0.06,0.0,0.0,0.31,0.05,0.06,0.19,0.0,0.19,4
nzhgyx,0.56,0.04,0.0,0.0,0.16,0.0,0.0,0.0,0.1,0.13,0
nzjwl2,0.16,0.0,0.02,0.11,0.0,0.0,0.3,0.27,0.0,0.13,6
nzjx32,0.0,0.3,0.08,0.0,0.24,0.0,0.0,0.0,0.0,0.36,9
nzk5bd,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,7
nzmj7u,0.15,0.0,0.0,0.38,0.25,0.0,0.2,0.0,0.0,0.0,3
nzn57s,0.0,0.0,0.0,0.29,0.15,0.0,0.15,0.0,0.0,0.39,9
nznsk8,0.0,0.0,0.0,0.73,0.0,0.0,0.07,0.0,0.09,0.08,3
nzo87f,0.0,0.11,0.0,0.0,0.31,0.08,0.18,0.31,0.0,0.0,4
nzpeuk,0.01,0.01,0.31,0.62,0.01,0.01,0.01,0.01,0.01,0.01,3
nzqm15,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.15,0.16,3
nzt3ty,0.07,0.0,0.0,0.34,0.0,0.19,0.27,0.13,0.0,0.0,3
nztipl,0.0,0.18,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.21,3
nzts2l,0.08,0.27,0.0,0.0,0.17,0.0,0.33,0.0,0.0,0.14,6
nzunz4,0.31,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.53,0.0,8
nzv2jr,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.35,0.58,0.0,8
nzwxxc,0.0,0.0,0.08,0.41,0.42,0.0,0.0,0.0,0.0,0.07,4
nzx1sb,0.01,0.01,0.01,0.47,0.01,0.01,0.01,0.01,0.48,0.01,8
nzxi4s,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.12,0.11,0.74,9
o03j0a,0.19,0.09,0.0,0.13,0.0,0.05,0.05,0.16,0.32,0.0,8
o0874t,0.0,0.0,0.14,0.0,0.78,0.0,0.07,0.0,0.0,0.0,4
o09kkw,0.0,0.0,0.0,0.32,0.0,0.0,0.09,0.0,0.41,0.17,8
o0a48q,0.01,0.01,0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.26,3
o0abrl,0.25,0.23,0.0,0.08,0.34,0.05,0.04,0.0,0.0,0.0,4
o0ae2h,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.62,0.0,8
o0e9qc,0.0,0.0,0.35,0.0,0.0,0.19,0.44,0.0,0.0,0.0,6
o0ef4m,0.19,0.08,0.0,0.06,0.21,0.0,0.0,0.33,0.12,0.0,7
o0fdje,0.39,0.06,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,4
o0fysr,0.14,0.26,0.0,0.0,0.0,0.4,0.0,0.0,0.09,0.11,5
o0gf2h,0.79,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0
o0h2zm,0.0,0.15,0.0,0.0,0.33,0.22,0.28,0.0,0.0,0.0,4
o0ia8f,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
o0iez5,0.21,0.0,0.04,0.13,0.05,0.0,0.0,0.35,0.2,0.01,7
o0izqr,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.26,0.64,0.0,8
o0jcgz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9
o0jfwx,0.01,0.41,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,4
o0js2g,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.14,0.0,0.25,4
o0l483,0.0,0.4,0.0,0.19,0.0,0.0,0.0,0.14,0.2,0.06,1
o0lm8t,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.64,0.01,8
o0m21d,0.0,0.0,0.0,0.42,0.1,0.0,0.0,0.0,0.46,0.0,8
o0mbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.62,9
o0mjd9,0.0,0.0,0.06,0.6,0.32,0.0,0.0,0.0,0.0,0.0,3
o0p045,0.14,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.1,0.62,9
o0q7pc,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.36,0.4,9
o0ro1g,0.0,0.0,0.0,0.0,0.12,0.0,0.03,0.0,0.42,0.42,8
o0rqkm,0.28,0.07,0.0,0.0,0.0,0.0,0.17,0.0,0.24,0.23,0
o0xfkz,0.0,0.0,0.0,0.0,0.43,0.0,0.32,0.0,0.24,0.0,4
o0y326,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.34,0
o0z3c4,0.0,0.16,0.0,0.0,0.31,0.0,0.52,0.0,0.0,0.0,6
o0zoqb,0.0,0.0,0.1,0.22,0.46,0.0,0.21,0.0,0.0,0.0,4
o14k9t,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0.01,8
o16o42,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.71,9
o16tpt,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,5
o177im,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.58,0.0,8
o185v2,0.0,0.0,0.0,0.39,0.36,0.0,0.0,0.0,0.0,0.24,3
o197sg,0.52,0.13,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0
o1a989,0.43,0.0,0.0,0.23,0.0,0.31,0.0,0.0,0.0,0.0,0
o1asl8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,8
o1bm4f,0.27,0.0,0.0,0.33,0.0,0.2,0.08,0.0,0.11,0.0,3
o1cq73,0.0,0.0,0.66,0.0,0.0,0.08,0.06,0.0,0.0,0.18,2
o1deci,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.26,8
o1doo2,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.73,9
o1ekp3,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.73,9
o1eqjy,0.01,0.01,0.01,0.33,0.29,0.01,0.01,0.01,0.35,0.01,8
o1esnx,0.02,0.02,0.02,0.02,0.02,0.19,0.02,0.68,0.02,0.02,7
o1f6on,0.0,0.0,0.1,0.54,0.0,0.0,0.0,0.0,0.0,0.34,3
o1hy5g,0.0,0.06,0.08,0.0,0.0,0.16,0.04,0.4,0.13,0.14,7
o1i0gy,0.21,0.0,0.0,0.0,0.19,0.0,0.0,0.35,0.23,0.0,7
o1jnir,0.0,0.18,0.0,0.22,0.0,0.0,0.24,0.0,0.21,0.14,6
o1nqnv,0.05,0.0,0.0,0.18,0.17,0.0,0.0,0.12,0.47,0.0,8
o1rgfh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0.01,8
o1ro2z,0.0,0.03,0.13,0.0,0.2,0.13,0.0,0.08,0.18,0.25,9
o1s3mm,0.41,0.0,0.1,0.0,0.23,0.0,0.0,0.0,0.26,0.0,0
o1tqv9,0.0,0.19,0.0,0.0,0.21,0.0,0.2,0.11,0.08,0.21,4
o1u7g4,0.01,0.01,0.01,0.24,0.01,0.12,0.08,0.01,0.01,0.52,9
o1uhmd,0.0,0.0,0.13,0.56,0.0,0.0,0.0,0.0,0.28,0.0,3
o1w8rl,0.22,0.01,0.01,0.01,0.01,0.01,0.31,0.43,0.01,0.01,7
o1wj19,0.29,0.03,0.51,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
o1wkkn,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.43,0.29,0.0,7
o1xfmo,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,6
o1y43b,0.0,0.07,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.73,9
o1z8jz,0.17,0.0,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.55,9
o1zh5l,0.08,0.22,0.0,0.35,0.0,0.2,0.0,0.12,0.0,0.0,3
o1zk6d,0.31,0.0,0.02,0.0,0.13,0.05,0.0,0.0,0.3,0.2,0
o1znov,0.24,0.0,0.03,0.0,0.05,0.05,0.0,0.2,0.19,0.24,0
o217th,0.19,0.0,0.0,0.39,0.0,0.05,0.0,0.0,0.0,0.36,3
o21a9q,0.03,0.0,0.0,0.03,0.28,0.14,0.19,0.0,0.0,0.33,9
o22idw,0.0,0.0,0.28,0.0,0.54,0.0,0.0,0.0,0.15,0.0,4
o23sbq,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.57,9
o25fqe,0.0,0.0,0.0,0.0,0.0,0.28,0.62,0.0,0.08,0.0,6
o265dm,0.31,0.0,0.0,0.0,0.0,0.24,0.18,0.25,0.0,0.0,0
o265e6,0.01,0.01,0.3,0.01,0.01,0.66,0.01,0.01,0.01,0.01,5
o2696q,0.0,0.14,0.0,0.12,0.23,0.0,0.0,0.39,0.11,0.0,7
o27298,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.01,0.01,0.34,3
o29cf8,0.22,0.0,0.06,0.0,0.28,0.0,0.17,0.27,0.0,0.0,4
o2axfg,0.0,0.0,0.03,0.34,0.33,0.02,0.0,0.0,0.0,0.26,3
o2djvb,0.0,0.0,0.0,0.04,0.0,0.19,0.05,0.0,0.14,0.57,9
o2dun7,0.2,0.13,0.0,0.0,0.0,0.19,0.2,0.1,0.17,0.0,0
o2dxkd,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
o2eqsa,0.0,0.13,0.0,0.0,0.53,0.2,0.0,0.0,0.0,0.13,4
o2f6ev,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.59,0.17,0.0,7
o2ffvi,0.0,0.17,0.09,0.0,0.0,0.0,0.22,0.5,0.0,0.0,7
o2fhv0,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
o2hf29,0.0,0.15,0.0,0.29,0.45,0.0,0.0,0.0,0.0,0.08,4
o2iokj,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.39,0.39,0.0,7
o2km5z,0.0,0.0,0.05,0.19,0.23,0.05,0.0,0.0,0.26,0.23,8
o2m0ez,0.0,0.0,0.0,0.33,0.45,0.0,0.21,0.0,0.0,0.0,4
o2n58b,0.01,0.01,0.01,0.37,0.01,0.16,0.01,0.01,0.01,0.42,9
o2nbz0,0.0,0.07,0.19,0.0,0.05,0.06,0.0,0.15,0.15,0.32,9
o2pksm,0.01,0.22,0.1,0.01,0.52,0.01,0.13,0.01,0.01,0.01,4
o2q8g2,0.0,0.0,0.0,0.08,0.4,0.24,0.0,0.0,0.28,0.0,4
o2t71z,0.0,0.0,0.05,0.52,0.0,0.0,0.0,0.0,0.4,0.0,3
o2v6o8,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,5
o2w5wl,0.0,0.0,0.0,0.0,0.24,0.13,0.0,0.13,0.0,0.5,9
o30i4c,0.16,0.0,0.24,0.1,0.17,0.0,0.0,0.0,0.0,0.32,9
o33ntt,0.0,0.0,0.08,0.26,0.0,0.28,0.0,0.0,0.0,0.36,9
o34wv0,0.37,0.0,0.33,0.0,0.0,0.18,0.0,0.09,0.0,0.0,0
o3575w,0.0,0.0,0.0,0.12,0.0,0.0,0.86,0.0,0.0,0.0,6
o35oi7,0.01,0.32,0.01,0.01,0.01,0.01,0.27,0.01,0.33,0.01,8
o36anf,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4,0
o37bk2,0.0,0.29,0.0,0.0,0.37,0.0,0.1,0.21,0.0,0.0,4
o39qxy,0.0,0.0,0.11,0.48,0.0,0.0,0.0,0.0,0.4,0.0,3
o3adsn,0.01,0.01,0.01,0.01,0.47,0.42,0.01,0.01,0.01,0.01,4
o3atln,0.0,0.09,0.0,0.2,0.42,0.0,0.0,0.0,0.26,0.0,4
o3f1cr,0.12,0.23,0.01,0.01,0.51,0.01,0.1,0.01,0.01,0.01,4
o3ftjb,0.06,0.02,0.0,0.03,0.16,0.0,0.09,0.02,0.3,0.31,9
o3g39o,0.0,0.15,0.0,0.0,0.17,0.0,0.35,0.0,0.0,0.31,6
o3iepr,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
o3krc5,0.01,0.01,0.78,0.17,0.01,0.01,0.01,0.01,0.01,0.01,2
o3krx2,0.0,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.22,0.38,9
o3nv8r,0.0,0.0,0.08,0.26,0.0,0.28,0.0,0.0,0.0,0.36,9
o3ogt7,0.09,0.0,0.0,0.0,0.05,0.0,0.07,0.42,0.21,0.16,7
o3p796,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.8,0.0,8
o3p80c,0.18,0.11,0.02,0.0,0.19,0.0,0.0,0.36,0.02,0.12,7
o3r2af,0.0,0.0,0.0,0.24,0.0,0.15,0.0,0.21,0.0,0.38,9
o3rc8i,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.43,8
o3vtax,0.0,0.41,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.3,1
o3zf1p,0.16,0.13,0.0,0.0,0.35,0.0,0.0,0.24,0.0,0.12,4
o415c7,0.05,0.0,0.0,0.21,0.0,0.29,0.03,0.0,0.4,0.0,8
o41q3m,0.01,0.01,0.3,0.24,0.41,0.01,0.01,0.01,0.01,0.01,4
o42p80,0.05,0.14,0.0,0.0,0.71,0.0,0.0,0.0,0.1,0.0,4
o45i1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9
o46hcg,0.25,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.33,0.0,4
o4793r,0.3,0.0,0.07,0.24,0.0,0.03,0.0,0.25,0.11,0.0,0
o47pth,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.12,0.01,6
o48qfp,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.35,0.0,0.0,3
o4axve,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,0.01,8
o4c8rv,0.0,0.16,0.0,0.0,0.0,0.0,0.46,0.0,0.36,0.0,6
o4ef58,0.01,0.01,0.01,0.01,0.01,0.54,0.01,0.01,0.41,0.01,5
o4exqi,0.04,0.09,0.0,0.09,0.05,0.22,0.2,0.0,0.0,0.31,9
o4f835,0.0,0.0,0.37,0.45,0.0,0.0,0.0,0.0,0.16,0.0,3
o4fqam,0.0,0.12,0.0,0.0,0.0,0.19,0.23,0.0,0.45,0.0,8
o4guc1,0.01,0.01,0.01,0.63,0.29,0.01,0.01,0.01,0.01,0.01,3
o4hpyj,0.45,0.0,0.0,0.12,0.19,0.0,0.0,0.08,0.15,0.0,0
o4hyzx,0.27,0.1,0.0,0.14,0.0,0.0,0.0,0.48,0.0,0.0,7
o4j50f,0.01,0.01,0.01,0.16,0.56,0.01,0.01,0.08,0.17,0.01,4
o4jqmh,0.0,0.1,0.0,0.42,0.0,0.1,0.0,0.0,0.37,0.0,3
o4lsg1,0.0,0.15,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,4
o4mqam,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
o4o2h6,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.15,0.38,6
o4qkhk,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,3
o4uv6x,0.03,0.0,0.0,0.1,0.0,0.0,0.36,0.0,0.2,0.3,6
o4vl87,0.48,0.0,0.0,0.0,0.0,0.38,0.05,0.0,0.0,0.08,0
o4woup,0.01,0.57,0.14,0.01,0.01,0.01,0.01,0.01,0.24,0.01,1
o4x6bl,0.39,0.0,0.0,0.05,0.27,0.0,0.0,0.1,0.06,0.12,0
o4xdii,0.2,0.0,0.02,0.0,0.25,0.31,0.0,0.0,0.0,0.2,5
o4y50u,0.0,0.15,0.11,0.0,0.26,0.0,0.0,0.0,0.0,0.47,9
o519ro,0.01,0.01,0.01,0.01,0.01,0.52,0.01,0.4,0.01,0.01,5
o524qk,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,8
o53tdt,0.0,0.0,0.2,0.44,0.34,0.0,0.0,0.0,0.0,0.0,3
o53vs7,0.48,0.23,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0
o54xms,0.36,0.21,0.01,0.22,0.18,0.01,0.01,0.01,0.01,0.01,0
o54zcy,0.01,0.21,0.01,0.01,0.01,0.01,0.37,0.36,0.01,0.01,6
o56ikp,0.38,0.0,0.0,0.13,0.0,0.06,0.0,0.0,0.42,0.0,8
o57f5d,0.0,0.0,0.16,0.0,0.31,0.05,0.05,0.42,0.0,0.0,7
o57xib,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.73,9
o58dnc,0.0,0.0,0.05,0.14,0.0,0.0,0.0,0.46,0.0,0.34,7
o5amli,0.07,0.06,0.06,0.0,0.11,0.0,0.07,0.29,0.2,0.12,7
o5cafu,0.24,0.0,0.0,0.0,0.46,0.04,0.05,0.0,0.0,0.21,4
o5d6gu,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.8,0.0,8
o5dgi8,0.0,0.0,0.0,0.0,0.19,0.21,0.22,0.0,0.36,0.0,8
o5dh2d,0.0,0.0,0.16,0.0,0.0,0.0,0.81,0.0,0.0,0.0,6
o5dsa4,0.33,0.01,0.44,0.18,0.01,0.01,0.01,0.01,0.01,0.01,2
o5e2pn,0.0,0.09,0.0,0.17,0.0,0.21,0.21,0.0,0.12,0.2,5
o5eznf,0.0,0.0,0.0,0.02,0.12,0.13,0.0,0.0,0.0,0.72,9
o5f3pt,0.0,0.0,0.0,0.02,0.12,0.13,0.0,0.0,0.0,0.72,9
o5fitv,0.0,0.62,0.0,0.0,0.0,0.22,0.0,0.14,0.0,0.0,1
o5g4z0,0.0,0.0,0.0,0.0,0.27,0.0,0.07,0.64,0.0,0.0,7
o5hbqk,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.25,0.21,0.21,4
o5mqn1,0.01,0.01,0.01,0.01,0.62,0.01,0.23,0.01,0.01,0.1,4
o5nqci,0.0,0.0,0.5,0.0,0.0,0.08,0.04,0.04,0.32,0.0,2
o5oysm,0.53,0.16,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
o5oz2f,0.0,0.0,0.45,0.1,0.0,0.17,0.0,0.28,0.0,0.0,2
o5p97g,0.08,0.0,0.0,0.0,0.0,0.0,0.13,0.6,0.0,0.16,7
o5plat,0.0,0.0,0.09,0.0,0.0,0.13,0.27,0.48,0.0,0.0,7
o5qnr1,0.0,0.0,0.06,0.06,0.0,0.17,0.0,0.34,0.3,0.08,7
o5ryf6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.47,7
o5tvhb,0.0,0.39,0.03,0.0,0.39,0.0,0.0,0.18,0.0,0.0,1
o5u1kb,0.0,0.0,0.0,0.46,0.15,0.0,0.0,0.0,0.38,0.0,3
o5ucag,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0
o5xt4d,0.35,0.0,0.04,0.45,0.0,0.0,0.0,0.0,0.0,0.14,3
o5y35g,0.09,0.03,0.03,0.0,0.28,0.2,0.0,0.25,0.11,0.0,4
o5yg1z,0.11,0.0,0.09,0.21,0.0,0.21,0.0,0.0,0.28,0.1,8
o5zs8e,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.39,9
o6039z,0.04,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.29,0.41,9
o60lf5,0.0,0.0,0.0,0.56,0.0,0.23,0.0,0.2,0.0,0.0,3
o639j0,0.0,0.0,0.0,0.0,0.0,0.14,0.19,0.0,0.22,0.45,9
o63hey,0.0,0.0,0.0,0.34,0.0,0.17,0.0,0.0,0.0,0.47,9
o643nf,0.0,0.19,0.0,0.0,0.12,0.0,0.31,0.0,0.19,0.19,6
o65e8p,0.0,0.12,0.02,0.0,0.43,0.01,0.07,0.02,0.08,0.25,4
o68vil,0.25,0.03,0.0,0.3,0.0,0.0,0.24,0.12,0.06,0.0,3
o6aomg,0.39,0.09,0.0,0.0,0.23,0.0,0.0,0.29,0.0,0.0,0
o6av2u,0.37,0.02,0.0,0.05,0.26,0.09,0.0,0.0,0.21,0.0,0
o6cla9,0.01,0.01,0.01,0.01,0.01,0.12,0.63,0.18,0.01,0.01,6
o6d7x0,0.0,0.31,0.0,0.19,0.16,0.0,0.07,0.0,0.0,0.26,1
o6duo9,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
o6ebrr,0.0,0.0,0.55,0.0,0.14,0.28,0.0,0.0,0.0,0.0,2
o6g8gf,0.0,0.0,0.0,0.35,0.48,0.15,0.0,0.0,0.0,0.0,4
o6gfsz,0.18,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.63,0.0,8
o6gnhj,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.32,0.0,0.61,9
o6gw2g,0.33,0.0,0.0,0.09,0.0,0.06,0.0,0.15,0.14,0.23,0
o6ihjq,0.0,0.56,0.1,0.0,0.0,0.1,0.0,0.0,0.22,0.0,1
o6il7t,0.29,0.14,0.0,0.11,0.0,0.05,0.41,0.0,0.0,0.0,6
o6j1oi,0.03,0.0,0.0,0.0,0.17,0.0,0.07,0.0,0.29,0.44,9
o6khq5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,9
o6mlik,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.32,0.0,0.33,5
o6nd8c,0.0,0.0,0.13,0.09,0.26,0.0,0.0,0.0,0.0,0.51,9
o6nh7e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.63,9
o6paqc,0.17,0.0,0.0,0.1,0.35,0.0,0.0,0.1,0.28,0.0,4
