,t0 cyst,t1 get,t2 help,t3 symptom,t4 control,t5 eat,t6 pelvic,t7 sex,t8 iud,t9 back,t10 surgery,t11 endometriosis,t12 amp,t13 flare,t14 nausea,t15 like,t16 nt,t17 period,t18 appointment,t19 doctor,dominant_topic
girglk,0.23,0.0,0.0,0.0,0.23,0.02,0.0,0.0,0.32,0.05,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.05,0.0,0.0,8
girpjj,0.19,0.0,0.0,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.04,0.0,0.0,0.43,0.0,0.0,0.0,16
gixkrq,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,19
giz312,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.16,0.06,16
gizo5t,0.04,0.07,0.0,0.05,0.07,0.0,0.01,0.0,0.0,0.33,0.0,0.0,0.0,0.05,0.0,0.19,0.1,0.05,0.04,0.0,9
gizu7t,0.0,0.0,0.31,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.6,0.0,0.0,0.0,0.0,15
gj2jtq,0.12,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.29,0.0,0.29,17
gj4y82,0.0,0.0,0.08,0.0,0.07,0.0,0.0,0.0,0.46,0.0,0.13,0.0,0.14,0.0,0.0,0.0,0.11,0.0,0.0,0.0,8
gj58hl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.32,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
gj5fyy,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.47,19
gj6bmu,0.0,0.0,0.0,0.22,0.09,0.0,0.0,0.0,0.14,0.0,0.0,0.12,0.09,0.0,0.0,0.0,0.0,0.32,0.0,0.0,17
gj7d14,0.0,0.0,0.17,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.15,0.29,0.0,0.0,0.0,16
gj874o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.1,0.0,16
gjc5oc,0.33,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.23,0.05,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gjhqz6,0.06,0.02,0.13,0.0,0.0,0.0,0.02,0.02,0.33,0.0,0.05,0.05,0.05,0.0,0.06,0.0,0.08,0.0,0.06,0.07,8
gjhy3x,0.17,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.07,0.0,0.0,4
gjj04s,0.07,0.05,0.03,0.0,0.1,0.02,0.0,0.0,0.0,0.18,0.11,0.0,0.0,0.03,0.06,0.15,0.0,0.04,0.0,0.16,9
gjj6bu,0.15,0.04,0.0,0.06,0.0,0.0,0.03,0.1,0.0,0.29,0.0,0.04,0.0,0.0,0.0,0.11,0.17,0.0,0.0,0.0,9
gjkhsg,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.41,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,8
gjkqh5,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.05,0.09,0.0,0.5,0.0,0.06,0.0,0.0,15
gjp4fw,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.12,0.0,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.12,0.0,0.0,3
gjrdd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.27,8
gjs31m,0.11,0.16,0.0,0.13,0.32,0.0,0.0,0.15,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
gjvx46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.0,0.05,0.0,0.0,0.48,0.0,0.0,0.3,16
gjx66h,0.0,0.0,0.0,0.1,0.35,0.0,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.0,0.0,0.19,0.09,0.0,0.0,0.0,4
gjxmt4,0.12,0.0,0.0,0.22,0.23,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.07,0.0,0.21,0.0,0.0,4
gk3goc,0.03,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,19
gk3myz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.07,0.11,0.36,0.0,0.03,0.0,0.2,15
gk5m5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.46,0.29,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,10
gk5otl,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.39,0.01,0.01,0.01,16
gk89kf,0.12,0.0,0.0,0.15,0.0,0.0,0.13,0.03,0.0,0.05,0.13,0.04,0.0,0.04,0.0,0.15,0.0,0.16,0.0,0.0,17
