,t0 side,t1 amp,t2 experience,t3 blood,t4 nt,t5 weight,t6 pelvic,t7 didn,t8 control,t9 day,t10 surgery,t11 doctor,t12 period,t13 flare,t14 like,dominant_topic
ly27yt,0.04,0.0,0.16,0.19,0.0,0.0,0.0,0.0,0.08,0.26,0.0,0.06,0.0,0.0,0.19,9
ly373h,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.25,2
ly3ak8,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.11,0.01,0.01,0.63,0.01,0.01,0.01,0.01,10
ly3v9f,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.37,9
ly6rgq,0.0,0.12,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.14,0.19,0.0,0.31,0.0,0.0,12
ly7ffb,0.0,0.21,0.35,0.0,0.26,0.02,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,2
lzrp7v,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.28,0.05,0.0,0.39,0.0,0.2,12
lzsn4j,0.0,0.14,0.05,0.0,0.33,0.03,0.02,0.0,0.0,0.34,0.0,0.0,0.0,0.06,0.03,9
lzt81e,0.05,0.06,0.15,0.0,0.15,0.01,0.02,0.01,0.04,0.22,0.15,0.12,0.02,0.0,0.0,9
lztb1k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.28,0.0,0.06,0.0,0.64,0.0,0.0,12
lztuuo,0.0,0.0,0.36,0.0,0.37,0.0,0.0,0.04,0.09,0.06,0.0,0.0,0.0,0.07,0.0,4
m03vcv,0.0,0.2,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.41,0.31,0.0,0.0,0.0,0.0,9
m04m6n,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,9
m04whc,0.0,0.55,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
m06gjh,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.12,0.33,0.36,0.0,0.0,0.0,11
m06jrz,0.0,0.02,0.0,0.08,0.43,0.0,0.1,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.0,4
m0iwcd,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,2
m0j4yp,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.08,0.11,0.0,0.15,0.55,14
m0jatr,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.56,0.0,0.21,0.0,0.0,0.0,9
m0jbik,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.08,0.0,0.0,0.1,0.36,0.0,0.0,4
m0jrwe,0.0,0.0,0.07,0.0,0.18,0.0,0.0,0.0,0.11,0.0,0.54,0.0,0.0,0.08,0.0,10
m0kjwh,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.01,10
m0kxi9,0.23,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,2
m0lzw6,0.03,0.0,0.04,0.0,0.07,0.0,0.25,0.01,0.0,0.04,0.38,0.06,0.12,0.0,0.0,10
m0o5k8,0.0,0.0,0.04,0.05,0.05,0.0,0.0,0.0,0.17,0.0,0.22,0.0,0.17,0.0,0.3,14
m0oxxj,0.0,0.0,0.0,0.0,0.63,0.05,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.11,4
m0pn6u,0.01,0.01,0.01,0.01,0.48,0.01,0.01,0.12,0.01,0.31,0.01,0.01,0.01,0.01,0.01,4
m0r2qq,0.0,0.0,0.08,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.25,0.03,0.0,0.0,0.33,14
m0r419,0.0,0.0,0.0,0.04,0.78,0.04,0.0,0.01,0.0,0.13,0.0,0.0,0.0,0.0,0.0,4
m0rrbl,0.0,0.0,0.14,0.0,0.21,0.0,0.0,0.07,0.09,0.09,0.0,0.39,0.0,0.0,0.0,11
m0s47j,0.0,0.48,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.07,0.23,0.0,1
m0s4h6,0.0,0.0,0.18,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.59,0.06,0.0,0.0,11
m0s6qx,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.59,14
m0sg9g,0.03,0.0,0.18,0.0,0.0,0.17,0.0,0.03,0.0,0.21,0.0,0.0,0.19,0.15,0.04,9
m0tiva,0.0,0.0,0.22,0.0,0.0,0.0,0.1,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.32,9
m0tlo7,0.0,0.0,0.0,0.31,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,4
m0tmfs,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0
m0utbv,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.38,0.0,0.0,0.21,0.21,0.0,0.0,8
m0v5fu,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.07,0.0,0.2,0.12,0.0,0.0,0.0,0.48,14
m0w15m,0.13,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.41,0.1,0.02,0.0,0.18,0.0,0.0,8
m0w2ch,0.0,0.19,0.0,0.0,0.0,0.0,0.12,0.06,0.04,0.25,0.2,0.0,0.0,0.0,0.13,9
m0wcon,0.0,0.04,0.0,0.0,0.0,0.04,0.09,0.04,0.28,0.28,0.1,0.12,0.0,0.0,0.0,8
m0wm73,0.11,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.39,14
m0yvqs,0.15,0.0,0.0,0.0,0.33,0.0,0.0,0.03,0.28,0.0,0.2,0.0,0.0,0.0,0.0,4
m10ay0,0.0,0.0,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.23,0.28,0.32,0.0,0.0,0.0,11
m10iss,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.11,0.32,0.0,0.28,12
m15ha0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,4
m17ny8,0.42,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
m184x0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,4
m189gm,0.0,0.21,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.21,0.09,0.0,0.0,0.0,0.32,14
m18rpc,0.12,0.0,0.11,0.0,0.0,0.0,0.06,0.0,0.17,0.13,0.06,0.25,0.09,0.0,0.0,11
m1aedn,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.37,0.13,0.0,0.0,0.0,0.0,4
m1af82,0.37,0.01,0.01,0.01,0.01,0.23,0.01,0.1,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0
m1bvx8,0.0,0.0,0.0,0.01,0.38,0.01,0.08,0.0,0.06,0.07,0.15,0.21,0.01,0.0,0.02,4
m1d0yj,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.32,0.0,0.1,0.44,0.0,0.0,0.0,11
m1dxxg,0.03,0.04,0.06,0.0,0.46,0.0,0.0,0.01,0.04,0.0,0.15,0.21,0.0,0.0,0.0,4
m1e3xf,0.16,0.0,0.06,0.02,0.23,0.0,0.0,0.0,0.0,0.28,0.08,0.0,0.08,0.0,0.08,9
m1f187,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.3,11
m1fdfo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.93,0.01,0.01,0.01,0.01,0.01,0.01,8
m1fxll,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.5,14
m1fypm,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.24,0.11,0.0,0.0,0.1,0.0,4
m1go29,0.01,0.01,0.01,0.01,0.71,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,4
m1h36g,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.53,0.4,0.01,0.01,0.01,10
m1hepz,0.0,0.0,0.12,0.15,0.41,0.0,0.0,0.02,0.0,0.11,0.12,0.07,0.0,0.0,0.0,4
m1icfu,0.02,0.05,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.2,0.34,0.1,0.0,0.05,0.15,10
m1iebp,0.41,0.0,0.19,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0
m1ifn7,0.01,0.0,0.12,0.0,0.23,0.0,0.0,0.0,0.18,0.06,0.09,0.19,0.07,0.05,0.0,4
m1kl7v,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.0,0.14,0.0,0.0,0.52,0.04,0.17,12
m1lg76,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.8,0.0,0.0,0.0,0.0,0.0,0.12,8
m1m1r1,0.05,0.13,0.26,0.1,0.29,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4
m1mhyo,0.0,0.0,0.0,0.0,0.05,0.0,0.07,0.01,0.05,0.18,0.29,0.0,0.06,0.13,0.16,10
m1mlbh,0.05,0.0,0.13,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.06,0.22,0.02,0.03,0.0,4
m1nf13,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.45,14
m1o1b3,0.0,0.03,0.0,0.0,0.26,0.0,0.04,0.03,0.16,0.07,0.0,0.0,0.3,0.0,0.09,12
m1o7zv,0.0,0.0,0.21,0.0,0.0,0.0,0.1,0.0,0.23,0.0,0.0,0.13,0.08,0.04,0.2,8
m1ost5,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.03,0.44,0.0,0.34,0.0,0.0,0.03,0.0,8
m1pbrp,0.18,0.0,0.11,0.07,0.0,0.07,0.0,0.04,0.0,0.13,0.23,0.17,0.0,0.0,0.0,10
m1q6n0,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.58,0.0,0.1,12
m1qtpr,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.58,0.0,0.0,12
m1rwe8,0.0,0.0,0.0,0.0,0.31,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.3,4
m1sgzj,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.41,0.0,0.0,0.0,0.43,0.0,0.0,12
m1yqog,0.0,0.03,0.0,0.0,0.0,0.06,0.05,0.04,0.21,0.32,0.0,0.12,0.11,0.07,0.0,9
m1ywht,0.03,0.02,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.07,0.54,0.03,0.03,0.03,11
m1zayn,0.03,0.0,0.0,0.04,0.48,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.15,0.07,0.04,4
m1zn3a,0.08,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.13,0.0,0.24,0.24,0.0,0.0,0.0,4
m1zn9n,0.08,0.0,0.21,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.15,4
m2056n,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,11
m20f6f,0.0,0.08,0.0,0.0,0.35,0.0,0.0,0.04,0.2,0.0,0.0,0.13,0.2,0.0,0.0,4
m21gfs,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.27,0.14,0.0,0.26,0.0,0.0,9
m21hj7,0.0,0.0,0.27,0.0,0.06,0.0,0.13,0.0,0.0,0.0,0.23,0.18,0.0,0.0,0.11,2
m23upy,0.0,0.0,0.4,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2
m244am,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.42,0.0,0.0,0.0,8
m24gb9,0.0,0.0,0.0,0.13,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,12
m24ozg,0.01,0.01,0.01,0.01,0.4,0.01,0.11,0.14,0.14,0.01,0.01,0.01,0.01,0.01,0.15,4
m24wfg,0.25,0.0,0.28,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.33,0.0,0.0,0.0,11
m25o0c,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.57,14
m29lpu,0.0,0.0,0.0,0.0,0.36,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.2,0.13,0.13,4
m2b45x,0.0,0.0,0.0,0.16,0.26,0.0,0.0,0.0,0.0,0.0,0.22,0.35,0.0,0.0,0.0,11
m2bjoe,0.07,0.0,0.0,0.0,0.34,0.0,0.1,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.25,4
m2c3nt,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,4
m2dbw2,0.0,0.0,0.08,0.0,0.21,0.0,0.09,0.0,0.21,0.0,0.13,0.2,0.0,0.06,0.0,4
m2dpat,0.0,0.12,0.0,0.0,0.47,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.03,0.18,0.1,4
m2e9og,0.0,0.0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14
m2ebl1,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.31,9
m2ee8f,0.0,0.46,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.11,0.0,0.0,1
m2eysh,0.05,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.13,0.0,0.0,4
m2f1uq,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.42,14
m2fn6e,0.18,0.45,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,1
m2fpfa,0.0,0.54,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.24,0.0,0.0,0.0,0.0,0.0,1
m2g28g,0.01,0.01,0.09,0.12,0.0,0.01,0.03,0.0,0.25,0.06,0.0,0.24,0.1,0.03,0.03,8
m2g9ck,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.51,0.0,0.0,0.0,11
m2gh5p,0.0,0.0,0.15,0.0,0.25,0.0,0.0,0.0,0.0,0.17,0.39,0.0,0.0,0.0,0.0,10
m2gumq,0.01,0.02,0.07,0.0,0.0,0.11,0.0,0.03,0.27,0.0,0.0,0.0,0.46,0.03,0.0,12
m2ht8p,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.55,0.01,13
m2ibs2,0.06,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.14,0.25,0.0,0.0,0.0,0.16,0.0,4
m2jqqy,0.0,0.0,0.41,0.0,0.31,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,2
m2jswt,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.26,10
m2kp4x,0.01,0.0,0.14,0.0,0.14,0.0,0.08,0.01,0.0,0.0,0.11,0.08,0.29,0.0,0.13,12
m2l00z,0.0,0.0,0.0,0.0,0.57,0.2,0.11,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0,4
m2libc,0.0,0.0,0.07,0.0,0.67,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.16,0.0,0.0,4
m2mi6p,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.28,0.19,0.0,0.0,10
m2mjxv,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.0,0.0,0.0,2
m2oz2f,0.05,0.0,0.07,0.0,0.43,0.0,0.0,0.04,0.14,0.23,0.0,0.0,0.0,0.0,0.03,4
m2qeb4,0.12,0.0,0.2,0.13,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.34,0.0,0.0,12
m2rbv6,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.32,0.0,0.07,0.0,0.54,0.0,0.0,12
m2s6og,0.1,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.32,0.23,0.0,0.06,0.03,0.17,9
m2s81s,0.34,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5
m2u2zo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.26,0.0,0.12,0.0,0.0,8
m2urgp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,8
m2veww,0.0,0.0,0.22,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.12,0.0,12
m2vz4x,0.0,0.0,0.0,0.07,0.0,0.0,0.14,0.0,0.12,0.29,0.0,0.28,0.09,0.0,0.0,9
m2wu3x,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,14
m2xkt1,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.73,0.14,0.0,0.0,0.0,0.0,9
m2y9dm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.26,0.0,0.0,0.08,0.23,8
m2yr4q,0.08,0.09,0.0,0.0,0.0,0.07,0.0,0.03,0.0,0.38,0.0,0.0,0.0,0.1,0.23,9
m2z02b,0.0,0.0,0.18,0.0,0.22,0.0,0.0,0.02,0.07,0.0,0.08,0.35,0.08,0.0,0.0,11
m2z27v,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,4
m2z6rt,0.01,0.01,0.01,0.76,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
m2z84i,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.08,0.23,0.0,0.0,0.0,8
m2zm11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.44,10
m30f9x,0.18,0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,4
m30ihv,0.05,0.0,0.18,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.5,0.0,0.11,0.0,0.0,10
m328wp,0.11,0.0,0.1,0.09,0.0,0.0,0.02,0.0,0.0,0.06,0.37,0.0,0.0,0.03,0.21,10
m3779p,0.0,0.0,0.0,0.0,0.36,0.0,0.22,0.0,0.0,0.17,0.0,0.16,0.0,0.08,0.0,4
m37j85,0.0,0.05,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.07,0.26,4
m37on1,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.0,0.26,0.27,0.2,0.0,0.0,0.05,10
m3806o,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.37,0.0,0.0,8
m386gx,0.0,0.0,0.0,0.0,0.08,0.0,0.21,0.0,0.05,0.63,0.0,0.0,0.0,0.0,0.0,9
m38h3r,0.0,0.28,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.44,14
m3a5f2,0.0,0.02,0.08,0.17,0.37,0.0,0.09,0.01,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4
m3akjo,0.0,0.0,0.09,0.28,0.0,0.0,0.0,0.02,0.0,0.0,0.22,0.18,0.0,0.0,0.19,3
m3b1cz,0.0,0.0,0.22,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.32,0.19,0.0,0.0,0.13,10
m3d0vg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.26,0.0,8
m3drmd,0.01,0.01,0.67,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,2
m3dzsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.42,0.0,0.0,0.1,8
m3er03,0.0,0.0,0.0,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,10
m3f17f,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.28,0.0,0.0,0.0,0.28,0.29,14
m3f8lq,0.11,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,2
m3fjbq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.54,0.0,0.0,0.0,0.0,0.26,9
m3fjlp,0.09,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.25,0.21,0.0,0.28,0.0,0.0,0.0,11
m3i4d9,0.08,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.46,14
m3icdq,0.0,0.0,0.0,0.1,0.0,0.11,0.15,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9
m3jaae,0.08,0.0,0.0,0.07,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.17,0.32,0.0,0.3,12
m3kwiy,0.01,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27,2
m3lfxf,0.0,0.0,0.36,0.03,0.06,0.0,0.0,0.03,0.35,0.0,0.0,0.0,0.0,0.16,0.0,2
m3lgyi,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.25,0.0,0.0,0.0,2
m3ltrc,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.44,0.01,0.01,0.01,0.01,8
m3mmh6,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,4
m3mqco,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.19,0.0,0.0,0.44,0.0,0.0,0.24,11
m3mxd2,0.04,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.12,0.0,0.42,0.0,0.0,0.0,0.25,10
m3n9nt,0.0,0.0,0.3,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.39,14
m3nqrp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,0.13,0.36,0.0,0.0,0.22,11
m3o6zj,0.01,0.01,0.01,0.01,0.47,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.01,4
m3oahb,0.03,0.0,0.12,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
m3od7l,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.13,0.0,0.0,9
m3ovb7,0.04,0.0,0.16,0.0,0.22,0.0,0.05,0.02,0.0,0.0,0.0,0.11,0.29,0.11,0.0,12
m3rbwi,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.13,0.0,0.0,0.37,8
m3swtw,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.43,14
m3t2ez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.15,0.0,0.0,0.0,0.0,0.31,8
m3uaqk,0.04,0.0,0.04,0.0,0.0,0.02,0.0,0.02,0.0,0.64,0.12,0.08,0.04,0.0,0.0,9
m3uumj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,8
m3w8p3,0.09,0.0,0.18,0.06,0.55,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,4
m3wqhs,0.0,0.0,0.18,0.16,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.26,6
m42637,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.33,0.39,0.0,0.0,0.0,11
m42712,0.0,0.0,0.36,0.2,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.17,0.13,0.0,0.0,2
m43ds6,0.13,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.46,0.0,0.31,0.0,0.0,0.01,0.05,8
m43g3d,0.0,0.05,0.13,0.0,0.0,0.0,0.42,0.0,0.0,0.2,0.0,0.18,0.0,0.0,0.0,6
m46pkx,0.1,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.2,0.04,0.0,8
m46ves,0.0,0.0,0.04,0.0,0.33,0.0,0.0,0.0,0.07,0.22,0.2,0.0,0.11,0.0,0.02,4
m48u4o,0.0,0.0,0.31,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,4
m4cg5p,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.05,0.41,0.0,0.0,0.19,0.0,0.0,0.23,8
m4e1fx,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,1
m4f5pp,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.74,0.01,0.01,0.01,0.01,10
m4fh81,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.22,0.0,0.0,0.0,8
m4g091,0.0,0.0,0.4,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,11
m4gm9q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0,8
m4gv36,0.0,0.0,0.0,0.05,0.0,0.0,0.24,0.02,0.0,0.0,0.19,0.14,0.0,0.0,0.36,14
m4h6a7,0.07,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.08,0.35,14
m4h8p0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
m4hbgq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.63,14
m4mi1p,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
m4o4cf,0.0,0.07,0.0,0.0,0.44,0.05,0.0,0.01,0.09,0.0,0.28,0.06,0.0,0.0,0.0,4
m4p0kl,0.18,0.0,0.04,0.0,0.0,0.02,0.03,0.0,0.26,0.0,0.31,0.0,0.15,0.02,0.0,10
