,t0 didn,t1 day,t2 surgery,t3 symptom,t4 nt,t5 control,t6 amp,t7 cyst,t8 period,t9 doctor,dominant_topic
2h9zy8,0.0,0.0,0.22,0.0,0.25,0.0,0.0,0.51,0.0,0.0,7
2hegnw,0.01,0.14,0.0,0.11,0.15,0.06,0.0,0.13,0.32,0.07,8
2hlof8,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1
2hrkrj,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.47,0.15,8
2i9tar,0.01,0.09,0.7,0.01,0.17,0.01,0.01,0.01,0.01,0.01,2
2iazjm,0.05,0.02,0.15,0.15,0.18,0.06,0.01,0.1,0.09,0.19,9
2ideai,0.0,0.33,0.26,0.0,0.08,0.0,0.01,0.0,0.0,0.32,1
2if0y3,0.0,0.0,0.0,0.0,0.26,0.32,0.0,0.0,0.0,0.4,9
2illf4,0.0,0.23,0.0,0.07,0.44,0.04,0.01,0.05,0.15,0.0,4
2ipua1,0.0,0.35,0.0,0.28,0.0,0.0,0.0,0.06,0.29,0.0,1
2iwtx5,0.07,0.0,0.0,0.0,0.33,0.16,0.0,0.0,0.16,0.27,4
2j97yx,0.01,0.18,0.0,0.0,0.27,0.16,0.0,0.07,0.12,0.19,4
2jdnt3,0.0,0.0,0.0,0.21,0.46,0.0,0.05,0.0,0.28,0.0,4
2jf534,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.66,0.0,8
2jkrg4,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2jp6dh,0.1,0.0,0.26,0.0,0.0,0.17,0.0,0.14,0.31,0.0,8
2js8ml,0.02,0.02,0.58,0.02,0.02,0.02,0.02,0.02,0.26,0.02,2
2jtrvh,0.0,0.35,0.0,0.23,0.17,0.23,0.0,0.0,0.0,0.0,1
2jv7re,0.0,0.0,0.24,0.12,0.32,0.0,0.0,0.0,0.0,0.32,4
2jy7hh,0.36,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.47,9
2k3pxw,0.0,0.12,0.29,0.0,0.25,0.0,0.0,0.11,0.0,0.23,2
2k4nzw,0.0,0.0,0.43,0.27,0.0,0.27,0.0,0.0,0.0,0.0,2
2k74do,0.0,0.0,0.02,0.1,0.63,0.23,0.0,0.02,0.0,0.0,4
2k9t2x,0.0,0.0,0.38,0.0,0.19,0.42,0.0,0.0,0.0,0.0,5
2kair4,0.0,0.21,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.27,4
2kbxpm,0.0,0.2,0.0,0.0,0.0,0.16,0.0,0.0,0.62,0.0,8
2kc2pt,0.0,0.0,0.0,0.0,0.08,0.35,0.02,0.0,0.46,0.08,8
2kcbjb,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.66,0.0,8
2kgkfs,0.04,0.0,0.15,0.27,0.0,0.17,0.03,0.0,0.34,0.0,8
2kjowc,0.0,0.0,0.61,0.0,0.36,0.0,0.0,0.0,0.0,0.0,2
2kl0o5,0.02,0.16,0.13,0.17,0.21,0.0,0.0,0.06,0.16,0.09,4
2klev5,0.0,0.5,0.0,0.0,0.06,0.2,0.0,0.02,0.0,0.21,1
2kn4bb,0.0,0.0,0.49,0.0,0.0,0.3,0.0,0.19,0.0,0.0,2
2kq8c4,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.38,5
2l6hgl,0.0,0.1,0.0,0.2,0.46,0.0,0.01,0.03,0.12,0.08,4
2lejje,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
2ljku3,0.01,0.01,0.41,0.01,0.01,0.24,0.19,0.11,0.01,0.01,2
2logyv,0.0,0.0,0.0,0.53,0.0,0.0,0.06,0.0,0.41,0.0,3
2ludfu,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.23,0.0,4
2m500u,0.0,0.0,0.25,0.17,0.0,0.0,0.0,0.57,0.0,0.0,7
2m54fr,0.01,0.35,0.01,0.01,0.01,0.58,0.01,0.01,0.01,0.01,5
2m6lfe,0.01,0.01,0.01,0.67,0.01,0.01,0.01,0.27,0.01,0.01,3
2mbmmt,0.13,0.1,0.0,0.12,0.0,0.0,0.0,0.0,0.35,0.29,8
2mbs7q,0.0,0.36,0.31,0.0,0.21,0.0,0.05,0.07,0.0,0.0,1
2mdu5q,0.0,0.0,0.0,0.36,0.0,0.03,0.0,0.25,0.13,0.23,3
2mm8p9,0.0,0.0,0.0,0.0,0.92,0.0,0.05,0.0,0.0,0.0,4
2mmpod,0.01,0.13,0.0,0.0,0.06,0.21,0.0,0.05,0.25,0.29,9
2mrs23,0.0,0.15,0.34,0.0,0.26,0.0,0.0,0.1,0.14,0.0,2
2n7py1,0.15,0.0,0.21,0.0,0.55,0.0,0.0,0.0,0.0,0.08,4
2n8u5w,0.0,0.0,0.18,0.31,0.0,0.09,0.0,0.13,0.0,0.28,3
2o2cdu,0.06,0.2,0.12,0.0,0.61,0.0,0.0,0.0,0.0,0.0,4
2o43h9,0.0,0.0,0.0,0.32,0.22,0.0,0.01,0.0,0.36,0.09,8
2onbu8,0.01,0.0,0.13,0.1,0.0,0.12,0.02,0.2,0.04,0.37,9
2otate,0.0,0.18,0.0,0.0,0.53,0.0,0.0,0.0,0.12,0.16,4
2p8dc1,0.12,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.59,0.0,8
2pbj0u,0.0,0.2,0.0,0.21,0.06,0.0,0.0,0.0,0.52,0.0,8
2ph8rw,0.0,0.44,0.22,0.0,0.14,0.04,0.06,0.0,0.0,0.09,1
2pn5ry,0.0,0.0,0.5,0.21,0.17,0.0,0.0,0.11,0.0,0.0,2
2prsjg,0.0,0.17,0.23,0.0,0.35,0.06,0.0,0.05,0.0,0.13,4
2pyz5t,0.01,0.01,0.01,0.01,0.4,0.55,0.01,0.01,0.01,0.01,5
2qix4w,0.0,0.06,0.0,0.0,0.38,0.13,0.0,0.0,0.32,0.11,4
2r4nuf,0.03,0.0,0.16,0.0,0.07,0.33,0.07,0.0,0.0,0.33,5
2rdp3w,0.07,0.0,0.1,0.0,0.17,0.02,0.0,0.18,0.17,0.28,9
2rghov,0.0,0.0,0.4,0.0,0.0,0.48,0.0,0.0,0.0,0.1,5
2rko14,0.0,0.37,0.0,0.14,0.09,0.03,0.02,0.0,0.35,0.0,1
2rlc85,0.16,0.0,0.14,0.3,0.11,0.0,0.0,0.0,0.27,0.0,3
2rm4k4,0.0,0.0,0.38,0.16,0.13,0.0,0.0,0.0,0.14,0.18,2
2rm6f3,0.0,0.0,0.38,0.16,0.13,0.0,0.0,0.0,0.14,0.18,2
2rmyzs,0.0,0.0,0.0,0.0,0.77,0.0,0.02,0.0,0.0,0.2,4
2rnb4i,0.01,0.01,0.24,0.01,0.11,0.34,0.01,0.01,0.13,0.15,5
2rnbpo,0.0,0.0,0.0,0.53,0.16,0.0,0.0,0.0,0.25,0.05,3
2rnyex,0.0,0.25,0.0,0.0,0.0,0.3,0.0,0.0,0.25,0.19,5
2ruk2p,0.0,0.05,0.0,0.3,0.61,0.03,0.0,0.0,0.0,0.0,4
2rvqzi,0.0,0.0,0.1,0.0,0.28,0.0,0.0,0.0,0.35,0.27,8
2s2z0c,0.0,0.17,0.63,0.0,0.14,0.05,0.0,0.0,0.0,0.0,2
2s3tn7,0.0,0.24,0.35,0.0,0.0,0.39,0.0,0.0,0.0,0.0,5
2s7a3r,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
2s9c35,0.0,0.44,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,1
2sa6i4,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.39,4
2scmfr,0.0,0.29,0.16,0.0,0.0,0.0,0.0,0.19,0.08,0.28,1
2sdrdr,0.0,0.27,0.05,0.0,0.0,0.06,0.0,0.12,0.32,0.18,8
2slem9,0.0,0.41,0.0,0.04,0.0,0.0,0.01,0.02,0.51,0.0,8
2sls6e,0.0,0.0,0.0,0.51,0.0,0.35,0.12,0.0,0.0,0.0,3
2smp1b,0.02,0.0,0.28,0.58,0.0,0.1,0.0,0.0,0.0,0.0,3
2svwhw,0.0,0.14,0.11,0.22,0.07,0.12,0.0,0.07,0.0,0.27,9
2sxpqr,0.0,0.0,0.0,0.11,0.17,0.39,0.0,0.0,0.32,0.0,5
2t8hpr,0.0,0.0,0.0,0.21,0.08,0.08,0.0,0.07,0.22,0.33,9
2tagyb,0.0,0.0,0.15,0.14,0.11,0.0,0.03,0.05,0.38,0.14,8
2te8lk,0.14,0.0,0.41,0.0,0.0,0.0,0.0,0.08,0.23,0.14,2
2tecmu,0.01,0.49,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.01,1
2tfft1,0.11,0.0,0.0,0.0,0.32,0.0,0.0,0.08,0.39,0.08,8
2tg02z,0.0,0.1,0.28,0.0,0.07,0.06,0.0,0.26,0.0,0.23,2
2tghqe,0.0,0.0,0.15,0.2,0.08,0.09,0.33,0.1,0.04,0.0,6
2tlfy1,0.0,0.22,0.0,0.26,0.09,0.14,0.06,0.0,0.18,0.06,3
2tnwo7,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.04,0.21,3
2ttk5z,0.18,0.1,0.0,0.0,0.31,0.12,0.0,0.09,0.0,0.2,4
2tut8q,0.0,0.0,0.0,0.0,0.55,0.12,0.0,0.0,0.2,0.11,4
2tvoys,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.08,0.79,9
2twber,0.0,0.12,0.0,0.0,0.33,0.12,0.06,0.0,0.06,0.3,4
2twbxb,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,5
2twt78,0.0,0.0,0.14,0.22,0.21,0.0,0.0,0.05,0.18,0.2,3
2tz8fo,0.0,0.33,0.0,0.0,0.62,0.04,0.0,0.0,0.0,0.0,4
2u0wmw,0.0,0.0,0.3,0.24,0.0,0.0,0.05,0.0,0.15,0.25,2
2u1qw0,0.01,0.01,0.43,0.01,0.01,0.21,0.01,0.01,0.01,0.32,2
2u31eq,0.0,0.0,0.31,0.0,0.16,0.32,0.02,0.0,0.0,0.19,5
2u4mmy,0.0,0.0,0.13,0.0,0.27,0.16,0.05,0.02,0.23,0.13,4
2u8hm0,0.0,0.18,0.0,0.19,0.0,0.0,0.0,0.09,0.0,0.54,9
2ug2ya,0.0,0.1,0.16,0.0,0.31,0.23,0.01,0.0,0.12,0.05,4
2ugeqg,0.0,0.0,0.69,0.0,0.0,0.08,0.0,0.22,0.0,0.0,2
2ujx4z,0.05,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.35,0.0,2
2ulmuz,0.0,0.0,0.09,0.0,0.6,0.0,0.04,0.0,0.0,0.25,4
2um2bd,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.58,9
2un0vv,0.0,0.14,0.11,0.53,0.0,0.0,0.0,0.21,0.0,0.0,3
2ungy6,0.0,0.0,0.0,0.24,0.0,0.07,0.0,0.28,0.0,0.4,9
2uogjm,0.0,0.08,0.07,0.0,0.46,0.25,0.0,0.0,0.14,0.0,4
2uplx9,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,5
2ur26l,0.0,0.0,0.0,0.19,0.55,0.0,0.0,0.0,0.06,0.2,4
2usaq0,0.0,0.0,0.23,0.24,0.0,0.32,0.01,0.14,0.0,0.05,5
2uttw9,0.0,0.0,0.0,0.28,0.25,0.0,0.0,0.05,0.42,0.0,8
2uvgzt,0.0,0.0,0.55,0.0,0.36,0.07,0.0,0.0,0.0,0.0,2
2uygc1,0.0,0.0,0.0,0.11,0.44,0.0,0.02,0.06,0.07,0.3,4
2uzutq,0.02,0.0,0.3,0.28,0.14,0.06,0.08,0.0,0.12,0.0,2
2v1olj,0.0,0.3,0.0,0.0,0.0,0.41,0.0,0.0,0.29,0.0,5
2v30g2,0.0,0.0,0.3,0.0,0.13,0.27,0.13,0.0,0.16,0.0,2
2v8uua,0.0,0.19,0.0,0.0,0.68,0.11,0.0,0.0,0.0,0.0,4
2vag7i,0.0,0.09,0.0,0.0,0.27,0.37,0.0,0.0,0.0,0.27,5
2vczkg,0.04,0.0,0.12,0.25,0.03,0.0,0.04,0.0,0.51,0.0,8
2vdmww,0.0,0.0,0.0,0.26,0.09,0.06,0.0,0.17,0.05,0.36,9
2vdy7p,0.0,0.14,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.54,9
2vebjk,0.0,0.0,0.84,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2
2vgfm7,0.0,0.12,0.0,0.31,0.0,0.09,0.0,0.0,0.46,0.0,8
2vgtlt,0.01,0.53,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
2vi8m5,0.0,0.0,0.0,0.0,0.4,0.21,0.0,0.09,0.29,0.0,4
2vncq9,0.04,0.0,0.2,0.21,0.11,0.0,0.0,0.15,0.28,0.0,8
2vnic2,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.64,0.0,8
2vowfy,0.0,0.05,0.0,0.08,0.02,0.0,0.0,0.16,0.46,0.23,8
2vqap1,0.01,0.01,0.41,0.01,0.55,0.01,0.01,0.01,0.01,0.01,4
2vr26u,0.03,0.0,0.27,0.2,0.0,0.0,0.0,0.39,0.1,0.0,7
2vsbjo,0.12,0.0,0.0,0.08,0.41,0.0,0.01,0.04,0.0,0.33,4
2vvtss,0.0,0.0,0.0,0.18,0.09,0.06,0.0,0.05,0.43,0.19,8
2vycht,0.03,0.17,0.0,0.3,0.14,0.1,0.03,0.0,0.16,0.05,3
2vzrjy,0.0,0.0,0.46,0.0,0.0,0.32,0.14,0.0,0.08,0.0,2
2vzv8h,0.0,0.11,0.32,0.0,0.08,0.0,0.0,0.06,0.23,0.21,2
2w172c,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.07,0.1,0.0,2
2w1nl7,0.0,0.0,0.13,0.0,0.52,0.22,0.0,0.0,0.11,0.0,4
2w5bmx,0.0,0.0,0.52,0.08,0.1,0.0,0.07,0.1,0.0,0.14,2
2wgbwb,0.0,0.44,0.0,0.3,0.0,0.0,0.13,0.1,0.0,0.0,1
2wgjwk,0.0,0.27,0.0,0.0,0.24,0.0,0.0,0.21,0.14,0.14,1
2wigz1,0.0,0.29,0.0,0.31,0.35,0.0,0.05,0.0,0.0,0.0,4
2wns12,0.0,0.81,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,1
2wszd2,0.0,0.24,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.27,4
2wt7nu,0.02,0.0,0.0,0.12,0.08,0.28,0.0,0.01,0.19,0.3,9
2wwnhi,0.01,0.0,0.0,0.25,0.0,0.2,0.0,0.02,0.49,0.03,8
2wxsxb,0.0,0.0,0.24,0.0,0.62,0.0,0.0,0.0,0.12,0.0,4
2wzcy9,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.37,0.5,9
2wzpgh,0.06,0.14,0.16,0.17,0.22,0.0,0.0,0.12,0.03,0.11,4
2x15s8,0.05,0.0,0.23,0.0,0.19,0.0,0.04,0.13,0.14,0.21,2
2x1upw,0.0,0.19,0.64,0.0,0.12,0.0,0.0,0.05,0.0,0.0,2
2x2q23,0.0,0.0,0.15,0.27,0.0,0.37,0.0,0.0,0.19,0.0,5
2x2xhz,0.0,0.17,0.27,0.0,0.0,0.0,0.0,0.0,0.54,0.0,8
2x5ih8,0.04,0.0,0.06,0.05,0.33,0.0,0.0,0.07,0.0,0.45,9
2x5mwh,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.33,0.17,0.12,3
2x6mpl,0.0,0.0,0.4,0.0,0.42,0.12,0.0,0.0,0.04,0.0,4
2x9qav,0.06,0.28,0.0,0.0,0.0,0.0,0.04,0.0,0.6,0.0,8
2xan3e,0.0,0.0,0.02,0.08,0.23,0.0,0.01,0.1,0.24,0.31,9
2xbxu2,0.0,0.33,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2xd4vh,0.0,0.0,0.04,0.07,0.46,0.09,0.0,0.0,0.04,0.3,4
2xez6d,0.0,0.44,0.22,0.06,0.0,0.0,0.02,0.24,0.0,0.0,1
2xjk3k,0.0,0.0,0.0,0.37,0.0,0.61,0.0,0.0,0.0,0.0,5
2xjt5v,0.01,0.01,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,4
2xkb3w,0.19,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.58,0.0,8
2xm6fv,0.0,0.0,0.04,0.15,0.2,0.0,0.01,0.05,0.23,0.32,9
2xn5aa,0.0,0.14,0.18,0.17,0.37,0.05,0.08,0.0,0.0,0.0,4
2xqc8p,0.0,0.13,0.0,0.39,0.2,0.0,0.0,0.0,0.28,0.0,3
2xwnvg,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2y22h9,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2y5vxm,0.07,0.0,0.0,0.0,0.37,0.19,0.0,0.06,0.0,0.31,4
2ygf3s,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.19,0.15,0.28,4
2yi5bc,0.01,0.01,0.01,0.82,0.01,0.01,0.07,0.07,0.01,0.01,3
2yijh0,0.0,0.0,0.36,0.0,0.14,0.0,0.0,0.47,0.0,0.0,7
2ymadn,0.0,0.0,0.27,0.1,0.0,0.0,0.0,0.0,0.0,0.63,9
2ytgbz,0.01,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,3
2yuej4,0.0,0.0,0.19,0.0,0.18,0.47,0.0,0.0,0.0,0.15,5
2yyofj,0.0,0.0,0.05,0.27,0.0,0.08,0.0,0.0,0.38,0.21,8
2z0ouv,0.0,0.1,0.22,0.13,0.14,0.09,0.05,0.2,0.0,0.06,2
2z2s86,0.0,0.0,0.84,0.0,0.0,0.0,0.04,0.1,0.0,0.0,2
2z5zik,0.0,0.24,0.0,0.22,0.0,0.0,0.0,0.0,0.53,0.0,8
2z7bi9,0.0,0.11,0.0,0.0,0.51,0.15,0.0,0.0,0.23,0.0,4
2z8kfy,0.01,0.25,0.45,0.0,0.09,0.0,0.02,0.0,0.0,0.17,2
2z8t4t,0.02,0.0,0.16,0.07,0.42,0.0,0.05,0.03,0.13,0.13,4
2z8u5p,0.0,0.0,0.0,0.0,0.71,0.07,0.0,0.03,0.0,0.18,4
2z9loy,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.36,0.0,0.0,2
2zasb2,0.0,0.15,0.32,0.0,0.32,0.13,0.0,0.0,0.0,0.08,2
2zb2g9,0.0,0.34,0.0,0.03,0.62,0.0,0.0,0.0,0.0,0.0,4
2zd925,0.04,0.15,0.16,0.0,0.32,0.11,0.0,0.18,0.03,0.0,4
2ze338,0.0,0.0,0.24,0.0,0.0,0.16,0.04,0.0,0.22,0.33,9
2zhdne,0.0,0.0,0.0,0.43,0.36,0.0,0.0,0.09,0.0,0.12,3
2zie4f,0.03,0.06,0.22,0.2,0.31,0.07,0.0,0.03,0.09,0.0,4
2zjkc6,0.0,0.0,0.0,0.28,0.0,0.0,0.01,0.2,0.38,0.13,8
2zkvc3,0.0,0.17,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.37,4
2zncew,0.0,0.0,0.0,0.0,0.33,0.49,0.0,0.0,0.15,0.0,5
2znmhm,0.01,0.0,0.0,0.1,0.19,0.0,0.0,0.01,0.67,0.0,8
2zqzxk,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
2zsdtj,0.0,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.84,0.0,8
2zu7wy,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,4
300bzn,0.01,0.01,0.01,0.3,0.01,0.01,0.61,0.01,0.01,0.01,6
302jwa,0.0,0.0,0.6,0.0,0.0,0.11,0.2,0.06,0.0,0.0,2
302to4,0.0,0.0,0.71,0.0,0.1,0.14,0.05,0.0,0.0,0.0,2
305969,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.4,0.23,8
305bo2,0.0,0.0,0.0,0.14,0.22,0.0,0.0,0.0,0.18,0.44,9
308aww,0.0,0.52,0.0,0.13,0.0,0.07,0.0,0.12,0.0,0.14,1
308bxi,0.02,0.0,0.35,0.24,0.13,0.0,0.0,0.0,0.25,0.0,2
3098nj,0.01,0.37,0.01,0.32,0.27,0.01,0.01,0.01,0.01,0.01,1
30alfy,0.0,0.0,0.49,0.0,0.36,0.0,0.0,0.12,0.0,0.0,2
30jmtk,0.0,0.0,0.0,0.26,0.17,0.05,0.0,0.01,0.31,0.19,8
30lnif,0.0,0.0,0.39,0.0,0.5,0.0,0.0,0.0,0.0,0.11,4
30nlbm,0.0,0.3,0.03,0.29,0.0,0.05,0.0,0.0,0.32,0.0,8
30th4k,0.01,0.01,0.54,0.01,0.01,0.01,0.39,0.01,0.01,0.01,2
30v0fx,0.05,0.11,0.05,0.15,0.12,0.0,0.0,0.0,0.16,0.36,9
30v1c0,0.02,0.0,0.0,0.0,0.43,0.0,0.0,0.25,0.14,0.16,4
310mxc,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.64,0.27,8
314pt7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,8
315dyf,0.0,0.17,0.0,0.49,0.11,0.0,0.0,0.06,0.17,0.0,3
31g66o,0.0,0.43,0.0,0.0,0.5,0.0,0.0,0.05,0.0,0.0,4
31hsbi,0.0,0.0,0.0,0.16,0.82,0.0,0.0,0.0,0.0,0.0,4
31j1ni,0.0,0.47,0.07,0.16,0.0,0.0,0.0,0.29,0.0,0.0,1
31lwnx,0.04,0.0,0.0,0.24,0.0,0.03,0.0,0.3,0.0,0.39,9
31mvv3,0.0,0.0,0.63,0.17,0.19,0.0,0.0,0.0,0.0,0.0,2
31nkqk,0.0,0.0,0.0,0.39,0.46,0.0,0.0,0.14,0.0,0.0,4
31nyhb,0.0,0.31,0.1,0.0,0.18,0.39,0.0,0.0,0.0,0.0,5
31o3pl,0.01,0.01,0.01,0.01,0.46,0.28,0.2,0.01,0.01,0.01,4
31p38y,0.0,0.06,0.0,0.0,0.39,0.05,0.0,0.0,0.31,0.18,4
31p54x,0.0,0.0,0.03,0.22,0.23,0.27,0.02,0.0,0.0,0.24,5
31s6cp,0.0,0.0,0.36,0.28,0.33,0.0,0.0,0.0,0.0,0.0,2
31t4f9,0.0,0.0,0.0,0.28,0.22,0.0,0.01,0.0,0.48,0.0,8
31tpo7,0.0,0.0,0.22,0.0,0.25,0.12,0.0,0.39,0.0,0.0,7
31vgh5,0.0,0.0,0.0,0.09,0.59,0.3,0.0,0.0,0.0,0.0,4
31xfxk,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.39,0.0,0.38,7
31xjv8,0.0,0.0,0.0,0.6,0.25,0.0,0.0,0.15,0.0,0.0,3
32264h,0.0,0.0,0.33,0.18,0.17,0.08,0.0,0.22,0.0,0.0,2
325ilf,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.35,0.0,3
327oy4,0.0,0.05,0.14,0.0,0.57,0.0,0.0,0.0,0.0,0.23,4
328ddb,0.0,0.17,0.0,0.31,0.0,0.02,0.0,0.0,0.46,0.04,8
32d3qr,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,7
32gq12,0.0,0.0,0.38,0.22,0.0,0.0,0.02,0.25,0.0,0.12,2
32ilnx,0.0,0.58,0.0,0.0,0.18,0.23,0.0,0.0,0.0,0.0,1
32iqyr,0.0,0.15,0.19,0.0,0.18,0.0,0.0,0.0,0.0,0.47,9
32j0ed,0.0,0.12,0.0,0.18,0.7,0.0,0.0,0.0,0.0,0.0,4
32j9ev,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.17,0.41,9
32mpj6,0.09,0.0,0.0,0.2,0.36,0.0,0.0,0.33,0.0,0.0,4
32r635,0.0,0.16,0.0,0.0,0.35,0.17,0.0,0.0,0.03,0.29,4
32rsaa,0.0,0.25,0.0,0.65,0.0,0.07,0.02,0.0,0.0,0.0,3
32xh4j,0.01,0.51,0.01,0.01,0.01,0.45,0.01,0.01,0.01,0.01,1
32y1t6,0.07,0.01,0.42,0.01,0.01,0.01,0.18,0.01,0.01,0.3,2
32zmv2,0.0,0.0,0.45,0.0,0.26,0.0,0.0,0.1,0.0,0.16,2
3308qg,0.0,0.0,0.4,0.22,0.0,0.0,0.0,0.0,0.36,0.0,2
332gwz,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,8
336qap,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.29,0.03,0.51,9
338sbj,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,3
338ucl,0.0,0.0,0.27,0.15,0.27,0.04,0.0,0.06,0.0,0.2,2
33atv4,0.0,0.0,0.11,0.0,0.0,0.41,0.0,0.0,0.0,0.47,9
33bk11,0.01,0.01,0.51,0.01,0.01,0.42,0.01,0.01,0.01,0.01,2
33bqn9,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.09,0.0,0.0,2
33d77h,0.0,0.0,0.0,0.0,0.43,0.08,0.03,0.04,0.06,0.35,4
33jg4q,0.0,0.0,0.09,0.13,0.16,0.03,0.0,0.21,0.0,0.38,9
33mmt6,0.0,0.41,0.36,0.0,0.0,0.0,0.0,0.05,0.0,0.17,1
33o9jn,0.0,0.18,0.05,0.0,0.05,0.04,0.0,0.06,0.23,0.39,9
33pifi,0.0,0.0,0.21,0.0,0.3,0.04,0.0,0.11,0.0,0.35,9
33qtl5,0.0,0.1,0.07,0.0,0.29,0.07,0.04,0.01,0.12,0.29,4
33sey6,0.0,0.0,0.19,0.67,0.0,0.0,0.11,0.0,0.0,0.0,3
33u0gd,0.0,0.0,0.0,0.0,0.4,0.57,0.0,0.0,0.0,0.0,5
33udwo,0.0,0.48,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,1
340sei,0.0,0.0,0.0,0.16,0.32,0.09,0.0,0.0,0.3,0.12,4
342mey,0.0,0.05,0.05,0.13,0.15,0.07,0.01,0.06,0.23,0.25,9
348wgq,0.0,0.0,0.26,0.33,0.0,0.0,0.0,0.0,0.21,0.19,3
34v818,0.0,0.0,0.0,0.46,0.36,0.0,0.15,0.0,0.0,0.0,3
34vdq4,0.0,0.0,0.0,0.1,0.48,0.0,0.0,0.0,0.17,0.24,4
34ydux,0.08,0.01,0.01,0.41,0.47,0.01,0.01,0.01,0.01,0.01,4
34yyuc,0.0,0.0,0.24,0.0,0.08,0.19,0.0,0.0,0.23,0.26,9
35125r,0.04,0.0,0.0,0.13,0.26,0.0,0.0,0.0,0.39,0.16,8
351zt3,0.0,0.0,0.85,0.0,0.0,0.0,0.06,0.06,0.0,0.0,2
353uxu,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.09,0.54,0.14,8
357nyh,0.0,0.0,0.25,0.0,0.29,0.21,0.0,0.0,0.24,0.0,4
357x9y,0.01,0.5,0.0,0.2,0.19,0.0,0.0,0.0,0.0,0.1,1
3587b8,0.0,0.17,0.3,0.21,0.0,0.0,0.0,0.31,0.0,0.0,7
358e9x,0.0,0.0,0.0,0.0,0.58,0.24,0.0,0.0,0.16,0.0,4
35a830,0.0,0.16,0.0,0.0,0.31,0.0,0.0,0.14,0.0,0.39,9
35etl3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.13,0.58,0.24,8
35fkpi,0.0,0.22,0.0,0.2,0.16,0.05,0.0,0.03,0.34,0.0,8
